time,open,high,low,close,volume
2022-03-18 20:00:00,2.8099,2.83,2.79,2.79,153560
2022-03-18 19:59:00,2.81,2.82,2.79,2.81,239059
2022-03-18 19:58:00,2.79,2.81,2.79,2.81,73014
2022-03-18 19:57:00,2.8,2.8,2.79,2.795,83666
2022-03-18 19:56:00,2.79,2.8,2.79,2.8,85872
2022-03-18 19:55:00,2.8,2.8,2.78,2.79,27882
2022-03-18 19:54:00,2.8,2.8,2.79,2.79,28156
2022-03-18 19:53:00,2.79,2.8,2.78,2.7999,39777
2022-03-18 19:52:00,2.7999,2.8,2.77,2.79,57765
2022-03-18 19:51:00,2.79,2.8,2.79,2.79,61441
2022-03-18 19:50:00,2.79,2.8,2.79,2.79,12753
2022-03-18 19:49:00,2.785,2.8,2.78,2.79,42080
2022-03-18 19:48:00,2.79,2.79,2.78,2.79,40344
2022-03-18 19:47:00,2.79,2.79,2.78,2.78,44110
2022-03-18 19:46:00,2.79,2.79,2.78,2.79,11348
2022-03-18 19:45:00,2.78,2.79,2.77,2.79,22344
2022-03-18 19:44:00,2.7801,2.79,2.78,2.78,23501
2022-03-18 19:43:00,2.78,2.7899,2.77,2.7899,23070
2022-03-18 19:42:00,2.78,2.79,2.7799,2.78,53243
2022-03-18 19:41:00,2.79,2.8,2.77,2.78,26366
2022-03-18 19:40:00,2.78,2.79,2.78,2.79,43349
2022-03-18 19:39:00,2.77,2.78,2.77,2.78,8883
2022-03-18 19:38:00,2.77,2.78,2.76,2.78,83086
2022-03-18 19:37:00,2.77,2.77,2.76,2.7699,23410
2022-03-18 19:36:00,2.77,2.77,2.76,2.76,26683
2022-03-18 19:35:00,2.75,2.78,2.75,2.77,101854
2022-03-18 19:34:00,2.76,2.76,2.75,2.76,43214
2022-03-18 19:33:00,2.78,2.7801,2.75,2.76,240255
2022-03-18 19:32:00,2.77,2.8,2.77,2.78,69454
2022-03-18 19:31:00,2.77,2.78,2.76,2.7799,54877
2022-03-18 19:30:00,2.77,2.78,2.76,2.76,68449
2022-03-18 19:29:00,2.77,2.78,2.76,2.77,103532
2022-03-18 19:28:00,2.76,2.77,2.76,2.76,125997
2022-03-18 19:27:00,2.765,2.77,2.76,2.77,32146
2022-03-18 19:26:00,2.78,2.79,2.76,2.76,88285
2022-03-18 19:25:00,2.78,2.79,2.78,2.78,34097
2022-03-18 19:24:00,2.8,2.8,2.77,2.78,88830
2022-03-18 19:23:00,2.8,2.81,2.8,2.8,45056
2022-03-18 19:22:00,2.8,2.8,2.79,2.8,28130
2022-03-18 19:21:00,2.79,2.81,2.79,2.79,27738
2022-03-18 19:20:00,2.8,2.8,2.78,2.8,63849
2022-03-18 19:19:00,2.84,2.84,2.78,2.8,98762
2022-03-18 19:18:00,2.8299,2.84,2.8299,2.84,31244
2022-03-18 19:17:00,2.83,2.83,2.82,2.83,31834
2022-03-18 19:16:00,2.83,2.84,2.82,2.83,96952
2022-03-18 19:15:00,2.8299,2.83,2.82,2.83,56377
2022-03-18 19:14:00,2.8,2.83,2.8,2.83,64283
2022-03-18 19:13:00,2.79,2.81,2.79,2.81,47821
2022-03-18 19:12:00,2.8,2.81,2.8,2.81,52627
2022-03-18 19:11:00,2.81,2.81,2.79,2.81,24316
2022-03-18 19:10:00,2.8,2.81,2.79,2.8,67178
2022-03-18 19:09:00,2.84,2.84,2.8,2.81,88252
2022-03-18 19:08:00,2.85,2.85,2.84,2.845,14566
2022-03-18 19:07:00,2.85,2.86,2.84,2.85,62048
2022-03-18 19:06:00,2.84,2.86,2.84,2.86,36258
2022-03-18 19:05:00,2.84,2.84,2.83,2.83,34879
2022-03-18 19:04:00,2.84,2.84,2.83,2.83,68834
2022-03-18 19:03:00,2.85,2.85,2.81,2.83,175267
2022-03-18 19:02:00,2.83,2.85,2.81,2.85,103283
2022-03-18 19:01:00,2.79,2.83,2.79,2.82,50523
2022-03-18 19:00:00,2.795,2.8,2.78,2.79,64738
2022-03-18 18:59:00,2.79,2.8,2.785,2.8,32497
2022-03-18 18:58:00,2.78,2.79,2.78,2.79,16260
2022-03-18 18:57:00,2.77,2.79,2.77,2.79,35371
2022-03-18 18:56:00,2.77,2.79,2.76,2.77,68478
2022-03-18 18:55:00,2.79,2.81,2.77,2.79,148527
2022-03-18 18:54:00,2.8,2.81,2.79,2.8,68567
2022-03-18 18:53:00,2.78,2.81,2.78,2.81,65120
2022-03-18 18:52:00,2.79,2.8,2.78,2.78,36394
2022-03-18 18:51:00,2.78,2.8,2.78,2.79,53551
2022-03-18 18:50:00,2.78,2.78,2.77,2.78,53366
2022-03-18 18:49:00,2.8,2.81,2.77,2.77,95587
2022-03-18 18:48:00,2.8,2.8,2.77,2.8,104214
2022-03-18 18:47:00,2.78,2.8,2.77,2.79,67715
2022-03-18 18:46:00,2.81,2.81,2.77,2.78,126775
2022-03-18 18:45:00,2.78,2.81,2.76,2.81,93237
2022-03-18 18:44:00,2.75,2.81,2.74,2.78,171169
2022-03-18 18:43:00,2.74,2.75,2.72,2.7401,211683
2022-03-18 18:42:00,2.72,2.75,2.7,2.73,307794
2022-03-18 18:41:00,2.75,2.75,2.69,2.7,360703
2022-03-18 18:40:00,2.75,2.75,2.72,2.74,211060
2022-03-18 18:39:00,2.8,2.81,2.75,2.75,625693
2022-03-18 18:38:00,2.85,2.85,2.8,2.8,479949
2022-03-18 18:37:00,2.905,2.91,2.84,2.85,296079
2022-03-18 18:36:00,2.95,2.95,2.9,2.91,237844
2022-03-18 18:35:00,2.95,2.96,2.94,2.95,60255
2022-03-18 18:34:00,2.95,2.96,2.95,2.95,5262
2022-03-18 18:33:00,2.95,2.96,2.95,2.95,8516
2022-03-18 18:32:00,2.95,2.96,2.94,2.95,12348
2022-03-18 18:31:00,2.94,2.95,2.94,2.94,39149
2022-03-18 18:30:00,2.95,2.96,2.94,2.94,26027
2022-03-18 18:29:00,2.965,2.965,2.96,2.96,12699
2022-03-18 18:28:00,2.96,2.96,2.95,2.96,25251
2022-03-18 18:27:00,2.97,2.98,2.96,2.96,34978
2022-03-18 18:26:00,2.98,2.98,2.97,2.97,14753
2022-03-18 18:25:00,2.9701,2.98,2.97,2.98,50640
2022-03-18 18:24:00,2.98,2.98,2.97,2.98,13969
2022-03-18 18:23:00,2.98,2.98,2.97,2.98,26028
2022-03-18 18:22:00,2.97,2.98,2.97,2.98,7294
2022-03-18 18:21:00,2.98,2.98,2.97,2.97,46680
2022-03-18 18:20:00,2.97,2.98,2.97,2.97,15171
2022-03-18 18:19:00,2.975,2.98,2.97,2.98,34479
2022-03-18 18:18:00,2.965,2.98,2.965,2.98,50298
2022-03-18 18:17:00,2.9601,2.97,2.96,2.97,42541
2022-03-18 18:16:00,2.955,2.96,2.95,2.96,17938
2022-03-18 18:15:00,2.96,2.96,2.95,2.95,29928
2022-03-18 18:14:00,2.96,2.96,2.95,2.96,23919
2022-03-18 18:13:00,2.96,2.97,2.95,2.96,31565
2022-03-18 18:12:00,2.96,2.97,2.96,2.9601,27275
2022-03-18 18:11:00,2.97,2.97,2.96,2.96,8226
2022-03-18 18:10:00,2.97,2.98,2.96,2.96,46366
2022-03-18 18:09:00,2.97,2.98,2.96,2.97,89354
2022-03-18 18:08:00,2.97,2.98,2.97,2.97,16786
2022-03-18 18:07:00,2.96,2.97,2.96,2.97,52100
2022-03-18 18:06:00,2.97,2.98,2.96,2.97,52569
2022-03-18 18:05:00,2.98,2.98,2.97,2.97,23866
2022-03-18 18:04:00,2.96,2.98,2.96,2.98,98364
2022-03-18 18:03:00,2.96,2.97,2.96,2.96,48310
2022-03-18 18:02:00,2.95,2.96,2.94,2.96,77110
2022-03-18 18:01:00,2.94,2.95,2.94,2.945,29538
2022-03-18 18:00:00,2.955,2.96,2.94,2.95,182891
2022-03-18 17:59:00,2.955,2.96,2.95,2.95,89638
2022-03-18 17:58:00,2.95,2.96,2.94,2.95,185288
2022-03-18 17:57:00,2.93,2.95,2.93,2.94,119932
2022-03-18 17:56:00,2.935,2.935,2.9299,2.93,17563
2022-03-18 17:55:00,2.92,2.935,2.92,2.935,97719
2022-03-18 17:54:00,2.92,2.92,2.91,2.92,33440
2022-03-18 17:53:00,2.91,2.92,2.91,2.91,15777
2022-03-18 17:52:00,2.915,2.92,2.91,2.91,24767
2022-03-18 17:51:00,2.92,2.92,2.91,2.91,6371
2022-03-18 17:50:00,2.915,2.9201,2.91,2.92,59537
2022-03-18 17:49:00,2.91,2.92,2.91,2.91,12033
2022-03-18 17:48:00,2.91,2.92,2.91,2.91,13508
2022-03-18 17:47:00,2.9299,2.9299,2.91,2.92,28449
2022-03-18 17:46:00,2.92,2.92,2.91,2.92,21291
2022-03-18 17:45:00,2.91,2.92,2.9,2.91,64690
2022-03-18 17:44:00,2.94,2.94,2.91,2.91,101144
2022-03-18 17:43:00,2.92,2.94,2.91,2.94,130874
2022-03-18 17:42:00,2.92,2.93,2.92,2.93,140845
2022-03-18 17:41:00,2.92,2.93,2.92,2.93,41178
2022-03-18 17:40:00,2.9,2.93,2.9,2.92,161403
2022-03-18 17:39:00,2.9,2.905,2.89,2.905,19039
2022-03-18 17:38:00,2.9,2.91,2.89,2.9,20942
2022-03-18 17:37:00,2.9,2.91,2.89,2.905,74339
2022-03-18 17:36:00,2.9,2.9,2.89,2.8999,22630
2022-03-18 17:35:00,2.9,2.9,2.88,2.89,61017
2022-03-18 17:34:00,2.89,2.9,2.86,2.9,153807
2022-03-18 17:33:00,2.89,2.89,2.88,2.89,33320
2022-03-18 17:32:00,2.8701,2.885,2.87,2.885,39166
2022-03-18 17:31:00,2.89,2.89,2.87,2.87,58770
2022-03-18 17:30:00,2.89,2.89,2.88,2.885,7590
2022-03-18 17:29:00,2.885,2.89,2.88,2.89,30948
2022-03-18 17:28:00,2.88,2.89,2.8799,2.89,69063
2022-03-18 17:27:00,2.88,2.88,2.87,2.88,6922
2022-03-18 17:26:00,2.87,2.88,2.87,2.88,42815
2022-03-18 17:25:00,2.88,2.88,2.87,2.87,2483
2022-03-18 17:24:00,2.87,2.88,2.865,2.87,33387
2022-03-18 17:23:00,2.88,2.88,2.87,2.87,8904
2022-03-18 17:22:00,2.87,2.88,2.87,2.88,12790
2022-03-18 17:21:00,2.88,2.88,2.87,2.88,12691
2022-03-18 17:20:00,2.87,2.88,2.87,2.88,18815
2022-03-18 17:19:00,2.87,2.8701,2.86,2.87,25959
2022-03-18 17:18:00,2.865,2.87,2.86,2.86,15825
2022-03-18 17:17:00,2.86,2.87,2.86,2.865,3730
2022-03-18 17:16:00,2.88,2.88,2.86,2.86,75700
2022-03-18 17:15:00,2.875,2.89,2.87,2.88,38798
2022-03-18 17:14:00,2.88,2.88,2.87,2.8701,29928
2022-03-18 17:13:00,2.87,2.87,2.86,2.87,43544
2022-03-18 17:12:00,2.87,2.87,2.86,2.87,14334
2022-03-18 17:11:00,2.86,2.87,2.86,2.865,18819
2022-03-18 17:10:00,2.87,2.87,2.86,2.87,33348
2022-03-18 17:09:00,2.87,2.87,2.86,2.87,12738
2022-03-18 17:08:00,2.84,2.87,2.83,2.87,166679
2022-03-18 17:07:00,2.83,2.84,2.83,2.8301,22428
2022-03-18 17:06:00,2.83,2.84,2.83,2.84,62452
2022-03-18 17:05:00,2.84,2.84,2.83,2.835,37260
2022-03-18 17:04:00,2.83,2.84,2.8299,2.83,39735
2022-03-18 17:03:00,2.83,2.84,2.82,2.83,47084
2022-03-18 17:02:00,2.83,2.84,2.83,2.83,23198
2022-03-18 17:01:00,2.82,2.84,2.82,2.84,49691
2022-03-18 17:00:00,2.84,2.85,2.83,2.83,142452
2022-03-18 16:59:00,2.85,2.85,2.83,2.85,85491
2022-03-18 16:58:00,2.83,2.85,2.83,2.85,93632
2022-03-18 16:57:00,2.85,2.85,2.84,2.84,54525
2022-03-18 16:56:00,2.85,2.85,2.83,2.84,91357
2022-03-18 16:55:00,2.83,2.85,2.83,2.84,52508
2022-03-18 16:54:00,2.86,2.86,2.83,2.84,47379
2022-03-18 16:53:00,2.83,2.86,2.83,2.85,126201
2022-03-18 16:52:00,2.84,2.85,2.83,2.84,141438
2022-03-18 16:51:00,2.85,2.86,2.84,2.845,124219
2022-03-18 16:50:00,2.85,2.8599,2.84,2.85,180044
2022-03-18 16:49:00,2.86,2.87,2.855,2.855,65423
2022-03-18 16:48:00,2.87,2.87,2.86,2.86,19311
2022-03-18 16:47:00,2.88,2.88,2.87,2.87,16636
2022-03-18 16:46:00,2.87,2.88,2.87,2.87,13826
2022-03-18 16:45:00,2.89,2.89,2.87,2.87,70047
2022-03-18 16:44:00,2.87,2.89,2.87,2.89,67628
2022-03-18 16:43:00,2.86,2.88,2.86,2.87,119856
2022-03-18 16:42:00,2.86,2.87,2.85,2.87,52793
2022-03-18 16:41:00,2.86,2.87,2.85,2.86,71342
2022-03-18 16:40:00,2.87,2.87,2.85,2.86,139251
2022-03-18 16:39:00,2.88,2.88,2.86,2.87,109223
2022-03-18 16:38:00,2.88,2.9,2.87,2.87,108126
2022-03-18 16:37:00,2.88,2.89,2.88,2.885,6637
2022-03-18 16:36:00,2.88,2.89,2.87,2.88,68883
2022-03-18 16:35:00,2.9,2.9,2.88,2.88,73366
2022-03-18 16:34:00,2.9,2.95,2.89,2.89,34776
2022-03-18 16:33:00,2.89,2.9,2.88,2.89,58758
2022-03-18 16:32:00,2.89,2.89,2.87,2.88,37193
2022-03-18 16:31:00,2.88,2.89,2.88,2.88,36995
2022-03-18 16:30:00,2.91,2.91,2.87,2.875,90388
2022-03-18 16:29:00,2.91,2.91,2.9,2.91,54533
2022-03-18 16:28:00,2.92,2.92,2.91,2.92,24423
2022-03-18 16:27:00,2.915,2.92,2.91,2.9199,79978
2022-03-18 16:26:00,2.9,2.92,2.9,2.91,48502
2022-03-18 16:25:00,2.895,2.91,2.89,2.91,50362
2022-03-18 16:24:00,2.9,2.9,2.89,2.89,30332
2022-03-18 16:23:00,2.9,2.9,2.89,2.89,12787
2022-03-18 16:22:00,2.89,2.9099,2.89,2.9,56866
2022-03-18 16:21:00,2.89,2.9,2.89,2.9,25813
2022-03-18 16:20:00,2.9,2.9,2.88,2.9,59989
2022-03-18 16:19:00,2.88,2.9,2.87,2.9,124103
2022-03-18 16:18:00,2.8799,2.88,2.87,2.88,69209
2022-03-18 16:17:00,2.87,2.88,2.85,2.88,256405
2022-03-18 16:16:00,2.88,2.89,2.87,2.88,86136
2022-03-18 16:15:00,2.89,2.9,2.87,2.8899,130966
2022-03-18 16:14:00,2.9,2.92,2.89,2.89,173635
2022-03-18 16:13:00,2.925,2.925,2.88,2.89,298596
2022-03-18 16:12:00,2.94,2.94,2.93,2.93,121459
2022-03-18 16:11:00,2.96,2.96,2.94,2.95,68106
2022-03-18 16:10:00,2.95,2.96,2.95,2.95,94711
2022-03-18 16:09:00,2.95,2.96,2.94,2.96,149911
2022-03-18 16:08:00,2.99,2.99,2.94,2.94,199182
2022-03-18 16:07:00,2.93,2.99,2.93,2.99,337865
2022-03-18 16:06:00,2.9399,2.94,2.93,2.94,65112
2022-03-18 16:05:00,2.94,2.95,2.93,2.93,156860
2022-03-18 16:04:00,2.9401,2.95,2.91,2.93,312140
2022-03-18 16:03:00,2.88,2.95,2.87,2.94,227647
2022-03-18 16:02:00,2.89,2.9,2.86,2.86,102355
2022-03-18 16:01:00,2.87,2.91,2.85,2.89,67088
2022-03-18 16:00:00,2.885,2.89,2.85,2.8593,1876218
2022-03-18 15:59:00,2.8675,2.89,2.86,2.8893,990985
2022-03-18 15:58:00,2.8797,2.88,2.86,2.86,782682
2022-03-18 15:57:00,2.89,2.9,2.865,2.8794,952949
2022-03-18 15:56:00,2.93,2.93,2.88,2.89,1038908
2022-03-18 15:55:00,2.915,2.93,2.89,2.9299,989399
2022-03-18 15:54:00,2.8993,2.93,2.89,2.915,759765
2022-03-18 15:53:00,2.905,2.91,2.89,2.8993,427521
2022-03-18 15:52:00,2.9001,2.94,2.87,2.905,1248175
2022-03-18 15:51:00,2.8496,2.92,2.8496,2.9094,1004790
2022-03-18 15:50:00,2.8599,2.86,2.84,2.845,433126
2022-03-18 15:49:00,2.87,2.89,2.85,2.855,466060
2022-03-18 15:48:00,2.8393,2.89,2.83,2.88,910213
2022-03-18 15:47:00,2.855,2.86,2.83,2.83,1144615
2022-03-18 15:46:00,2.905,2.91,2.85,2.8539,843916
2022-03-18 15:45:00,2.91,2.92,2.9,2.91,558722
2022-03-18 15:44:00,2.9097,2.91,2.9,2.9093,305567
2022-03-18 15:43:00,2.88,2.91,2.87,2.91,684461
2022-03-18 15:42:00,2.9099,2.91,2.875,2.885,614654
2022-03-18 15:41:00,2.8867,2.91,2.885,2.91,628069
2022-03-18 15:40:00,2.8693,2.89,2.86,2.8865,673882
2022-03-18 15:39:00,2.825,2.88,2.8201,2.87,1248308
2022-03-18 15:38:00,2.9872,2.9872,2.825,2.825,3099856
2022-03-18 15:37:00,2.9799,2.99,2.97,2.98,483339
2022-03-18 15:36:00,2.995,3.0,2.97,2.97,734474
2022-03-18 15:35:00,3.015,3.0199,2.99,2.995,652224
2022-03-18 15:34:00,3.0199,3.02,3.0,3.0175,993649
2022-03-18 15:33:00,3.0324,3.04,3.01,3.0107,1282669
2022-03-18 15:32:00,2.965,3.05,2.96,3.0354,2554078
2022-03-18 15:31:00,2.9695,2.97,2.96,2.97,356764
2022-03-18 15:30:00,2.955,2.97,2.95,2.96,420757
2022-03-18 15:29:00,2.95,2.96,2.94,2.9599,209006
2022-03-18 15:28:00,2.94,2.955,2.94,2.95,339879
2022-03-18 15:27:00,2.9462,2.95,2.94,2.9499,194408
2022-03-18 15:26:00,2.96,2.96,2.93,2.945,445233
2022-03-18 15:25:00,2.96,2.96,2.95,2.955,232934
2022-03-18 15:24:00,2.965,2.97,2.95,2.955,313839
2022-03-18 15:23:00,2.975,2.98,2.96,2.9697,387845
2022-03-18 15:22:00,2.965,2.98,2.96,2.97,311337
2022-03-18 15:21:00,2.9575,2.98,2.9506,2.96,761368
2022-03-18 15:20:00,2.955,2.96,2.9401,2.9599,178205
2022-03-18 15:19:00,2.96,2.96,2.94,2.955,269551
2022-03-18 15:18:00,2.9611,2.97,2.94,2.955,344765
2022-03-18 15:17:00,2.9404,2.98,2.9404,2.965,964570
2022-03-18 15:16:00,2.935,2.96,2.93,2.95,699146
2022-03-18 15:15:00,2.9236,2.9499,2.92,2.9394,412397
2022-03-18 15:14:00,2.905,2.925,2.9,2.925,395918
