time,open,high,low,close,volume
2022-03-18 20:00:00,2.82,2.84,2.82,2.84,4081
2022-03-18 19:42:00,2.84,2.84,2.84,2.84,500
2022-03-18 19:38:00,2.84,2.84,2.84,2.84,500
2022-03-18 19:34:00,2.81,2.81,2.81,2.81,894
2022-03-18 19:22:00,2.81,2.81,2.81,2.81,350
2022-03-18 18:59:00,2.81,2.81,2.81,2.81,300
2022-03-18 18:56:00,2.84,2.84,2.84,2.84,120
2022-03-18 18:55:00,2.81,2.81,2.81,2.81,100
2022-03-18 18:50:00,2.81,2.81,2.81,2.81,236
2022-03-18 18:39:00,2.84,2.84,2.84,2.84,249
2022-03-18 18:34:00,2.85,2.85,2.85,2.85,245
2022-03-18 18:32:00,2.84,2.84,2.84,2.84,751
2022-03-18 18:12:00,2.81,2.81,2.81,2.81,848
2022-03-18 17:56:00,2.85,2.85,2.85,2.85,1250
2022-03-18 17:44:00,2.79,2.79,2.79,2.79,300
2022-03-18 17:39:00,2.79,2.81,2.79,2.81,5631
2022-03-18 17:17:00,2.79,2.79,2.79,2.79,145
2022-03-18 17:15:00,2.79,2.79,2.79,2.79,200
2022-03-18 17:14:00,2.79,2.79,2.79,2.79,1030
2022-03-18 17:13:00,2.81,2.81,2.81,2.81,300
2022-03-18 17:06:00,2.78,2.78,2.78,2.78,510
2022-03-18 16:58:00,2.8,2.8,2.8,2.8,400
2022-03-18 16:57:00,2.8099,2.8099,2.8099,2.8099,500
2022-03-18 16:54:00,2.81,2.81,2.81,2.81,2518
2022-03-18 16:52:00,2.81,2.81,2.81,2.81,2501
2022-03-18 16:48:00,2.79,2.79,2.79,2.79,319
2022-03-18 16:47:00,2.81,2.81,2.81,2.81,200
2022-03-18 16:43:00,2.81,2.81,2.81,2.81,3518
2022-03-18 16:41:00,2.85,2.85,2.85,2.85,2500
2022-03-18 16:36:00,2.86,2.86,2.86,2.86,1650
2022-03-18 16:31:00,2.87,2.87,2.87,2.87,1400
2022-03-18 16:30:00,2.86,2.86,2.86,2.86,964
2022-03-18 16:23:00,2.86,2.86,2.86,2.86,900
2022-03-18 16:13:00,2.81,2.81,2.81,2.81,730
2022-03-18 16:11:00,2.81,2.81,2.81,2.81,152
2022-03-18 16:10:00,2.81,2.81,2.81,2.81,2502
2022-03-18 16:09:00,2.81,2.81,2.81,2.81,2501
2022-03-18 16:00:00,2.8101,2.83,2.8,2.8,37162
2022-03-18 15:59:00,2.815,2.8232,2.81,2.8232,6398
2022-03-18 15:58:00,2.8,2.815,2.785,2.81,47880
2022-03-18 15:57:00,2.81,2.82,2.8,2.8,14587
2022-03-18 15:56:00,2.8174,2.82,2.81,2.815,39678
2022-03-18 15:55:00,2.81,2.82,2.81,2.81,4751
2022-03-18 15:54:00,2.81,2.815,2.8,2.8132,3245
2022-03-18 15:53:00,2.8,2.82,2.8,2.8109,2797
2022-03-18 15:52:00,2.8,2.81,2.8,2.8085,2590
2022-03-18 15:51:00,2.8,2.805,2.79,2.805,10546
2022-03-18 15:50:00,2.8199,2.8199,2.8,2.81,2063
2022-03-18 15:49:00,2.82,2.82,2.8,2.8,3630
