time,open,high,low,close,volume
2022-03-18 19:07:00,1.61,1.61,1.61,1.61,274
2022-03-18 18:44:00,1.59,1.59,1.59,1.59,150
2022-03-18 16:00:00,1.6,1.6,1.56,1.56,2370
2022-03-18 15:59:00,1.56,1.57,1.56,1.56,1466
2022-03-18 15:46:00,1.58,1.58,1.58,1.58,300
2022-03-18 15:44:00,1.58,1.58,1.58,1.58,150
2022-03-18 15:36:00,1.57,1.58,1.57,1.58,694
2022-03-18 15:35:00,1.57,1.57,1.57,1.57,660
2022-03-18 15:34:00,1.58,1.59,1.58,1.59,1620
2022-03-18 15:28:00,1.58,1.5867,1.58,1.5867,800
2022-03-18 15:27:00,1.58,1.58,1.58,1.58,13260
2022-03-18 15:26:00,1.595,1.595,1.595,1.595,1050
2022-03-18 15:25:00,1.6036,1.6036,1.6036,1.6036,100
2022-03-18 15:24:00,1.615,1.615,1.58,1.6063,18303
2022-03-18 15:12:00,1.615,1.615,1.615,1.615,200
2022-03-18 15:10:00,1.62,1.62,1.6004,1.6004,2002
2022-03-18 15:06:00,1.61,1.61,1.61,1.61,248
2022-03-18 15:05:00,1.61,1.61,1.61,1.61,102
2022-03-18 15:04:00,1.6113,1.6113,1.6113,1.6113,100
2022-03-18 15:03:00,1.6058,1.6058,1.6058,1.6058,125
2022-03-18 15:02:00,1.6099,1.6099,1.606,1.606,232
2022-03-18 15:01:00,1.61,1.61,1.6003,1.6003,4663
2022-03-18 15:00:00,1.62,1.62,1.61,1.61,1050
2022-03-18 14:59:00,1.6117,1.615,1.6117,1.615,3750
2022-03-18 14:58:00,1.615,1.615,1.61,1.61,2667
2022-03-18 14:56:00,1.6111,1.6111,1.6111,1.6111,295
2022-03-18 14:55:00,1.6111,1.6111,1.6111,1.6111,295
2022-03-18 14:54:00,1.615,1.615,1.615,1.615,291
2022-03-18 14:48:00,1.62,1.62,1.62,1.62,325
2022-03-18 14:44:00,1.6399,1.6399,1.62,1.62,631
2022-03-18 14:40:00,1.6388,1.6388,1.6388,1.6388,211
2022-03-18 14:25:00,1.63,1.63,1.6122,1.6122,5055
2022-03-18 14:23:00,1.6304,1.635,1.6304,1.635,3999
2022-03-18 14:22:00,1.63,1.635,1.63,1.63,3396
2022-03-18 14:20:00,1.6391,1.6391,1.6391,1.6391,311
2022-03-18 14:09:00,1.6382,1.6391,1.6382,1.6391,482
2022-03-18 14:08:00,1.625,1.625,1.625,1.625,366
2022-03-18 14:07:00,1.63,1.63,1.63,1.63,201
2022-03-18 14:06:00,1.6356,1.6356,1.6116,1.6352,3335
2022-03-18 14:05:00,1.6367,1.6367,1.6367,1.6367,500
2022-03-18 14:03:00,1.625,1.625,1.625,1.625,355
2022-03-18 14:01:00,1.64,1.64,1.64,1.64,650
2022-03-18 13:58:00,1.61,1.61,1.61,1.61,4287
2022-03-18 13:57:00,1.6227,1.6232,1.62,1.6232,1000
2022-03-18 13:55:00,1.64,1.64,1.64,1.64,100
2022-03-18 13:54:00,1.6227,1.6227,1.62,1.62,1025
2022-03-18 13:52:00,1.6399,1.6399,1.63,1.63,2304
2022-03-18 13:51:00,1.628,1.63,1.628,1.6299,2501
2022-03-18 13:50:00,1.6227,1.6227,1.6227,1.6227,1060
2022-03-18 13:46:00,1.6273,1.6273,1.61,1.62,1300
2022-03-18 13:44:00,1.6299,1.6299,1.6299,1.6299,5184
2022-03-18 13:43:00,1.6299,1.63,1.62,1.62,1395
2022-03-18 13:41:00,1.62,1.62,1.6101,1.6101,3411
