time,open,high,low,close,volume
2022-02-17 20:00:00,6.08,6.08,6.08,6.08,779
2022-02-17 19:57:00,6.05,6.05,6.05,6.05,500
2022-02-17 19:52:00,6.16,6.16,6.16,6.16,100
2022-02-17 19:49:00,6.03,6.03,6.03,6.03,100
2022-02-17 19:29:00,6.03,6.03,6.02,6.02,330
2022-02-17 19:26:00,6.14,6.14,6.14,6.14,180
2022-02-17 19:22:00,6.03,6.03,6.03,6.03,166
2022-02-17 19:15:00,6.06,6.06,6.05,6.05,200
2022-02-17 19:12:00,6.13,6.17,6.13,6.17,501
2022-02-17 19:04:00,6.07,6.1,6.07,6.1,930
2022-02-17 19:01:00,6.01,6.01,6.01,6.01,200
2022-02-17 18:54:00,6.08,6.08,6.07,6.07,799
2022-02-17 18:53:00,6.08,6.08,6.08,6.08,1003
2022-02-17 18:50:00,6.0,6.0,6.0,6.0,1049
2022-02-17 18:33:00,6.01,6.02,6.0,6.01,930
2022-02-17 18:27:00,6.13,6.13,6.13,6.13,800
2022-02-17 18:25:00,6.02,6.02,6.0,6.0,3183
2022-02-17 18:21:00,6.15,6.15,6.15,6.15,200
2022-02-17 18:04:00,6.02,6.03,6.02,6.03,2617
2022-02-17 17:55:00,6.06,6.06,6.06,6.06,337
2022-02-17 17:53:00,6.06,6.06,6.05,6.05,2002
2022-02-17 17:50:00,6.16,6.16,6.16,6.16,114
2022-02-17 17:49:00,6.16,6.16,6.16,6.16,150
2022-02-17 17:35:00,6.15,6.15,6.15,6.15,100
2022-02-17 17:33:00,6.01,6.01,6.01,6.01,1040
2022-02-17 17:28:00,6.15,6.15,6.15,6.15,549
2022-02-17 17:27:00,6.15,6.15,6.15,6.15,800
2022-02-17 17:25:00,6.03,6.03,6.0,6.01,1100
2022-02-17 17:24:00,6.02,6.02,6.0,6.01,979
2022-02-17 17:22:00,6.01,6.01,6.01,6.01,135
2022-02-17 17:20:00,6.06,6.06,6.0,6.0,1698
2022-02-17 17:19:00,6.14,6.14,6.12,6.12,914
2022-02-17 17:16:00,6.13,6.13,6.13,6.13,1458
2022-02-17 17:15:00,6.17,6.19,6.17,6.19,251
2022-02-17 17:14:00,6.13,6.13,6.13,6.13,150
2022-02-17 17:13:00,6.14,6.14,6.14,6.14,404
2022-02-17 17:00:00,6.17,6.17,6.17,6.17,100
2022-02-17 16:59:00,6.17,6.17,6.17,6.17,195
2022-02-17 16:58:00,6.17,6.28,6.17,6.17,2788
2022-02-17 16:57:00,6.17,6.35,6.17,6.17,2870
2022-02-17 16:56:00,6.17,6.17,6.17,6.17,371
2022-02-17 16:51:00,6.17,6.18,6.17,6.18,550
2022-02-17 16:50:00,6.19,6.19,6.19,6.19,239
2022-02-17 16:49:00,6.17,6.17,6.17,6.17,100
2022-02-17 16:48:00,6.17,6.17,6.17,6.17,350
2022-02-17 16:47:00,6.17,6.21,6.17,6.21,1469
2022-02-17 16:46:00,6.17,6.17,6.11,6.11,605
2022-02-17 16:45:00,6.11,6.11,6.11,6.11,193
2022-02-17 16:42:00,6.17,6.17,6.17,6.17,155
2022-02-17 16:40:00,6.12,6.12,6.12,6.12,492
2022-02-17 16:37:00,6.22,6.22,6.22,6.22,185
2022-02-17 16:35:00,6.23,6.23,6.22,6.22,639
2022-02-17 16:33:00,6.22,6.22,6.2,6.2,703
2022-02-17 16:32:00,6.22,6.28,6.22,6.28,3241
2022-02-17 16:31:00,6.19,6.2,6.19,6.2,754
2022-02-17 16:30:00,6.05,6.07,6.05,6.07,1400
2022-02-17 16:29:00,6.05,6.05,6.05,6.05,135
2022-02-17 16:28:00,6.2,6.2,5.97,5.97,4237
2022-02-17 16:27:00,6.31,6.31,6.2,6.2,2553
2022-02-17 16:26:00,6.4,6.4,6.4,6.4,713
2022-02-17 16:24:00,6.4,6.45,6.4,6.45,1528
2022-02-17 16:23:00,6.4,6.4,6.35,6.4,2801
2022-02-17 16:21:00,6.46,6.46,6.4,6.4,3142
2022-02-17 16:19:00,6.75,6.75,6.75,6.75,641
2022-02-17 16:17:00,6.9,6.9,6.75,6.75,2201
2022-02-17 16:16:00,6.74,6.75,6.74,6.75,5071
2022-02-17 16:12:00,6.4,6.4,6.4,6.4,2666
2022-02-17 16:11:00,6.43,6.43,6.43,6.43,504
2022-02-17 16:10:00,6.5,6.5,6.5,6.5,262
2022-02-17 16:08:00,6.58,6.58,6.58,6.58,646
2022-02-17 16:07:00,6.43,6.43,6.43,6.43,190
2022-02-17 16:06:00,6.43,6.43,6.43,6.43,475
2022-02-17 16:05:00,6.3,6.47,6.3,6.35,2905
2022-02-17 16:04:00,6.4,6.5,6.4,6.5,3125
2022-02-17 16:03:00,6.44,6.44,6.4,6.4,1224
2022-02-17 16:02:00,6.64,6.64,6.3,6.5,3287
2022-02-17 16:01:00,6.77,6.78,6.77,6.78,653
2022-02-17 16:00:00,6.6412,6.7799,6.6412,6.66,20492
2022-02-17 15:59:00,6.6106,6.6699,6.61,6.64,8967
2022-02-17 15:58:00,6.7499,6.7499,6.65,6.6999,16701
2022-02-17 15:57:00,6.8201,6.85,6.72,6.735,22074
2022-02-17 15:56:00,6.6546,6.9,6.65,6.8395,28402
2022-02-17 15:55:00,6.67,6.6799,6.57,6.655,19420
2022-02-17 15:54:00,6.57,6.72,6.57,6.65,12272
2022-02-17 15:53:00,6.62,6.84,6.55,6.6391,52985
2022-02-17 15:52:00,6.55,6.61,6.52,6.58,8224
2022-02-17 15:51:00,6.4389,6.67,6.4171,6.57,91517
2022-02-17 15:50:00,6.4399,6.489,6.4,6.4499,27471
2022-02-17 15:49:00,6.56,6.59,6.41,6.45,32191
2022-02-17 15:48:00,6.715,6.799,6.5,6.6,58143
2022-02-17 15:47:00,6.9,6.95,6.67,6.74,36394
2022-02-17 15:46:00,6.905,6.969,6.9,6.93,9562
2022-02-17 15:45:00,6.98,6.98,6.88,6.9181,18135
2022-02-17 15:44:00,6.98,6.98,6.89,6.96,9904
2022-02-17 15:43:00,7.055,7.1,6.8805,6.9761,39020
2022-02-17 15:42:00,7.29,7.3,6.96,7.03,82956
2022-02-17 15:41:00,7.37,7.4439,7.3,7.31,56184
2022-02-17 15:40:00,7.7101,7.7573,7.24,7.36,58788
2022-02-17 15:39:00,7.8799,7.93,7.6601,7.7748,24419
2022-02-17 15:38:00,7.72,7.94,7.55,7.94,64600
2022-02-17 15:37:00,8.365,8.365,7.64,7.6535,172046
2022-02-17 15:36:00,8.455,8.52,8.36,8.365,43989
2022-02-17 15:35:00,8.46,8.47,8.43,8.45,21527
2022-02-17 15:34:00,8.4801,8.4977,8.43,8.4548,11796
2022-02-17 15:33:00,8.55,8.55,8.47,8.54,23504
2022-02-17 15:32:00,8.4996,8.6,8.47,8.55,34080
2022-02-17 15:31:00,8.44,8.49,8.4,8.445,16148
