time,open,high,low,close,volume
2022-02-17 19:50:00,1.35,1.35,1.35,1.35,201
2022-02-17 16:58:00,1.33,1.33,1.33,1.33,200
2022-02-17 16:51:00,1.33,1.33,1.33,1.33,100
2022-02-17 16:50:00,1.33,1.33,1.33,1.33,400
2022-02-17 16:19:00,1.33,1.33,1.33,1.33,1000
2022-02-17 16:16:00,1.33,1.33,1.33,1.33,3700
2022-02-17 16:00:00,1.34,1.35,1.34,1.35,2564
2022-02-17 15:59:00,1.34,1.35,1.34,1.35,5841
2022-02-17 15:58:00,1.34,1.35,1.34,1.34,7392
2022-02-17 15:57:00,1.34,1.35,1.34,1.34,1500
2022-02-17 15:56:00,1.34,1.35,1.34,1.35,955
2022-02-17 15:55:00,1.34,1.3499,1.34,1.34,1312
2022-02-17 15:54:00,1.34,1.35,1.34,1.35,625
2022-02-17 15:53:00,1.34,1.34,1.34,1.34,302
2022-02-17 15:52:00,1.345,1.35,1.34,1.34,1055
2022-02-17 15:51:00,1.34,1.35,1.34,1.34,1102
2022-02-17 15:50:00,1.34,1.35,1.34,1.345,754
2022-02-17 15:49:00,1.34,1.35,1.34,1.34,500
2022-02-17 15:48:00,1.34,1.35,1.34,1.34,5747
2022-02-17 15:47:00,1.345,1.35,1.34,1.345,2231
2022-02-17 15:46:00,1.34,1.345,1.34,1.34,770
2022-02-17 15:45:00,1.34,1.345,1.34,1.34,497
2022-02-17 15:44:00,1.34,1.3499,1.34,1.3409,975
2022-02-17 15:43:00,1.34,1.3416,1.34,1.34,806
2022-02-17 15:42:00,1.34,1.35,1.34,1.345,1449
2022-02-17 15:41:00,1.345,1.345,1.3409,1.345,703
2022-02-17 15:40:00,1.345,1.345,1.345,1.345,1000
2022-02-17 15:39:00,1.3486,1.35,1.345,1.35,5835
2022-02-17 15:38:00,1.3485,1.3485,1.3485,1.3485,582
2022-02-17 15:37:00,1.35,1.35,1.349,1.349,201
2022-02-17 15:36:00,1.345,1.345,1.345,1.345,101
2022-02-17 15:31:00,1.35,1.35,1.35,1.35,267
2022-02-17 15:29:00,1.35,1.35,1.34,1.34,673
2022-02-17 15:28:00,1.345,1.345,1.345,1.345,801
2022-02-17 15:26:00,1.35,1.35,1.3452,1.3452,700
2022-02-17 15:25:00,1.35,1.35,1.35,1.35,400
2022-02-17 15:24:00,1.35,1.35,1.35,1.35,400
2022-02-17 15:23:00,1.35,1.35,1.35,1.35,300
2022-02-17 15:18:00,1.35,1.35,1.35,1.35,800
2022-02-17 15:16:00,1.345,1.35,1.345,1.345,2296
2022-02-17 15:13:00,1.345,1.35,1.34,1.35,33477
2022-02-17 15:11:00,1.3486,1.3486,1.3486,1.3486,475
2022-02-17 15:10:00,1.3404,1.35,1.3404,1.35,10250
2022-02-17 15:08:00,1.36,1.36,1.3406,1.35,29385
2022-02-17 15:07:00,1.359,1.365,1.359,1.365,13014
2022-02-17 15:06:00,1.3599,1.3599,1.3504,1.3504,10300
2022-02-17 15:05:00,1.3599,1.36,1.3504,1.36,10500
2022-02-17 15:04:00,1.36,1.36,1.36,1.36,7015
2022-02-17 15:03:00,1.3514,1.36,1.3514,1.36,300
2022-02-17 15:02:00,1.375,1.38,1.35,1.36,25175
2022-02-17 15:01:00,1.3794,1.38,1.3715,1.3715,1371
2022-02-17 15:00:00,1.38,1.38,1.38,1.38,102
2022-02-17 14:48:00,1.3719,1.38,1.3719,1.38,379
2022-02-17 14:47:00,1.371,1.371,1.371,1.371,2065
2022-02-17 14:46:00,1.3785,1.3785,1.3785,1.3785,525
2022-02-17 14:43:00,1.3765,1.3765,1.3765,1.3765,205
2022-02-17 14:40:00,1.38,1.38,1.38,1.38,400
2022-02-17 14:38:00,1.38,1.38,1.37,1.3726,2000
2022-02-17 14:37:00,1.38,1.38,1.38,1.38,100
2022-02-17 14:36:00,1.3787,1.3787,1.3787,1.3787,508
2022-02-17 14:28:00,1.37,1.37,1.37,1.37,100
2022-02-17 14:26:00,1.38,1.38,1.38,1.38,100
2022-02-17 14:24:00,1.38,1.38,1.38,1.38,110
2022-02-17 14:23:00,1.38,1.38,1.38,1.38,300
2022-02-17 14:22:00,1.38,1.38,1.3787,1.3787,781
2022-02-17 14:21:00,1.38,1.38,1.38,1.38,200
2022-02-17 14:20:00,1.38,1.38,1.38,1.38,3100
2022-02-17 14:19:00,1.38,1.38,1.38,1.38,200
2022-02-17 14:18:00,1.38,1.38,1.3779,1.3779,200
2022-02-17 14:17:00,1.38,1.38,1.38,1.38,100
2022-02-17 14:16:00,1.38,1.38,1.38,1.38,225
2022-02-17 14:15:00,1.38,1.38,1.37,1.38,670
2022-02-17 14:13:00,1.38,1.38,1.38,1.38,145
2022-02-17 14:12:00,1.3733,1.38,1.3733,1.38,2305
2022-02-17 14:11:00,1.38,1.38,1.38,1.38,100
2022-02-17 14:10:00,1.375,1.375,1.375,1.375,105
2022-02-17 14:06:00,1.3709,1.3709,1.3709,1.3709,3000
2022-02-17 14:04:00,1.375,1.38,1.375,1.38,8916
2022-02-17 13:55:00,1.375,1.375,1.375,1.375,414
2022-02-17 13:54:00,1.3799,1.3799,1.3799,1.3799,200
2022-02-17 13:53:00,1.3701,1.3701,1.3701,1.3701,1238
2022-02-17 13:51:00,1.3701,1.38,1.3701,1.375,8300
2022-02-17 13:50:00,1.375,1.38,1.375,1.38,405
2022-02-17 13:49:00,1.375,1.375,1.375,1.375,102
2022-02-17 13:48:00,1.375,1.375,1.375,1.375,100
2022-02-17 13:46:00,1.375,1.3785,1.375,1.3785,663
2022-02-17 13:45:00,1.375,1.375,1.375,1.375,202
2022-02-17 13:44:00,1.385,1.385,1.37,1.37,18095
2022-02-17 13:43:00,1.3805,1.3805,1.3805,1.3805,240
2022-02-17 13:39:00,1.38,1.38,1.38,1.38,500
2022-02-17 13:37:00,1.385,1.385,1.385,1.385,100
2022-02-17 13:36:00,1.39,1.39,1.39,1.39,101
2022-02-17 13:34:00,1.3801,1.3801,1.38,1.38,3153
2022-02-17 13:31:00,1.385,1.385,1.385,1.385,200
2022-02-17 13:27:00,1.3891,1.3891,1.3884,1.3884,200
2022-02-17 13:23:00,1.39,1.39,1.385,1.3894,2566
2022-02-17 13:19:00,1.39,1.39,1.39,1.39,100
2022-02-17 13:17:00,1.39,1.4,1.39,1.4,500
2022-02-17 13:16:00,1.39,1.39,1.39,1.39,100
2022-02-17 13:15:00,1.39,1.395,1.39,1.39,8111
2022-02-17 13:13:00,1.4,1.4,1.4,1.4,100
2022-02-17 13:03:00,1.39,1.39,1.39,1.39,121
2022-02-17 12:58:00,1.395,1.395,1.395,1.395,550
2022-02-17 12:49:00,1.4,1.4,1.4,1.4,401
2022-02-17 12:48:00,1.395,1.395,1.395,1.395,140
2022-02-17 12:47:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:45:00,1.4,1.4,1.395,1.395,291
2022-02-17 12:44:00,1.395,1.4,1.395,1.4,901
2022-02-17 12:43:00,1.395,1.395,1.395,1.395,200
2022-02-17 12:42:00,1.395,1.4,1.39,1.395,10460
2022-02-17 12:41:00,1.395,1.395,1.395,1.395,767
2022-02-17 12:39:00,1.395,1.395,1.395,1.395,141
2022-02-17 12:38:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:36:00,1.3985,1.4,1.3907,1.4,5460
2022-02-17 12:35:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:34:00,1.395,1.395,1.3901,1.3901,2452
2022-02-17 12:33:00,1.3922,1.3922,1.3922,1.3922,1000
2022-02-17 12:32:00,1.395,1.395,1.395,1.395,501
2022-02-17 12:30:00,1.395,1.395,1.395,1.395,200
2022-02-17 12:29:00,1.395,1.395,1.395,1.395,360
2022-02-17 12:28:00,1.395,1.395,1.395,1.395,200
2022-02-17 12:26:00,1.395,1.4,1.395,1.4,200
2022-02-17 12:25:00,1.395,1.395,1.395,1.395,200
2022-02-17 12:24:00,1.3916,1.4,1.3916,1.4,1925
2022-02-17 12:23:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:22:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:21:00,1.395,1.395,1.395,1.395,600
2022-02-17 12:20:00,1.4,1.4,1.4,1.4,183
2022-02-17 12:19:00,1.395,1.395,1.395,1.395,103
2022-02-17 12:18:00,1.395,1.395,1.395,1.395,304
2022-02-17 12:17:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:16:00,1.395,1.395,1.395,1.395,625
2022-02-17 12:14:00,1.395,1.395,1.395,1.395,146
2022-02-17 12:12:00,1.395,1.395,1.395,1.395,300
2022-02-17 12:11:00,1.395,1.3997,1.395,1.395,430
2022-02-17 12:10:00,1.395,1.395,1.395,1.395,700
2022-02-17 12:09:00,1.398,1.3999,1.398,1.3999,249
2022-02-17 12:08:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:06:00,1.3999,1.3999,1.3999,1.3999,403
2022-02-17 12:04:00,1.395,1.395,1.395,1.395,100
2022-02-17 12:02:00,1.395,1.395,1.395,1.395,100
2022-02-17 11:53:00,1.4,1.4,1.395,1.395,222
2022-02-17 11:52:00,1.405,1.405,1.4,1.4,3803
2022-02-17 11:41:00,1.405,1.405,1.405,1.405,100
2022-02-17 11:40:00,1.4,1.4,1.4,1.4,338
2022-02-17 11:39:00,1.405,1.405,1.405,1.405,100
2022-02-17 11:37:00,1.405,1.405,1.405,1.405,300
2022-02-17 11:35:00,1.405,1.405,1.405,1.405,205
2022-02-17 11:32:00,1.401,1.401,1.401,1.401,343
2022-02-17 11:31:00,1.405,1.41,1.405,1.41,430
2022-02-17 11:30:00,1.405,1.405,1.405,1.405,100
2022-02-17 11:28:00,1.405,1.405,1.405,1.405,100
2022-02-17 11:22:00,1.41,1.41,1.41,1.41,200
2022-02-17 11:21:00,1.4,1.41,1.4,1.41,6488
2022-02-17 11:12:00,1.41,1.41,1.41,1.41,200
2022-02-17 11:08:00,1.405,1.41,1.405,1.41,1100
2022-02-17 11:07:00,1.41,1.41,1.41,1.41,100
2022-02-17 11:05:00,1.405,1.41,1.405,1.41,1080
2022-02-17 11:04:00,1.4085,1.4085,1.4085,1.4085,100
2022-02-17 11:02:00,1.405,1.405,1.405,1.405,300
2022-02-17 11:01:00,1.41,1.41,1.41,1.41,100
2022-02-17 10:59:00,1.41,1.41,1.41,1.41,679
2022-02-17 10:58:00,1.405,1.41,1.405,1.41,1943
2022-02-17 10:57:00,1.405,1.405,1.405,1.405,201
2022-02-17 10:56:00,1.41,1.41,1.41,1.41,100
