time,open,high,low,close,volume
2022-02-17 17:11:00,1.991,1.991,1.991,1.991,290
2022-02-17 16:11:00,2.0,2.0,2.0,2.0,332
2022-02-17 16:00:00,1.99,2.0,1.99,1.995,3013
2022-02-17 15:59:00,1.995,1.995,1.99,1.99,2050
2022-02-17 15:56:00,2.0,2.0,2.0,2.0,400
2022-02-17 15:55:00,2.0,2.0,2.0,2.0,431
2022-02-17 15:53:00,2.005,2.005,2.0,2.0,705
2022-02-17 15:51:00,2.01,2.01,2.0,2.0,664
2022-02-17 15:49:00,2.005,2.005,2.005,2.005,500
2022-02-17 15:44:00,2.01,2.01,2.01,2.01,500
2022-02-17 15:36:00,2.01,2.01,2.01,2.01,1050
2022-02-17 15:35:00,2.01,2.01,2.01,2.01,100
2022-02-17 15:32:00,1.9907,1.9907,1.9907,1.9907,1500
2022-02-17 15:31:00,2.005,2.005,2.0,2.0,886
2022-02-17 15:30:00,2.0,2.0,2.0,2.0,100
2022-02-17 15:24:00,2.005,2.005,2.005,2.005,134
2022-02-17 15:23:00,2.0,2.01,2.0,2.01,2104
2022-02-17 15:22:00,1.995,2.0,1.995,2.0,472
2022-02-17 15:11:00,1.9901,1.9901,1.99,1.9901,4704
2022-02-17 15:10:00,1.99,1.9901,1.99,1.99,5000
2022-02-17 15:02:00,1.9903,1.9903,1.9903,1.9903,1024
2022-02-17 15:00:00,2.005,2.005,1.99,1.99,2900
2022-02-17 14:58:00,2.0,2.0,2.0,2.0,100
2022-02-17 14:56:00,2.0,2.0,2.0,2.0,1050
2022-02-17 14:50:00,1.9974,1.9974,1.9974,1.9974,105
2022-02-17 14:49:00,1.9991,1.9991,1.9991,1.9991,500
2022-02-17 14:45:00,1.9908,1.9908,1.99,1.99,315
2022-02-17 14:42:00,1.99,1.99,1.99,1.99,600
2022-02-17 14:41:00,1.985,1.985,1.985,1.985,235
2022-02-17 14:34:00,1.99,1.99,1.99,1.99,550
2022-02-17 14:33:00,1.99,1.99,1.9807,1.9807,4036
2022-02-17 14:31:00,2.0,2.005,1.99,1.99,11727
2022-02-17 14:30:00,2.012,2.012,2.0,2.0,2022
2022-02-17 14:29:00,2.0107,2.0107,2.0107,2.0107,185
2022-02-17 14:25:00,2.02,2.02,2.02,2.02,100
2022-02-17 14:20:00,2.015,2.015,2.015,2.015,698
2022-02-17 14:19:00,2.01,2.01,2.01,2.01,1254
2022-02-17 14:17:00,2.0001,2.0001,2.0001,2.0001,1000
2022-02-17 14:16:00,2.0006,2.0006,2.0006,2.0006,425
2022-02-17 14:11:00,2.005,2.005,2.005,2.005,100
2022-02-17 14:05:00,2.0001,2.0001,2.0001,2.0001,100
2022-02-17 14:01:00,2.0009,2.0009,2.0009,2.0009,385
2022-02-17 14:00:00,2.005,2.005,2.005,2.005,124
2022-02-17 13:59:00,2.0,2.005,2.0,2.0,2703
2022-02-17 13:56:00,2.025,2.025,2.01,2.01,2801
2022-02-17 13:52:00,2.0205,2.0205,2.0205,2.0205,1030
2022-02-17 13:51:00,2.02,2.02,2.02,2.02,650
2022-02-17 13:50:00,2.014,2.014,2.014,2.014,797
2022-02-17 13:41:00,2.01,2.01,2.01,2.01,1424
2022-02-17 13:38:00,2.0094,2.0094,2.0094,2.0094,585
2022-02-17 13:35:00,2.0196,2.0196,2.0196,2.0196,5000
2022-02-17 13:27:00,2.01,2.01,2.01,2.01,1305
2022-02-17 13:18:00,2.01,2.02,2.01,2.02,3300
2022-02-17 13:17:00,2.0127,2.0127,2.01,2.01,1050
2022-02-17 13:16:00,2.01,2.02,2.01,2.02,2608
2022-02-17 13:15:00,2.02,2.02,2.02,2.02,203
2022-02-17 13:05:00,2.02,2.02,2.02,2.02,109
2022-02-17 13:04:00,2.02,2.02,2.02,2.02,300
2022-02-17 13:03:00,2.02,2.02,2.019,2.02,7569
2022-02-17 13:01:00,2.0,2.0199,2.0,2.0199,6208
2022-02-17 12:58:00,2.0,2.0,2.0,2.0,100
2022-02-17 12:50:00,2.02,2.02,2.02,2.02,105
2022-02-17 12:44:00,2.0,2.0,2.0,2.0,100
2022-02-17 12:43:00,2.0,2.0,2.0,2.0,100
2022-02-17 12:39:00,2.0,2.0,2.0,2.0,100
2022-02-17 12:29:00,2.0016,2.0016,2.0016,2.0016,100
2022-02-17 12:14:00,2.0088,2.0088,2.0088,2.0088,201
2022-02-17 12:03:00,2.01,2.01,2.01,2.01,317
2022-02-17 11:58:00,2.0099,2.0099,2.005,2.005,600
2022-02-17 11:51:00,2.003,2.003,2.003,2.003,503
2022-02-17 11:45:00,2.01,2.01,2.01,2.01,4251
2022-02-17 11:35:00,2.015,2.015,2.015,2.015,1000
2022-02-17 11:34:00,1.9999,2.01,1.9999,2.01,9300
2022-02-17 11:32:00,1.99,1.99,1.99,1.99,351
2022-02-17 11:31:00,1.9899,1.9899,1.9899,1.9899,7606
2022-02-17 11:26:00,2.01,2.01,1.9884,1.9884,6708
2022-02-17 11:24:00,2.0155,2.02,2.0155,2.02,1875
2022-02-17 11:23:00,2.02,2.02,2.015,2.015,1707
2022-02-17 11:22:00,2.02,2.02,2.02,2.02,6872
2022-02-17 11:20:00,2.0001,2.0001,2.0001,2.0001,7155
2022-02-17 11:18:00,1.98,2.01,1.98,2.0001,6769
2022-02-17 11:13:00,1.9615,1.9615,1.9615,1.9615,104
2022-02-17 11:07:00,1.97,1.97,1.97,1.97,300
2022-02-17 11:06:00,1.96,1.97,1.96,1.97,1750
2022-02-17 11:05:00,1.9504,1.9504,1.9504,1.9504,102
2022-02-17 11:02:00,1.957,1.957,1.957,1.957,513
2022-02-17 11:01:00,1.955,1.955,1.955,1.955,100
2022-02-17 10:53:00,1.9507,1.9507,1.9507,1.9507,225
2022-02-17 10:50:00,1.9501,1.9501,1.9501,1.9501,252
2022-02-17 10:49:00,1.9505,1.9505,1.9505,1.9505,700
2022-02-17 10:47:00,1.95,1.95,1.95,1.95,304
2022-02-17 10:39:00,1.9596,1.9596,1.95,1.95,9509
2022-02-17 10:36:00,1.95,1.95,1.95,1.95,250
2022-02-17 10:30:00,1.9499,1.95,1.9499,1.95,4130
2022-02-17 10:29:00,1.945,1.95,1.9401,1.9401,700
2022-02-17 10:28:00,1.95,1.95,1.95,1.95,300
2022-02-17 10:27:00,1.9401,1.9401,1.9401,1.9401,1750
2022-02-17 10:26:00,1.945,1.95,1.94,1.95,1259
2022-02-17 10:25:00,1.9473,1.95,1.9473,1.95,377
2022-02-17 10:23:00,1.945,1.945,1.945,1.945,184
2022-02-17 10:22:00,1.9499,1.95,1.9499,1.95,550
2022-02-17 10:21:00,1.965,1.965,1.94,1.95,9297
2022-02-17 10:15:00,1.965,1.965,1.965,1.965,200
2022-02-17 10:14:00,1.9699,1.97,1.9699,1.97,1191
2022-02-17 10:13:00,1.9656,1.9656,1.9656,1.9656,100
2022-02-17 10:12:00,1.97,1.97,1.97,1.97,352
2022-02-17 10:09:00,1.9662,1.9662,1.9662,1.9662,425
2022-02-17 10:08:00,1.97,1.975,1.97,1.97,2788
2022-02-17 10:05:00,1.975,1.975,1.9701,1.9701,1422
2022-02-17 10:04:00,1.985,1.985,1.9707,1.9707,3233
2022-02-17 10:03:00,1.99,1.99,1.99,1.99,400
2022-02-17 10:02:00,1.98,1.98,1.98,1.98,4726
2022-02-17 10:01:00,1.98,1.99,1.98,1.99,397
2022-02-17 10:00:00,1.98,1.9801,1.97,1.9801,1700
2022-02-17 09:58:00,1.98,1.98,1.98,1.98,205
2022-02-17 09:56:00,1.98,1.98,1.98,1.98,555
2022-02-17 09:52:00,1.9701,1.9701,1.9701,1.9701,550
2022-02-17 09:51:00,1.971,1.9809,1.9701,1.9701,933
2022-02-17 09:50:00,1.9723,1.9723,1.9723,1.9723,182
2022-02-17 09:49:00,1.9766,1.9766,1.97,1.97,360
2022-02-17 09:48:00,1.98,1.98,1.98,1.98,1555
2022-02-17 09:47:00,1.99,1.99,1.98,1.98,2288
2022-02-17 09:45:00,2.0,2.0,1.99,1.99,370
2022-02-17 09:41:00,1.99,1.9999,1.99,1.9943,1993
2022-02-17 09:40:00,1.9894,1.9894,1.9894,1.9894,200
2022-02-17 09:39:00,1.9888,1.9888,1.98,1.98,2338
2022-02-17 09:38:00,1.9888,1.9888,1.9734,1.9734,1936
2022-02-17 09:37:00,1.99,1.99,1.98,1.98,409
2022-02-17 09:36:00,1.97,1.97,1.96,1.97,2290
2022-02-17 09:34:00,1.9716,1.9899,1.96,1.97,1744
2022-02-17 09:33:00,1.975,1.975,1.975,1.975,3026
2022-02-17 09:32:00,1.9899,1.99,1.98,1.98,9637
2022-02-17 09:31:00,2.0,2.04,1.99,1.99,2934
2022-02-17 09:28:00,1.99,1.99,1.99,1.99,100
2022-02-17 08:37:00,1.99,1.99,1.99,1.99,200
2022-02-17 08:25:00,1.99,1.99,1.99,1.99,742
2022-02-17 08:24:00,2.0,2.0,2.0,2.0,379
2022-02-17 08:09:00,2.02,2.02,2.02,2.02,626
2022-02-17 07:16:00,2.01,2.01,2.01,2.01,170
2022-02-16 17:56:00,2.06,2.06,2.06,2.06,150
2022-02-16 17:07:00,2.06,2.06,2.06,2.06,3000
2022-02-16 17:06:00,2.0157,2.0157,2.0157,2.0157,200
2022-02-16 16:03:00,2.0,2.0,2.0,2.0,100
2022-02-16 16:00:00,2.045,2.05,2.04,2.05,3911
2022-02-16 15:59:00,2.0401,2.0401,2.0401,2.0401,4140
2022-02-16 15:56:00,2.0441,2.0441,2.0406,2.0406,450
2022-02-16 15:55:00,2.045,2.045,2.04,2.04,991
2022-02-16 15:54:00,2.045,2.045,2.0407,2.045,1671
2022-02-16 15:53:00,2.045,2.045,2.045,2.045,200
2022-02-16 15:52:00,2.0493,2.0493,2.0493,2.0493,190
2022-02-16 15:51:00,2.0491,2.05,2.048,2.048,648
2022-02-16 15:50:00,2.05,2.05,2.05,2.05,1105
2022-02-16 15:47:00,2.05,2.05,2.04,2.04,5102
2022-02-16 15:36:00,2.05,2.05,2.05,2.05,409
2022-02-16 15:34:00,2.0441,2.0441,2.0441,2.0441,100
2022-02-16 15:33:00,2.0427,2.0427,2.0427,2.0427,104
2022-02-16 15:32:00,2.045,2.045,2.045,2.045,1000
2022-02-16 15:31:00,2.05,2.05,2.05,2.05,644
2022-02-16 15:30:00,2.05,2.05,2.05,2.05,744
2022-02-16 15:29:00,2.05,2.05,2.05,2.05,600
2022-02-16 15:27:00,2.05,2.05,2.05,2.05,300
2022-02-16 15:24:00,2.05,2.05,2.05,2.05,366
2022-02-16 15:23:00,2.05,2.05,2.05,2.05,2100
2022-02-16 15:17:00,2.05,2.05,2.05,2.05,500
2022-02-16 15:15:00,2.06,2.06,2.06,2.06,805
2022-02-16 15:14:00,2.065,2.065,2.065,2.065,500
2022-02-16 15:11:00,2.0673,2.07,2.0673,2.07,2000
2022-02-16 15:08:00,2.0605,2.0605,2.0605,2.0605,1002
2022-02-16 15:04:00,2.06,2.06,2.06,2.06,201
2022-02-16 15:03:00,2.0508,2.0508,2.0508,2.0508,115
2022-02-16 15:02:00,2.06,2.06,2.055,2.055,375
2022-02-16 15:00:00,2.0598,2.0598,2.0598,2.0598,1431
2022-02-16 14:59:00,2.05,2.05,2.05,2.05,3209
2022-02-16 14:58:00,2.04,2.04,2.04,2.04,916
2022-02-16 14:57:00,2.04,2.04,2.04,2.04,412
2022-02-16 14:56:00,2.0307,2.0307,2.0307,2.0307,200
2022-02-16 14:55:00,2.035,2.035,2.035,2.035,200
2022-02-16 14:53:00,2.045,2.045,2.04,2.04,3319
2022-02-16 14:50:00,2.055,2.055,2.05,2.05,844
2022-02-16 14:47:00,2.06,2.06,2.06,2.06,1975
2022-02-16 14:44:00,2.06,2.06,2.06,2.06,235
2022-02-16 14:42:00,2.06,2.06,2.0552,2.0552,1899
2022-02-16 14:37:00,2.07,2.07,2.07,2.07,200
2022-02-16 14:36:00,2.075,2.075,2.075,2.075,100
2022-02-16 14:34:00,2.0704,2.0756,2.0704,2.0756,2305
2022-02-16 14:33:00,2.075,2.075,2.075,2.075,410
2022-02-16 14:32:00,2.075,2.075,2.075,2.075,300
2022-02-16 14:31:00,2.0799,2.0799,2.075,2.075,1210
2022-02-16 14:29:00,2.0758,2.08,2.0758,2.08,450
2022-02-16 14:28:00,2.07,2.07,2.07,2.07,438
