time,open,high,low,close,volume
2022-04-19 17:45:00,1.67,1.67,1.67,1.67,500
2022-04-19 16:50:00,1.67,1.67,1.67,1.67,500
2022-04-19 16:03:00,1.63,1.63,1.63,1.63,4682
2022-04-19 16:02:00,1.63,1.63,1.63,1.63,900
2022-04-19 16:01:00,1.63,1.63,1.63,1.63,277
2022-04-19 16:00:00,1.635,1.64,1.63,1.64,28108
2022-04-19 15:59:00,1.63,1.64,1.63,1.63,6217
2022-04-19 15:58:00,1.63,1.635,1.625,1.63,23940
2022-04-19 15:57:00,1.635,1.635,1.63,1.63,5731
2022-04-19 15:56:00,1.635,1.6363,1.63,1.635,1219
2022-04-19 15:55:00,1.64,1.645,1.635,1.635,13687
2022-04-19 15:54:00,1.645,1.6458,1.64,1.6458,2776
2022-04-19 15:53:00,1.645,1.65,1.645,1.645,1303
2022-04-19 15:52:00,1.635,1.65,1.635,1.65,14658
2022-04-19 15:51:00,1.64,1.645,1.64,1.64,20141
2022-04-19 15:50:00,1.635,1.64,1.635,1.64,2603
2022-04-19 15:49:00,1.625,1.635,1.625,1.635,13053
2022-04-19 15:48:00,1.63,1.63,1.625,1.625,500
2022-04-19 15:47:00,1.625,1.625,1.625,1.625,227
2022-04-19 15:46:00,1.625,1.625,1.625,1.625,771
2022-04-19 15:45:00,1.625,1.63,1.625,1.63,2104
2022-04-19 15:44:00,1.63,1.635,1.625,1.63,19756
2022-04-19 15:43:00,1.6373,1.6373,1.63,1.63,2500
2022-04-19 15:42:00,1.63,1.635,1.63,1.63,5974
2022-04-19 15:41:00,1.635,1.6393,1.63,1.63,11840
2022-04-19 15:40:00,1.631,1.635,1.63,1.635,6907
2022-04-19 15:39:00,1.635,1.635,1.63,1.635,310
2022-04-19 15:38:00,1.635,1.64,1.63,1.64,1217
2022-04-19 15:37:00,1.635,1.635,1.635,1.635,117
2022-04-19 15:35:00,1.63,1.635,1.63,1.6318,1154
2022-04-19 15:34:00,1.635,1.64,1.635,1.635,3991
