time,open,high,low,close,volume
2022-01-18 20:00:00,6.47,6.47,6.47,6.47,140
2022-01-18 19:57:00,6.46,6.46,6.46,6.46,441
2022-01-18 19:51:00,6.49,6.49,6.49,6.49,618
2022-01-18 19:50:00,6.49,6.49,6.49,6.49,125
2022-01-18 19:49:00,6.7099,6.7099,6.7099,6.7099,100
2022-01-18 19:36:00,6.6,6.61,6.55,6.55,4865
2022-01-18 19:34:00,6.6,6.6,6.6,6.6,802
2022-01-18 19:09:00,6.55,6.55,6.55,6.55,100
2022-01-18 19:06:00,6.69,6.69,6.69,6.69,200
2022-01-18 18:45:00,6.55,6.55,6.55,6.55,109
2022-01-18 18:18:00,6.54,6.54,6.52,6.52,550
2022-01-18 18:16:00,6.52,6.52,6.52,6.52,301
2022-01-18 17:49:00,6.53,6.53,6.53,6.53,100
2022-01-18 17:40:00,6.52,6.52,6.52,6.52,1742
2022-01-18 17:39:00,6.36,6.51,6.36,6.51,3388
2022-01-18 17:38:00,6.55,6.55,6.53,6.53,3064
2022-01-18 17:22:00,6.6401,6.6401,6.6401,6.6401,503
2022-01-18 17:19:00,6.6401,6.6401,6.6401,6.6401,500
2022-01-18 17:10:00,6.69,6.69,6.69,6.69,151
2022-01-18 16:53:00,6.75,6.75,6.75,6.75,446
2022-01-18 16:49:00,6.79,6.79,6.79,6.79,100
2022-01-18 16:45:00,6.7501,6.7501,6.7501,6.7501,1060
2022-01-18 16:44:00,6.75,6.75,6.75,6.75,2607
2022-01-18 16:43:00,6.7501,6.7501,6.7501,6.7501,500
2022-01-18 16:42:00,6.75,6.7501,6.75,6.75,2150
2022-01-18 16:41:00,6.75,6.75,6.75,6.75,1063
2022-01-18 16:40:00,6.75,6.75,6.75,6.75,538
2022-01-18 16:39:00,6.7,6.75,6.7,6.75,3357
2022-01-18 16:38:00,6.68,6.75,6.68,6.75,3579
2022-01-18 16:36:00,6.6,6.6,6.6,6.6,800
2022-01-18 16:34:00,6.63,6.63,6.63,6.63,250
2022-01-18 16:32:00,6.65,6.65,6.65,6.65,504
2022-01-18 16:26:00,6.5309,6.5309,6.5309,6.5309,1100
2022-01-18 16:23:00,6.53,6.53,6.53,6.53,415
2022-01-18 16:18:00,6.57,6.57,6.53,6.53,5744
2022-01-18 16:17:00,6.57,6.57,6.57,6.57,1000
2022-01-18 16:16:00,6.57,6.57,6.57,6.57,500
2022-01-18 16:15:00,6.58,6.58,6.57,6.57,1863
2022-01-18 16:14:00,6.65,6.65,6.65,6.65,664
2022-01-18 16:12:00,6.67,6.67,6.59,6.67,2600
2022-01-18 16:05:00,6.68,6.68,6.68,6.68,415
2022-01-18 16:04:00,6.65,6.65,6.65,6.65,1501
2022-01-18 16:00:00,6.7299,6.73,6.69,6.73,26304
2022-01-18 15:59:00,6.71,6.73,6.6726,6.71,11639
2022-01-18 15:58:00,6.62,6.73,6.62,6.7199,9801
2022-01-18 15:57:00,6.65,6.65,6.62,6.65,8981
2022-01-18 15:56:00,6.56,6.65,6.56,6.65,9344
2022-01-18 15:55:00,6.61,6.66,6.5578,6.65,8244
2022-01-18 15:54:00,6.62,6.62,6.53,6.585,23915
2022-01-18 15:53:00,6.62,6.62,6.575,6.5975,2113
2022-01-18 15:52:00,6.64,6.64,6.6,6.6,2004
2022-01-18 15:51:00,6.5888,6.64,6.5409,6.64,2572
2022-01-18 15:50:00,6.6,6.6,6.565,6.6,904
2022-01-18 15:49:00,6.61,6.6166,6.59,6.6166,2053
2022-01-18 15:48:00,6.5289,6.62,6.5289,6.61,1894
