time,open,high,low,close,volume
2022-02-17 19:42:00,0.98,0.98,0.98,0.98,1001
2022-02-17 19:39:00,0.98,0.98,0.98,0.98,500
2022-02-17 19:37:00,0.98,0.98,0.98,0.98,1000
2022-02-17 19:35:00,0.98,0.98,0.98,0.98,1500
2022-02-17 17:58:00,0.96,0.96,0.96,0.96,220
2022-02-17 17:06:00,0.9504,0.9504,0.9504,0.9504,6000
2022-02-17 17:03:00,0.963,0.963,0.96,0.96,4541
2022-02-17 16:42:00,0.965,0.965,0.965,0.965,220
2022-02-17 16:37:00,0.965,0.965,0.965,0.965,132
2022-02-17 16:32:00,0.9622,0.9622,0.9622,0.9622,1000
2022-02-17 16:24:00,0.96,0.96,0.96,0.96,399
2022-02-17 16:20:00,0.9601,0.9601,0.96,0.96,5710
2022-02-17 16:19:00,0.9699,0.9699,0.9699,0.9699,675
2022-02-17 16:14:00,0.98,0.98,0.98,0.98,100
2022-02-17 16:02:00,0.98,0.98,0.98,0.98,10000
2022-02-17 16:01:00,0.97,0.97,0.9645,0.9645,800
2022-02-17 16:00:00,0.9664,0.97,0.9664,0.97,310
2022-02-17 15:59:00,0.97,0.9701,0.97,0.97,5088
2022-02-17 15:58:00,0.974901,0.974901,0.974901,0.974901,327
2022-02-17 15:57:00,0.9765,0.9766,0.97,0.97,5187
2022-02-17 15:56:00,0.97,0.9751,0.97,0.9751,840
2022-02-17 15:54:00,0.9768,0.9768,0.9768,0.9768,2117
2022-02-17 15:52:00,0.970101,0.970101,0.97,0.97,3053
2022-02-17 15:51:00,0.97,0.97,0.97,0.97,495
2022-02-17 15:49:00,0.98,0.98,0.98,0.98,161
2022-02-17 15:47:00,0.9798,0.9835,0.9798,0.98,4568
2022-02-17 15:46:00,0.9762,0.9762,0.9762,0.9762,280
2022-02-17 15:45:00,0.9737,0.9762,0.9737,0.9762,1070
2022-02-17 15:44:00,0.9724,0.9724,0.9724,0.9724,324
2022-02-17 15:43:00,0.971199,0.971199,0.971199,0.971199,1114
2022-02-17 15:40:00,0.972,0.9739,0.972,0.973899,620
2022-02-17 15:39:00,0.974,0.974,0.974,0.974,708
2022-02-17 15:38:00,0.97,0.97,0.9651,0.9651,8289
2022-02-17 15:32:00,0.979699,0.979699,0.97,0.97,326
2022-02-17 15:31:00,0.9702,0.9702,0.9702,0.9702,226
2022-02-17 15:30:00,0.97,0.97,0.97,0.97,700
2022-02-17 15:28:00,0.9798,0.9798,0.9798,0.9798,200
2022-02-17 15:27:00,0.9798,0.9798,0.9798,0.9798,820
2022-02-17 15:25:00,0.979699,0.979699,0.979699,0.979699,100
2022-02-17 15:24:00,0.97979,0.97979,0.970001,0.970001,1700
2022-02-17 15:21:00,0.97,0.97,0.97,0.97,219
2022-02-17 15:19:00,0.9701,0.9725,0.9701,0.9725,236
2022-02-17 15:18:00,0.9749,0.9749,0.9749,0.9749,100
2022-02-17 15:14:00,0.976,0.976,0.976,0.976,221
2022-02-17 15:09:00,0.97,0.97,0.9652,0.97,7038
2022-02-17 15:08:00,0.9844,0.9844,0.9844,0.9844,321
2022-02-17 15:06:00,0.9747,0.9846,0.9747,0.9846,16133
2022-02-17 15:05:00,0.9747,0.9747,0.9747,0.9747,175
