time,open,high,low,close,volume
2022-04-19 19:47:00,1.3,1.3,1.3,1.3,300
2022-04-19 17:27:00,1.3496,1.3496,1.3496,1.3496,620
2022-04-19 16:55:00,1.35,1.35,1.35,1.35,115
2022-04-19 16:15:00,1.3472,1.3472,1.3472,1.3472,300
2022-04-19 16:00:00,1.31,1.35,1.31,1.35,5134
2022-04-19 15:59:00,1.32,1.32,1.32,1.32,3906
2022-04-19 15:58:00,1.32,1.33,1.32,1.325,1221
2022-04-19 15:57:00,1.32,1.32,1.32,1.32,164
2022-04-19 15:56:00,1.325,1.33,1.325,1.325,900
2022-04-19 15:55:00,1.32,1.32,1.32,1.32,5302
2022-04-19 15:51:00,1.33,1.34,1.32,1.32,5932
2022-04-19 15:50:00,1.33,1.34,1.32,1.32,24910
2022-04-19 15:49:00,1.335,1.335,1.335,1.335,123
2022-04-19 15:48:00,1.33,1.33,1.33,1.33,200
2022-04-19 15:44:00,1.335,1.335,1.335,1.335,200
2022-04-19 15:43:00,1.3487,1.3487,1.34,1.34,4216
2022-04-19 15:40:00,1.34,1.34,1.34,1.34,110
2022-04-19 15:39:00,1.34,1.34,1.34,1.34,5756
2022-04-19 15:36:00,1.345,1.345,1.345,1.345,745
2022-04-19 15:35:00,1.35,1.35,1.345,1.345,700
2022-04-19 15:33:00,1.35,1.35,1.35,1.35,1199
2022-04-19 15:30:00,1.35,1.35,1.35,1.35,1893
2022-04-19 15:29:00,1.3495,1.3495,1.345,1.345,8193
2022-04-19 15:28:00,1.3483,1.3483,1.3483,1.3483,100
2022-04-19 15:24:00,1.355,1.355,1.34,1.35,8505
2022-04-19 15:22:00,1.355,1.355,1.355,1.355,173
2022-04-19 15:18:00,1.35,1.36,1.35,1.36,1007
2022-04-19 15:17:00,1.35,1.35,1.35,1.35,114
2022-04-19 15:12:00,1.345,1.3493,1.345,1.3493,2200
2022-04-19 15:11:00,1.345,1.345,1.345,1.345,747
2022-04-19 15:10:00,1.345,1.345,1.3421,1.3421,550
2022-04-19 15:04:00,1.345,1.345,1.345,1.345,100
2022-04-19 15:02:00,1.34,1.34,1.34,1.34,313
2022-04-19 14:58:00,1.335,1.35,1.33,1.35,12652
2022-04-19 14:57:00,1.335,1.335,1.33,1.335,14400
2022-04-19 14:55:00,1.34,1.34,1.34,1.34,4200
2022-04-19 14:54:00,1.3334,1.34,1.3334,1.34,2112
2022-04-19 14:53:00,1.335,1.335,1.335,1.335,100
2022-04-19 14:52:00,1.34,1.35,1.34,1.34,18804
2022-04-19 14:47:00,1.3381,1.3381,1.3381,1.3381,300
2022-04-19 14:44:00,1.34,1.34,1.34,1.34,501
2022-04-19 14:40:00,1.3324,1.35,1.3324,1.335,8984
2022-04-19 14:38:00,1.34,1.34,1.34,1.34,2900
2022-04-19 14:37:00,1.325,1.34,1.325,1.34,14728
2022-04-19 14:35:00,1.32,1.32,1.32,1.32,5390
2022-04-19 14:33:00,1.3201,1.3201,1.3201,1.3201,100
2022-04-19 14:30:00,1.3182,1.32,1.3182,1.32,1050
2022-04-19 14:28:00,1.3201,1.3201,1.315,1.315,4600
2022-04-19 14:26:00,1.32,1.32,1.32,1.32,410
2022-04-19 14:25:00,1.3201,1.3201,1.3201,1.3201,2000
2022-04-19 14:20:00,1.322,1.322,1.322,1.322,274
2022-04-19 14:17:00,1.3206,1.3206,1.3206,1.3206,200
2022-04-19 14:14:00,1.32,1.32,1.32,1.32,2106
2022-04-19 14:13:00,1.333,1.333,1.325,1.325,3605
2022-04-19 14:10:00,1.33,1.33,1.33,1.33,100
2022-04-19 14:07:00,1.3328,1.3328,1.3328,1.3328,700
2022-04-19 14:03:00,1.333,1.333,1.333,1.333,500
2022-04-19 13:53:00,1.335,1.34,1.335,1.34,3922
2022-04-19 13:51:00,1.335,1.335,1.335,1.335,100
2022-04-19 13:42:00,1.33,1.3301,1.32,1.33,8263
2022-04-19 13:40:00,1.3376,1.3376,1.3376,1.3376,100
2022-04-19 13:37:00,1.3392,1.3392,1.33,1.33,4050
2022-04-19 13:34:00,1.33,1.33,1.33,1.33,500
2022-04-19 13:28:00,1.34,1.34,1.33,1.33,8246
2022-04-19 13:25:00,1.35,1.35,1.35,1.35,100
2022-04-19 13:22:00,1.3499,1.3499,1.3499,1.3499,8030
2022-04-19 13:09:00,1.348,1.348,1.348,1.348,300
2022-04-19 13:01:00,1.3601,1.3601,1.34,1.34,25364
2022-04-19 13:00:00,1.36,1.365,1.36,1.36,36498
2022-04-19 12:59:00,1.37,1.37,1.36,1.37,25670
2022-04-19 12:58:00,1.35,1.38,1.35,1.37,111664
2022-04-19 12:57:00,1.35,1.35,1.34,1.35,100300
2022-04-19 12:55:00,1.34,1.345,1.335,1.345,2935
2022-04-19 12:52:00,1.34,1.34,1.337,1.337,2351
2022-04-19 12:49:00,1.34,1.34,1.34,1.34,222
2022-04-19 12:41:00,1.345,1.345,1.33,1.33,10300
2022-04-19 12:39:00,1.35,1.355,1.345,1.3485,14073
2022-04-19 12:37:00,1.359,1.36,1.355,1.355,10100
2022-04-19 12:36:00,1.3468,1.3468,1.3468,1.3468,170
2022-04-19 12:27:00,1.356,1.356,1.356,1.356,100
2022-04-19 12:18:00,1.35,1.3555,1.35,1.35,1715
2022-04-19 12:17:00,1.35,1.3541,1.35,1.35,2400
2022-04-19 12:15:00,1.355,1.355,1.355,1.355,1024
2022-04-19 12:14:00,1.355,1.355,1.355,1.355,1005
2022-04-19 12:08:00,1.36,1.36,1.3599,1.3599,1200
2022-04-19 12:06:00,1.35,1.35,1.345,1.345,710
2022-04-19 11:57:00,1.3578,1.3578,1.3578,1.3578,208
2022-04-19 11:54:00,1.35,1.35,1.35,1.35,2900
2022-04-19 11:49:00,1.35,1.355,1.35,1.355,400
2022-04-19 11:48:00,1.3473,1.3473,1.3473,1.3473,201
2022-04-19 11:47:00,1.3574,1.3574,1.3574,1.3574,500
2022-04-19 11:42:00,1.35,1.35,1.345,1.35,8644
2022-04-19 11:41:00,1.345,1.35,1.345,1.345,567
2022-04-19 11:39:00,1.33,1.35,1.33,1.345,9403
2022-04-19 11:36:00,1.3247,1.33,1.3247,1.325,1301
2022-04-19 11:33:00,1.328,1.328,1.325,1.325,210
2022-04-19 11:32:00,1.325,1.325,1.325,1.325,100
2022-04-19 11:29:00,1.33,1.33,1.32,1.32,900
2022-04-19 11:26:00,1.33,1.34,1.325,1.33,20381
2022-04-19 11:23:00,1.325,1.325,1.325,1.325,100
2022-04-19 11:22:00,1.32,1.33,1.32,1.33,3317
2022-04-19 11:16:00,1.32,1.32,1.315,1.315,2246
2022-04-19 11:11:00,1.32,1.32,1.315,1.315,351
2022-04-19 11:04:00,1.31,1.32,1.31,1.32,1130
2022-04-19 11:03:00,1.32,1.32,1.32,1.32,150
2022-04-19 11:02:00,1.3211,1.3211,1.3211,1.3211,200
2022-04-19 11:01:00,1.3205,1.3205,1.3205,1.3205,104
2022-04-19 10:56:00,1.325,1.325,1.325,1.325,100
2022-04-19 10:52:00,1.32,1.32,1.32,1.32,11500
2022-04-19 10:51:00,1.32,1.32,1.32,1.32,500
2022-04-19 10:48:00,1.3211,1.3211,1.3211,1.3211,149
2022-04-19 10:47:00,1.32,1.32,1.32,1.32,200
2022-04-19 10:43:00,1.32,1.32,1.32,1.32,300
2022-04-19 10:41:00,1.321,1.321,1.321,1.321,250
2022-04-19 10:40:00,1.3201,1.3201,1.3201,1.3201,100
2022-04-19 10:35:00,1.32,1.32,1.32,1.32,260
2022-04-19 10:33:00,1.32,1.325,1.32,1.325,1161
2022-04-19 10:32:00,1.33,1.33,1.325,1.325,7350
2022-04-19 10:31:00,1.3394,1.3394,1.3394,1.3394,514
2022-04-19 10:30:00,1.34,1.34,1.33,1.3399,5180
2022-04-19 10:29:00,1.33,1.33,1.33,1.33,200
2022-04-19 10:28:00,1.335,1.335,1.335,1.335,200
2022-04-19 10:27:00,1.3306,1.3306,1.3306,1.3306,500
2022-04-19 10:26:00,1.3352,1.3352,1.3352,1.3352,362
2022-04-19 10:25:00,1.33,1.33,1.33,1.33,269
2022-04-19 10:24:00,1.335,1.335,1.335,1.335,150
2022-04-19 10:23:00,1.335,1.335,1.335,1.335,130
2022-04-19 10:21:00,1.3308,1.3308,1.33,1.33,1660
2022-04-19 10:19:00,1.33,1.33,1.33,1.33,100
2022-04-19 10:18:00,1.32,1.34,1.315,1.34,19093
2022-04-19 10:17:00,1.315,1.315,1.315,1.315,102
2022-04-19 10:16:00,1.32,1.32,1.315,1.32,1200
2022-04-19 10:15:00,1.325,1.33,1.3203,1.3203,2858
2022-04-19 10:13:00,1.3193,1.33,1.31,1.33,12100
2022-04-19 10:11:00,1.3159,1.3159,1.3159,1.3159,3200
2022-04-19 10:10:00,1.3182,1.3182,1.31,1.31,800
2022-04-19 10:09:00,1.315,1.3183,1.31,1.3183,3700
2022-04-19 10:08:00,1.32,1.32,1.3191,1.3191,4000
2022-04-19 10:07:00,1.325,1.325,1.325,1.325,100
2022-04-19 10:06:00,1.325,1.325,1.325,1.325,500
2022-04-19 10:05:00,1.325,1.325,1.325,1.325,500
2022-04-19 10:04:00,1.33,1.3327,1.325,1.325,34306
2022-04-19 10:03:00,1.35,1.35,1.33,1.33,18760
2022-04-19 10:02:00,1.355,1.36,1.355,1.36,531
2022-04-19 10:01:00,1.3705,1.375,1.36,1.36,17700
2022-04-19 10:00:00,1.37,1.37,1.365,1.37,19611
2022-04-19 09:59:00,1.39,1.39,1.38,1.38,32086
2022-04-19 09:58:00,1.36,1.405,1.36,1.3817,155068
2022-04-19 09:57:00,1.35,1.35,1.345,1.35,5501
2022-04-19 09:56:00,1.3425,1.3425,1.3425,1.3425,1097
2022-04-19 09:54:00,1.3493,1.3499,1.3493,1.3499,600
2022-04-19 09:53:00,1.3301,1.35,1.3301,1.35,1000
2022-04-19 09:52:00,1.33,1.34,1.33,1.34,588
2022-04-19 09:51:00,1.3483,1.3483,1.34,1.34,4095
2022-04-19 09:50:00,1.3301,1.3301,1.3301,1.3301,1440
2022-04-19 09:49:00,1.34,1.34,1.34,1.34,3401
2022-04-19 09:48:00,1.34,1.35,1.34,1.35,200
2022-04-19 09:47:00,1.355,1.36,1.35,1.36,17078
2022-04-19 09:46:00,1.345,1.36,1.34,1.36,25769
2022-04-19 09:45:00,1.32,1.35,1.32,1.3453,112277
2022-04-19 09:44:00,1.305,1.3145,1.305,1.3145,785
2022-04-19 09:43:00,1.2981,1.2981,1.2981,1.2981,394
2022-04-19 09:42:00,1.3,1.3,1.2983,1.3,450
2022-04-19 09:41:00,1.315,1.315,1.29,1.29,8027
2022-04-19 09:38:00,1.33,1.34,1.31,1.32,5077
2022-04-19 09:37:00,1.33,1.33,1.33,1.33,303
2022-04-19 09:36:00,1.33,1.34,1.33,1.34,666
2022-04-19 09:35:00,1.325,1.33,1.325,1.33,2384
2022-04-19 09:34:00,1.2612,1.37,1.2612,1.32,70399
2022-04-19 09:33:00,1.26,1.26,1.26,1.26,200
2022-04-19 09:32:00,1.26,1.26,1.26,1.26,200
2022-04-19 09:31:00,1.27,1.31,1.26,1.28,6012
2022-04-19 09:18:00,1.29,1.29,1.28,1.28,1000
2022-04-19 08:07:00,1.28,1.28,1.28,1.28,300
2022-04-19 08:01:00,1.3101,1.3101,1.3101,1.3101,1019
2022-04-19 05:42:00,1.31,1.31,1.31,1.31,1040
2022-04-18 16:03:00,1.31,1.31,1.31,1.31,300
2022-04-18 16:00:00,1.29,1.3,1.29,1.3,4953
2022-04-18 15:59:00,1.28,1.3,1.28,1.29,1871
2022-04-18 15:58:00,1.28,1.29,1.28,1.29,1119
2022-04-18 15:57:00,1.3,1.3,1.3,1.3,946
2022-04-18 15:56:00,1.29,1.3,1.28,1.29,5964
2022-04-18 15:55:00,1.29,1.29,1.29,1.29,200
2022-04-18 15:54:00,1.29,1.29,1.29,1.29,100
2022-04-18 15:53:00,1.29,1.29,1.29,1.29,310
2022-04-18 15:51:00,1.295,1.295,1.29,1.29,1644
2022-04-18 15:50:00,1.29,1.29,1.29,1.29,100
2022-04-18 15:49:00,1.295,1.295,1.29,1.2912,515
2022-04-18 15:48:00,1.3,1.3,1.3,1.3,122
2022-04-18 15:47:00,1.29,1.29,1.29,1.29,300
2022-04-18 15:46:00,1.295,1.295,1.29,1.295,958
2022-04-18 15:45:00,1.3,1.3,1.28,1.3,3632
2022-04-18 15:44:00,1.28,1.3,1.28,1.29,4577
2022-04-18 15:43:00,1.3,1.3,1.3,1.3,110
2022-04-18 15:41:00,1.295,1.295,1.29,1.29,604
2022-04-18 15:39:00,1.29,1.29,1.29,1.29,100
2022-04-18 15:37:00,1.29,1.29,1.29,1.29,100
2022-04-18 15:33:00,1.28,1.3,1.28,1.3,5308
2022-04-18 15:30:00,1.28,1.28,1.28,1.28,100
2022-04-18 15:29:00,1.3011,1.3011,1.3,1.3,748
2022-04-18 15:27:00,1.3046,1.3046,1.3,1.3,300
2022-04-18 15:26:00,1.3014,1.3014,1.3014,1.3014,300
2022-04-18 15:25:00,1.3,1.3,1.3,1.3,600
2022-04-18 15:24:00,1.305,1.305,1.3,1.3,3967
2022-04-18 15:19:00,1.305,1.305,1.305,1.305,100
2022-04-18 15:15:00,1.31,1.31,1.305,1.305,1100
2022-04-18 15:14:00,1.31,1.32,1.31,1.32,1430
2022-04-18 15:13:00,1.31,1.33,1.31,1.33,4977
2022-04-18 15:12:00,1.3,1.31,1.3,1.31,23902
2022-04-18 15:10:00,1.2825,1.3,1.2825,1.3,500
2022-04-18 15:09:00,1.29,1.3,1.2821,1.3,5526
2022-04-18 15:08:00,1.3,1.31,1.29,1.29,9807
2022-04-18 15:07:00,1.305,1.31,1.305,1.31,1012
2022-04-18 15:05:00,1.3,1.3,1.3,1.3,407
2022-04-18 15:02:00,1.31,1.31,1.3,1.3,3945
2022-04-18 14:59:00,1.3,1.3,1.3,1.3,100
2022-04-18 14:56:00,1.3,1.3,1.3,1.3,330
2022-04-18 14:55:00,1.3012,1.3012,1.3012,1.3012,201
2022-04-18 14:50:00,1.3016,1.3016,1.3016,1.3016,1000
2022-04-18 14:47:00,1.3,1.31,1.3,1.31,1721
2022-04-18 14:45:00,1.29,1.2942,1.29,1.29,1200
2022-04-18 14:43:00,1.29,1.29,1.29,1.29,200
2022-04-18 14:42:00,1.29,1.29,1.29,1.29,6112
2022-04-18 14:39:00,1.2901,1.2901,1.29,1.29,1700
2022-04-18 14:38:00,1.29,1.29,1.29,1.29,174
2022-04-18 14:34:00,1.29,1.29,1.29,1.29,100
2022-04-18 14:33:00,1.29,1.3,1.29,1.29,6167
2022-04-18 14:29:00,1.29,1.3,1.29,1.29,5726
2022-04-18 14:27:00,1.29,1.29,1.29,1.29,100
2022-04-18 14:22:00,1.29,1.29,1.29,1.29,100
2022-04-18 14:18:00,1.29,1.29,1.29,1.29,114
2022-04-18 14:17:00,1.2915,1.2915,1.2915,1.2915,100
2022-04-18 14:13:00,1.295,1.295,1.295,1.295,200
2022-04-18 14:12:00,1.3,1.3,1.3,1.3,950
2022-04-18 14:07:00,1.3,1.3,1.3,1.3,2319
2022-04-18 14:03:00,1.3,1.3,1.3,1.3,150
2022-04-18 14:02:00,1.3,1.3,1.3,1.3,1542
2022-04-18 13:56:00,1.3,1.3,1.3,1.3,500
2022-04-18 13:54:00,1.3,1.31,1.295,1.31,2200
2022-04-18 13:53:00,1.29,1.29,1.29,1.29,100
2022-04-18 13:49:00,1.2903,1.2999,1.29,1.29,1050
2022-04-18 13:48:00,1.3,1.3,1.298,1.3,420
2022-04-18 13:46:00,1.3,1.3,1.3,1.3,250
2022-04-18 13:45:00,1.2979,1.2979,1.2979,1.2979,100
2022-04-18 13:38:00,1.29,1.29,1.29,1.29,100
2022-04-18 13:36:00,1.295,1.295,1.295,1.295,400
2022-04-18 13:35:00,1.28,1.3,1.28,1.2979,14601
2022-04-18 13:33:00,1.29,1.3,1.2868,1.29,5005
2022-04-18 13:32:00,1.2861,1.29,1.2861,1.29,1701
2022-04-18 13:30:00,1.3,1.3,1.29,1.29,13545
2022-04-18 13:29:00,1.295,1.295,1.295,1.295,130
2022-04-18 13:27:00,1.2999,1.2999,1.2999,1.2999,358
2022-04-18 13:26:00,1.29,1.31,1.29,1.3,38572
2022-04-18 13:23:00,1.29,1.29,1.29,1.29,104
2022-04-18 13:21:00,1.2908,1.2908,1.2908,1.2908,1000
2022-04-18 13:20:00,1.2978,1.2978,1.2978,1.2978,100
2022-04-18 13:17:00,1.29,1.29,1.29,1.29,100
2022-04-18 13:13:00,1.29,1.31,1.29,1.31,11272
