time,open,high,low,close,volume
2022-04-19 20:00:00,2.0,2.01,2.0,2.01,650
2022-04-19 19:52:00,2.0,2.0,2.0,2.0,100
2022-04-19 19:44:00,2.0,2.0,2.0,2.0,900
2022-04-19 19:39:00,2.01,2.01,2.01,2.01,100
2022-04-19 19:34:00,2.0,2.0,2.0,2.0,100
2022-04-19 19:33:00,2.0,2.0,2.0,2.0,188
2022-04-19 19:30:00,2.0,2.0,2.0,2.0,375
2022-04-19 18:55:00,1.99,1.99,1.99,1.99,3100
2022-04-19 18:41:00,1.99,1.99,1.99,1.99,496
2022-04-19 18:37:00,2.01,2.01,2.01,2.01,350
2022-04-19 18:28:00,2.0,2.0,2.0,2.0,100
2022-04-19 18:25:00,2.0,2.0,2.0,2.0,319
2022-04-19 18:23:00,2.0,2.0,2.0,2.0,130
2022-04-19 18:19:00,1.9901,2.01,1.9901,2.01,1500
2022-04-19 18:17:00,1.99,1.99,1.99,1.99,5000
2022-04-19 17:50:00,1.99,1.99,1.99,1.99,1201
2022-04-19 17:48:00,1.99,1.99,1.99,1.99,103
2022-04-19 17:28:00,1.97,1.97,1.97,1.97,1000
2022-04-19 17:24:00,1.97,1.97,1.97,1.97,220
2022-04-19 17:17:00,1.97,1.97,1.97,1.97,343
2022-04-19 17:07:00,1.97,1.97,1.97,1.97,300
2022-04-19 17:05:00,1.97,1.97,1.97,1.97,151
2022-04-19 17:04:00,1.98,1.99,1.96,1.9601,7320
2022-04-19 17:03:00,2.0,2.0,2.0,2.0,100
2022-04-19 17:00:00,2.0,2.0,2.0,2.0,341
2022-04-19 16:59:00,2.0,2.0,2.0,2.0,2000
2022-04-19 16:54:00,1.97,1.98,1.96,1.98,3701
2022-04-19 16:38:00,1.99,1.99,1.99,1.99,1250
2022-04-19 16:34:00,1.97,1.97,1.97,1.97,2200
2022-04-19 16:33:00,1.96,1.97,1.96,1.97,1270
2022-04-19 16:32:00,1.97,1.97,1.97,1.97,342
2022-04-19 16:31:00,1.98,1.98,1.98,1.98,500
2022-04-19 16:29:00,1.98,1.98,1.98,1.98,1279
2022-04-19 16:28:00,1.99,1.99,1.98,1.98,977
2022-04-19 16:27:00,1.99,1.99,1.99,1.99,1339
2022-04-19 16:26:00,1.98,1.98,1.98,1.98,1911
2022-04-19 16:24:00,1.9999,1.9999,1.9999,1.9999,530
2022-04-19 16:23:00,2.0,2.0,2.0,2.0,250
2022-04-19 16:14:00,1.99,1.99,1.99,1.99,500
2022-04-19 16:13:00,2.01,2.01,2.01,2.01,140
2022-04-19 16:12:00,2.0,2.01,2.0,2.01,290
2022-04-19 16:11:00,2.0,2.01,2.0,2.01,500
2022-04-19 16:05:00,1.98,1.98,1.97,1.97,3037
2022-04-19 16:04:00,1.98,1.98,1.98,1.98,866
2022-04-19 16:03:00,1.99,1.99,1.98,1.98,1084
2022-04-19 16:02:00,2.01,2.01,2.0,2.0,2523
2022-04-19 16:00:00,2.03,2.04,2.01,2.0109,25297
2022-04-19 15:59:00,2.015,2.03,2.015,2.025,11998
2022-04-19 15:58:00,2.015,2.02,2.01,2.0193,7702
2022-04-19 15:57:00,2.03,2.0302,2.01,2.02,19895
2022-04-19 15:56:00,2.065,2.065,2.0301,2.04,33092
2022-04-19 15:55:00,2.08,2.085,2.05,2.0608,20872
2022-04-19 15:54:00,2.1012,2.105,2.04,2.08,52887
