time,open,high,low,close,volume
2022-04-19 20:00:00,1.26,1.26,1.26,1.26,673
2022-04-19 19:59:00,1.26,1.26,1.26,1.26,302
2022-04-19 19:57:00,1.26,1.26,1.26,1.26,600
2022-04-19 19:54:00,1.24,1.24,1.24,1.24,16966
2022-04-19 19:52:00,1.22,1.23,1.22,1.23,953
2022-04-19 19:48:00,1.25,1.25,1.25,1.25,400
2022-04-19 19:47:00,1.21,1.25,1.21,1.25,4083
2022-04-19 19:46:00,1.22,1.22,1.22,1.22,733
2022-04-19 19:45:00,1.25,1.25,1.22,1.22,15766
2022-04-19 19:43:00,1.25,1.25,1.25,1.25,2100
2022-04-19 19:42:00,1.24,1.24,1.24,1.24,7005
2022-04-19 19:41:00,1.26,1.26,1.24,1.24,13198
2022-04-19 19:39:00,1.26,1.26,1.26,1.26,9832
2022-04-19 19:37:00,1.26,1.26,1.26,1.26,8301
2022-04-19 19:28:00,1.27,1.27,1.27,1.27,140
2022-04-19 19:25:00,1.26,1.26,1.26,1.26,300
2022-04-19 19:24:00,1.26,1.26,1.26,1.26,10000
2022-04-19 19:23:00,1.27,1.27,1.27,1.27,400
2022-04-19 19:21:00,1.28,1.28,1.26,1.26,627
2022-04-19 19:16:00,1.26,1.26,1.26,1.26,2000
2022-04-19 19:11:00,1.25,1.25,1.25,1.25,14500
2022-04-19 19:09:00,1.25,1.25,1.25,1.25,800
2022-04-19 19:05:00,1.27,1.27,1.26,1.26,268
2022-04-19 19:01:00,1.26,1.28,1.25,1.28,1823
2022-04-19 19:00:00,1.26,1.26,1.26,1.26,855
2022-04-19 18:58:00,1.26,1.26,1.25,1.26,2475
2022-04-19 18:56:00,1.26,1.26,1.26,1.26,1049
2022-04-19 18:55:00,1.26,1.26,1.26,1.26,1000
2022-04-19 18:52:00,1.26,1.26,1.26,1.26,1900
2022-04-19 18:50:00,1.26,1.26,1.26,1.26,101
2022-04-19 18:49:00,1.26,1.26,1.26,1.26,424
2022-04-19 18:47:00,1.25,1.25,1.25,1.25,2476
2022-04-19 18:45:00,1.26,1.26,1.26,1.26,1652
2022-04-19 18:42:00,1.26,1.26,1.26,1.26,100
2022-04-19 18:39:00,1.25,1.26,1.25,1.26,1522
2022-04-19 18:38:00,1.25,1.26,1.25,1.26,3832
2022-04-19 18:37:00,1.25,1.25,1.25,1.25,12155
2022-04-19 18:34:00,1.25,1.2501,1.25,1.2501,3289
2022-04-19 18:32:00,1.25,1.25,1.25,1.25,1700
2022-04-19 18:28:00,1.26,1.26,1.26,1.26,6065
2022-04-19 18:27:00,1.25,1.25,1.25,1.25,5300
2022-04-19 18:25:00,1.24,1.24,1.24,1.24,201
2022-04-19 18:23:00,1.24,1.24,1.23,1.24,8600
2022-04-19 18:22:00,1.23,1.23,1.23,1.23,501
2022-04-19 18:19:00,1.24,1.24,1.23,1.23,793
2022-04-19 18:18:00,1.24,1.24,1.24,1.24,590
2022-04-19 18:17:00,1.23,1.24,1.23,1.24,2860
2022-04-19 18:16:00,1.24,1.24,1.24,1.24,300
2022-04-19 18:13:00,1.24,1.24,1.24,1.24,240
2022-04-19 18:12:00,1.24,1.24,1.24,1.24,1004
2022-04-19 18:11:00,1.24,1.24,1.24,1.24,3668
2022-04-19 18:09:00,1.24,1.24,1.24,1.24,10100
2022-04-19 18:08:00,1.2399,1.2399,1.23,1.23,2176
2022-04-19 18:07:00,1.23,1.24,1.23,1.23,6801
2022-04-19 18:05:00,1.23,1.23,1.23,1.23,470
2022-04-19 18:04:00,1.23,1.23,1.23,1.23,123
2022-04-19 18:02:00,1.23,1.23,1.23,1.23,825
2022-04-19 18:01:00,1.25,1.25,1.23,1.23,18796
2022-04-19 18:00:00,1.27,1.27,1.24,1.24,5312
2022-04-19 17:59:00,1.28,1.28,1.28,1.28,1192
2022-04-19 17:58:00,1.29,1.29,1.29,1.29,401
2022-04-19 17:57:00,1.27,1.27,1.27,1.27,171
2022-04-19 17:56:00,1.24,1.24,1.24,1.24,1724
2022-04-19 17:55:00,1.25,1.25,1.25,1.25,24058
2022-04-19 17:54:00,1.25,1.25,1.25,1.25,20032
2022-04-19 17:53:00,1.26,1.26,1.26,1.26,10000
2022-04-19 17:52:00,1.26,1.26,1.26,1.26,1330
2022-04-19 17:51:00,1.2601,1.2601,1.26,1.26,4801
2022-04-19 17:50:00,1.26,1.26,1.26,1.26,2002
2022-04-19 17:49:00,1.26,1.26,1.26,1.26,2501
2022-04-19 17:48:00,1.26,1.26,1.26,1.26,2502
2022-04-19 17:47:00,1.27,1.27,1.27,1.27,821
2022-04-19 17:46:00,1.27,1.27,1.27,1.27,413
2022-04-19 17:45:00,1.28,1.28,1.26,1.26,10089
2022-04-19 17:44:00,1.28,1.28,1.28,1.28,2501
2022-04-19 17:43:00,1.28,1.28,1.28,1.28,139
