time,open,high,low,close,volume
2022-03-18 19:54:00,2.11,2.11,2.11,2.11,240
2022-03-18 19:44:00,2.1,2.1,2.1,2.1,750
2022-03-18 19:38:00,2.1,2.1,2.1,2.1,200
2022-03-18 19:14:00,2.1,2.1,2.1,2.1,400
2022-03-18 19:13:00,2.09,2.09,2.09,2.09,199
2022-03-18 18:48:00,2.09,2.09,2.09,2.09,200
2022-03-18 18:24:00,2.06,2.06,2.06,2.06,200
2022-03-18 18:20:00,2.06,2.06,2.06,2.06,1500
2022-03-18 18:12:00,2.06,2.06,2.06,2.06,200
2022-03-18 18:01:00,2.06,2.06,2.06,2.06,100
2022-03-18 17:56:00,2.06,2.06,2.06,2.06,4136
2022-03-18 17:53:00,2.0606,2.0606,2.0606,2.0606,610
2022-03-18 17:14:00,2.098,2.1,2.098,2.1,335
2022-03-18 17:08:00,2.06,2.06,2.06,2.06,685
2022-03-18 17:06:00,2.0601,2.0601,2.0601,2.0601,2369
2022-03-18 17:02:00,2.06,2.06,2.06,2.06,104
2022-03-18 16:34:00,2.1,2.1,2.08,2.08,200
2022-03-18 16:22:00,2.06,2.06,2.06,2.06,2687
2022-03-18 16:21:00,2.07,2.07,2.07,2.07,3088
2022-03-18 16:14:00,2.08,2.08,2.08,2.08,100
2022-03-18 16:10:00,2.09,2.09,2.07,2.07,514
2022-03-18 16:05:00,2.08,2.08,2.08,2.08,600
2022-03-18 16:00:00,2.085,2.09,2.08,2.09,6991
2022-03-18 15:59:00,2.09,2.09,2.07,2.08,27509
2022-03-18 15:58:00,2.0905,2.1,2.09,2.09,15725
2022-03-18 15:57:00,2.095,2.1,2.09,2.0991,6932
2022-03-18 15:56:00,2.1,2.11,2.09,2.095,17113
2022-03-18 15:55:00,2.095,2.1001,2.09,2.0989,8457
2022-03-18 15:54:00,2.08,2.1,2.08,2.09,23641
2022-03-18 15:53:00,2.08,2.085,2.08,2.085,367
2022-03-18 15:52:00,2.085,2.085,2.08,2.085,5167
2022-03-18 15:51:00,2.09,2.09,2.08,2.08,3161
2022-03-18 15:50:00,2.09,2.09,2.08,2.08,1592
2022-03-18 15:49:00,2.09,2.09,2.09,2.09,591
2022-03-18 15:48:00,2.09,2.09,2.09,2.09,800
2022-03-18 15:47:00,2.085,2.085,2.085,2.085,1175
2022-03-18 15:46:00,2.075,2.09,2.075,2.085,6320
2022-03-18 15:45:00,2.0799,2.08,2.0799,2.08,4025
2022-03-18 15:44:00,2.07,2.075,2.07,2.075,1116
2022-03-18 15:43:00,2.07,2.0792,2.07,2.0701,7211
2022-03-18 15:42:00,2.07,2.07,2.07,2.07,220
2022-03-18 15:41:00,2.075,2.075,2.075,2.075,1050
2022-03-18 15:40:00,2.071,2.075,2.07,2.07,1013
2022-03-18 15:39:00,2.075,2.075,2.07,2.075,964
2022-03-18 15:38:00,2.07,2.07,2.07,2.07,108
2022-03-18 15:36:00,2.0766,2.0766,2.075,2.075,300
2022-03-18 15:35:00,2.08,2.08,2.08,2.08,210
2022-03-18 15:33:00,2.0719,2.0719,2.0719,2.0719,2064
2022-03-18 15:31:00,2.0791,2.0791,2.075,2.075,430
2022-03-18 15:29:00,2.07,2.075,2.07,2.07,308
2022-03-18 15:28:00,2.075,2.075,2.07,2.075,6608
2022-03-18 15:27:00,2.075,2.075,2.0711,2.075,2500
2022-03-18 15:26:00,2.075,2.075,2.075,2.075,810
2022-03-18 15:25:00,2.065,2.08,2.065,2.075,26714
2022-03-18 15:24:00,2.0699,2.07,2.065,2.065,1310
2022-03-18 15:18:00,2.06,2.06,2.06,2.06,320
2022-03-18 15:17:00,2.06,2.065,2.06,2.06,1765
2022-03-18 15:16:00,2.0601,2.0601,2.0601,2.0601,1013
2022-03-18 15:15:00,2.07,2.07,2.06,2.06,5572
2022-03-18 15:14:00,2.08,2.08,2.08,2.08,600
2022-03-18 15:13:00,2.0601,2.0601,2.0601,2.0601,205
2022-03-18 15:12:00,2.065,2.08,2.065,2.07,7042
2022-03-18 15:11:00,2.065,2.065,2.065,2.065,1300
2022-03-18 15:06:00,2.065,2.065,2.06,2.065,13279
2022-03-18 15:05:00,2.065,2.0687,2.0612,2.065,655
2022-03-18 15:03:00,2.065,2.07,2.0601,2.065,4368
2022-03-18 15:02:00,2.075,2.075,2.06,2.06,2978
2022-03-18 15:01:00,2.075,2.075,2.0701,2.0701,401
2022-03-18 15:00:00,2.08,2.08,2.07,2.07,12290
2022-03-18 14:59:00,2.09,2.09,2.07,2.08,20791
2022-03-18 14:57:00,2.09,2.095,2.08,2.09,6401
2022-03-18 14:56:00,2.0901,2.0901,2.0901,2.0901,120
2022-03-18 14:55:00,2.0927,2.0989,2.09,2.0989,1268
2022-03-18 14:54:00,2.0989,2.0989,2.0989,2.0989,100
2022-03-18 14:53:00,2.0991,2.0991,2.0991,2.0991,400
2022-03-18 14:52:00,2.095,2.0997,2.095,2.0997,200
2022-03-18 14:50:00,2.0918,2.095,2.09,2.095,1583
2022-03-18 14:49:00,2.1099,2.1099,2.09,2.095,4650
2022-03-18 14:47:00,2.105,2.11,2.105,2.11,2080
2022-03-18 14:46:00,2.1099,2.1099,2.1099,2.1099,130
2022-03-18 14:44:00,2.104,2.105,2.104,2.105,1200
2022-03-18 14:43:00,2.105,2.105,2.1002,2.105,4442
2022-03-18 14:41:00,2.105,2.105,2.105,2.105,1668
2022-03-18 14:38:00,2.11,2.11,2.105,2.105,2297
2022-03-18 14:37:00,2.1,2.11,2.1,2.11,5110
2022-03-18 14:35:00,2.095,2.095,2.095,2.095,199
2022-03-18 14:31:00,2.105,2.105,2.09,2.095,8270
2022-03-18 14:29:00,2.105,2.105,2.105,2.105,712
2022-03-18 14:27:00,2.105,2.105,2.105,2.105,201
2022-03-18 14:24:00,2.11,2.11,2.1094,2.11,1431
2022-03-18 14:22:00,2.1,2.1,2.1,2.1,9808
2022-03-18 14:21:00,2.09,2.095,2.09,2.095,2485
2022-03-18 14:20:00,2.09,2.09,2.09,2.09,1125
2022-03-18 14:15:00,2.095,2.0995,2.07,2.085,28400
2022-03-18 14:13:00,2.095,2.095,2.0901,2.0901,2783
2022-03-18 14:12:00,2.095,2.095,2.09,2.09,4246
2022-03-18 14:11:00,2.095,2.095,2.09,2.09,5075
2022-03-18 14:10:00,2.0909,2.0909,2.0909,2.0909,330
2022-03-18 14:09:00,2.095,2.095,2.09,2.095,7111
2022-03-18 14:08:00,2.095,2.095,2.095,2.095,396
2022-03-18 14:07:00,2.095,2.095,2.095,2.095,1101
2022-03-18 14:06:00,2.0999,2.0999,2.095,2.095,1515
2022-03-18 14:05:00,2.0991,2.0991,2.0991,2.0991,500
2022-03-18 14:03:00,2.0901,2.0901,2.0901,2.0901,523
2022-03-18 14:02:00,2.1,2.1,2.095,2.095,871
2022-03-18 14:01:00,2.0901,2.095,2.0901,2.0902,2032
2022-03-18 14:00:00,2.095,2.096,2.0901,2.095,2767
2022-03-18 13:59:00,2.0911,2.095,2.09,2.095,926
2022-03-18 13:58:00,2.09,2.095,2.09,2.0909,2872
2022-03-18 13:57:00,2.099,2.099,2.099,2.099,311
2022-03-18 13:56:00,2.095,2.1,2.095,2.1,262
2022-03-18 13:53:00,2.0901,2.0996,2.0901,2.0996,1600
2022-03-18 13:51:00,2.1,2.1,2.1,2.1,100
2022-03-18 13:50:00,2.0988,2.0988,2.0988,2.0988,110
2022-03-18 13:48:00,2.097,2.097,2.097,2.097,315
2022-03-18 13:47:00,2.1,2.1,2.1,2.1,127
2022-03-18 13:46:00,2.095,2.0999,2.095,2.095,3006
2022-03-18 13:45:00,2.11,2.11,2.11,2.11,507
2022-03-18 13:44:00,2.1091,2.1091,2.0953,2.0953,4437
2022-03-18 13:43:00,2.105,2.105,2.1007,2.1007,1151
2022-03-18 13:42:00,2.115,2.12,2.09,2.09,9060
2022-03-18 13:41:00,2.1,2.12,2.0945,2.12,16390
2022-03-18 13:40:00,2.1,2.1,2.1,2.1,470
2022-03-18 13:38:00,2.085,2.09,2.085,2.09,2234
2022-03-18 13:37:00,2.085,2.0897,2.085,2.0897,3318
2022-03-18 13:36:00,2.0801,2.085,2.08,2.085,815
2022-03-18 13:35:00,2.08,2.085,2.08,2.085,455
2022-03-18 13:33:00,2.09,2.09,2.09,2.09,194
2022-03-18 13:32:00,2.09,2.09,2.09,2.09,667
