time,open,high,low,close,volume
2022-04-19 20:00:00,0.9798,0.9799,0.9798,0.9799,3600
2022-04-19 19:54:00,0.96,0.96,0.96,0.96,707
2022-04-19 19:51:00,0.96,0.96,0.96,0.96,501
2022-04-19 18:47:00,0.97,0.97,0.97,0.97,793
2022-04-19 18:46:00,0.97,0.97,0.97,0.97,107
2022-04-19 18:45:00,0.97,0.97,0.97,0.97,893
2022-04-19 18:37:00,0.9795,0.98,0.9795,0.98,5000
2022-04-19 18:36:00,0.96,0.9795,0.96,0.9795,5331
2022-04-19 18:32:00,0.9697,0.9697,0.9697,0.9697,100
2022-04-19 18:28:00,0.96,0.96,0.96,0.96,250
2022-04-19 18:27:00,0.9697,0.9697,0.9697,0.9697,500
2022-04-19 18:25:00,0.96,0.96,0.96,0.96,500
2022-04-19 17:48:00,0.9699,0.9699,0.9699,0.9699,100
2022-04-19 17:11:00,0.9502,0.9502,0.9502,0.9502,100
2022-04-19 17:08:00,0.97,0.97,0.97,0.97,100
2022-04-19 17:03:00,0.9502,0.9502,0.9502,0.9502,500
2022-04-19 16:56:00,0.975,0.975,0.975,0.975,500
2022-04-19 16:50:00,0.95,0.95,0.95,0.95,5000
2022-04-19 16:48:00,0.9511,0.9511,0.95,0.95,5000
2022-04-19 16:46:00,0.9511,0.9511,0.9511,0.9511,500
2022-04-19 16:42:00,0.9511,0.9511,0.9511,0.9511,264
2022-04-19 16:41:00,0.96,0.96,0.96,0.96,4761
2022-04-19 16:26:00,0.9682,0.9682,0.9682,0.9682,630
2022-04-19 16:25:00,0.9682,0.9682,0.9682,0.9682,2530
2022-04-19 16:21:00,0.9681,0.9681,0.9681,0.9681,120
2022-04-19 16:03:00,0.9681,0.9681,0.9681,0.9681,1000
2022-04-19 16:00:00,0.951,0.951,0.951,0.951,123
2022-04-19 15:59:00,0.9605,0.9606,0.9533,0.96,13821
2022-04-19 15:58:00,0.955,0.959,0.9549,0.959,2307
2022-04-19 15:57:00,0.9562,0.9562,0.9562,0.9562,300
2022-04-19 15:55:00,0.9606,0.9606,0.96,0.9605,24487
2022-04-19 15:54:00,0.9606,0.9606,0.9606,0.9606,540
2022-04-19 15:53:00,0.9679,0.9679,0.9679,0.9679,468
2022-04-19 15:52:00,0.9606,0.9606,0.9601,0.9601,4720
2022-04-19 15:51:00,0.9606,0.9606,0.96,0.96,443
2022-04-19 15:50:00,0.9606,0.9609,0.9605,0.9606,11600
2022-04-19 15:49:00,0.960699,0.9607,0.9606,0.9606,1032
2022-04-19 15:48:00,0.9609,0.9609,0.960699,0.9607,2140
2022-04-19 15:47:00,0.96,0.9609,0.96,0.960899,1133
2022-04-19 15:46:00,0.96,0.9605,0.96,0.9605,961
2022-04-19 15:42:00,0.96,0.96,0.96,0.96,1482
2022-04-19 15:41:00,0.9603,0.9603,0.9603,0.9603,600
2022-04-19 15:40:00,0.9603,0.9604,0.9603,0.9604,370
2022-04-19 15:39:00,0.9619,0.9619,0.96,0.96,1760
2022-04-19 15:38:00,0.96,0.96,0.96,0.96,607
2022-04-19 15:37:00,0.9614,0.963619,0.96,0.96,1753
2022-04-19 15:36:00,0.9601,0.9601,0.9601,0.9601,190
