time,open,high,low,close,volume
2022-02-17 19:46:00,2.13,2.13,2.13,2.13,131
2022-02-17 19:41:00,2.1001,2.1001,2.1001,2.1001,300
2022-02-17 19:15:00,2.13,2.13,2.13,2.13,200
2022-02-17 19:05:00,2.1299,2.1299,2.1299,2.1299,300
2022-02-17 17:12:00,2.09,2.09,2.08,2.08,350
2022-02-17 16:36:00,2.08,2.08,2.08,2.08,100
2022-02-17 16:15:00,2.04,2.04,2.03,2.03,500
2022-02-17 16:03:00,2.0322,2.05,2.03,2.05,1401
2022-02-17 16:00:00,2.05,2.06,2.05,2.06,16976
2022-02-17 15:59:00,2.0599,2.0599,2.055,2.055,1387
2022-02-17 15:58:00,2.05,2.055,2.05,2.055,2109
2022-02-17 15:57:00,2.0599,2.0599,2.05,2.0514,500
2022-02-17 15:56:00,2.05,2.059,2.05,2.059,4113
2022-02-17 15:55:00,2.0501,2.059,2.05,2.059,2245
2022-02-17 15:54:00,2.0537,2.0537,2.0537,2.0537,213
2022-02-17 15:53:00,2.0591,2.0591,2.0591,2.0591,401
2022-02-17 15:52:00,2.055,2.055,2.055,2.055,110
2022-02-17 15:51:00,2.0591,2.0591,2.0591,2.0591,244
2022-02-17 15:45:00,2.055,2.055,2.055,2.055,145
2022-02-17 15:44:00,2.045,2.055,2.045,2.05,1858
2022-02-17 15:43:00,2.045,2.05,2.045,2.05,4300
2022-02-17 15:42:00,2.045,2.05,2.04,2.045,3226
2022-02-17 15:41:00,2.065,2.07,2.04,2.04,25883
2022-02-17 15:40:00,2.07,2.07,2.07,2.07,738
2022-02-17 15:39:00,2.06,2.07,2.05,2.06,4704
2022-02-17 15:37:00,2.0616,2.07,2.05,2.06,2482
2022-02-17 15:36:00,2.065,2.07,2.065,2.07,420
2022-02-17 15:35:00,2.09,2.09,2.05,2.06,35128
2022-02-17 15:33:00,2.09,2.09,2.09,2.09,100
2022-02-17 15:32:00,2.0999,2.0999,2.0801,2.0801,11028
2022-02-17 15:29:00,2.1099,2.1099,2.08,2.08,14427
2022-02-17 15:27:00,2.1099,2.11,2.1,2.11,1369
2022-02-17 15:24:00,2.1087,2.1087,2.1087,2.1087,150
2022-02-17 15:22:00,2.1,2.11,2.09,2.11,704
2022-02-17 15:20:00,2.0986,2.0986,2.0986,2.0986,1000
2022-02-17 15:19:00,2.09,2.09,2.09,2.09,180
2022-02-17 15:17:00,2.0981,2.0981,2.0981,2.0981,100
2022-02-17 15:10:00,2.095,2.095,2.08,2.09,2600
2022-02-17 15:07:00,2.09,2.09,2.09,2.09,125
2022-02-17 15:06:00,2.11,2.11,2.0801,2.0801,987
2022-02-17 15:05:00,2.1,2.1,2.08,2.095,650
2022-02-17 15:04:00,2.0942,2.0942,2.07,2.08,27003
2022-02-17 15:03:00,2.13,2.13,2.09,2.095,9516
2022-02-17 15:01:00,2.12,2.12,2.12,2.12,125
2022-02-17 14:56:00,2.13,2.1393,2.13,2.1393,600
2022-02-17 14:55:00,2.1391,2.1391,2.13,2.1305,4521
2022-02-17 14:54:00,2.1391,2.1391,2.1391,2.1391,100
2022-02-17 14:53:00,2.14,2.14,2.14,2.14,200
2022-02-17 14:52:00,2.13,2.1301,2.12,2.1224,4630
2022-02-17 14:51:00,2.14,2.1479,2.1372,2.1479,606
2022-02-17 14:50:00,2.1299,2.14,2.1299,2.14,7768
2022-02-17 14:49:00,2.12,2.1299,2.12,2.1299,8050
2022-02-17 14:47:00,2.1,2.11,2.1,2.11,1951
2022-02-17 14:46:00,2.1,2.11,2.0801,2.11,8631
2022-02-17 14:45:00,2.12,2.12,2.11,2.11,2559
2022-02-17 14:44:00,2.12,2.1299,2.12,2.12,901
2022-02-17 14:43:00,2.12,2.13,2.12,2.1284,3100
2022-02-17 14:42:00,2.145,2.145,2.12,2.125,17682
2022-02-17 14:41:00,2.1429,2.1429,2.1412,2.1412,770
2022-02-17 14:40:00,2.1299,2.15,2.1,2.15,11679
2022-02-17 14:39:00,2.1299,2.1299,2.1003,2.1296,8610
2022-02-17 14:38:00,2.1,2.1299,2.09,2.115,12673
2022-02-17 14:37:00,2.1,2.1,2.095,2.0971,5406
2022-02-17 14:36:00,2.09,2.0999,2.09,2.0999,9416
2022-02-17 14:33:00,2.08,2.08,2.07,2.07,858
2022-02-17 14:32:00,2.085,2.085,2.085,2.085,303
2022-02-17 14:30:00,2.0827,2.085,2.0827,2.085,1107
2022-02-17 14:27:00,2.08,2.0898,2.08,2.0898,1960
2022-02-17 14:26:00,2.09,2.09,2.09,2.09,275
2022-02-17 14:25:00,2.08,2.09,2.08,2.09,1200
2022-02-17 14:19:00,2.0809,2.0809,2.0809,2.0809,222
2022-02-17 14:18:00,2.085,2.085,2.085,2.085,125
2022-02-17 14:16:00,2.0801,2.0801,2.0801,2.0801,135
2022-02-17 14:15:00,2.0899,2.0899,2.08,2.08,5200
2022-02-17 14:13:00,2.09,2.09,2.09,2.09,742
2022-02-17 14:06:00,2.1,2.1,2.1,2.1,248
2022-02-17 14:03:00,2.0901,2.0901,2.0901,2.0901,104
2022-02-17 14:00:00,2.1081,2.1081,2.1081,2.1081,100
2022-02-17 13:59:00,2.1,2.11,2.1,2.11,400
2022-02-17 13:57:00,2.09,2.09,2.08,2.08,225
2022-02-17 13:54:00,2.08,2.09,2.08,2.09,1055
2022-02-17 13:53:00,2.08,2.08,2.08,2.08,265
2022-02-17 13:52:00,2.0799,2.08,2.0799,2.08,1196
2022-02-17 13:51:00,2.085,2.085,2.07,2.07,5425
2022-02-17 13:50:00,2.09,2.09,2.09,2.09,101
2022-02-17 13:49:00,2.085,2.085,2.085,2.085,117
2022-02-17 13:45:00,2.0899,2.0899,2.0899,2.0899,1050
2022-02-17 13:44:00,2.09,2.09,2.08,2.08,1123
2022-02-17 13:43:00,2.0908,2.0908,2.09,2.09,200
2022-02-17 13:42:00,2.095,2.095,2.095,2.095,108
2022-02-17 13:40:00,2.095,2.095,2.095,2.095,500
2022-02-17 13:39:00,2.0989,2.0989,2.0989,2.0989,200
2022-02-17 13:34:00,2.09,2.1026,2.09,2.1026,252
2022-02-17 13:32:00,2.0891,2.09,2.0891,2.09,1052
2022-02-17 13:31:00,2.0801,2.0801,2.07,2.0801,8561
2022-02-17 13:30:00,2.1,2.1,2.08,2.08,5139
2022-02-17 13:24:00,2.11,2.11,2.11,2.11,767
2022-02-17 13:16:00,2.115,2.115,2.115,2.115,100
2022-02-17 13:15:00,2.1199,2.1199,2.1199,2.1199,300
2022-02-17 13:13:00,2.11,2.11,2.11,2.11,300
