time,open,high,low,close,volume
2022-03-18 16:20:00,5.67,5.67,5.67,5.67,200
2022-03-18 16:18:00,5.4,5.4,5.4,5.4,100
2022-03-18 16:05:00,5.89,5.89,5.89,5.89,14281
2022-03-18 16:04:00,5.89,5.89,5.89,5.89,104
2022-03-18 16:02:00,5.89,5.89,5.89,5.89,10676
2022-03-18 16:01:00,5.89,5.89,5.89,5.89,676
2022-03-18 16:00:00,5.885,5.9,5.88,5.89,14404
2022-03-18 15:59:00,5.89,5.89,5.88,5.885,2622
2022-03-18 15:58:00,5.895,5.9,5.89,5.89,4684
2022-03-18 15:57:00,5.895,5.895,5.89,5.89,2534
2022-03-18 15:56:00,5.8912,5.895,5.89,5.895,626
2022-03-18 15:55:00,5.895,5.9,5.89,5.89,3703
2022-03-18 15:54:00,5.905,5.905,5.9,5.9,4031
2022-03-18 15:53:00,5.9003,5.905,5.9,5.905,4236
2022-03-18 15:52:00,5.905,5.905,5.9,5.9,404
2022-03-18 15:51:00,5.895,5.91,5.89,5.91,3984
2022-03-18 15:50:00,5.9,5.9,5.89,5.89,5793
2022-03-18 15:48:00,5.905,5.91,5.905,5.905,1325
2022-03-18 15:47:00,5.9,5.9,5.9,5.9,408
2022-03-18 15:45:00,5.9046,5.9046,5.9046,5.9046,103
2022-03-18 15:44:00,5.91,5.91,5.905,5.905,1457
2022-03-18 15:43:00,5.9,5.9099,5.8999,5.9,3071
2022-03-18 15:42:00,5.895,5.9,5.89,5.9,3180
2022-03-18 15:41:00,5.88,5.895,5.88,5.895,5998
2022-03-18 15:40:00,5.88,5.88,5.88,5.88,114
2022-03-18 15:39:00,5.88,5.8871,5.87,5.8871,811
2022-03-18 15:37:00,5.89,5.9,5.89,5.9,328
2022-03-18 15:36:00,5.9199,5.9199,5.89,5.89,4249
2022-03-18 15:32:00,5.92,5.92,5.92,5.92,1186
2022-03-18 15:31:00,5.905,5.905,5.905,5.905,591
2022-03-18 15:30:00,5.9,5.9,5.9,5.9,528
2022-03-18 15:28:00,5.9,5.9,5.8941,5.8941,608
2022-03-18 15:27:00,5.91,5.91,5.895,5.895,1805
2022-03-18 15:26:00,5.9002,5.9002,5.9002,5.9002,103
2022-03-18 15:25:00,5.91,5.91,5.91,5.91,322
2022-03-18 15:23:00,5.9,5.91,5.9,5.91,2383
2022-03-18 15:21:00,5.92,5.92,5.91,5.91,2375
2022-03-18 15:19:00,5.88,5.91,5.88,5.91,2777
2022-03-18 15:18:00,5.875,5.875,5.875,5.875,428
2022-03-18 15:16:00,5.865,5.865,5.86,5.86,633
2022-03-18 15:14:00,5.86,5.86,5.86,5.86,210
2022-03-18 15:11:00,5.87,5.87,5.87,5.87,1239
