time,open,high,low,close,volume
2022-04-19 16:00:00,3.61,3.61,3.61,3.61,161
2022-04-19 15:39:00,3.601,3.601,3.6,3.6,1350
2022-04-19 15:36:00,3.61,3.61,3.6,3.6,600
2022-04-19 15:33:00,3.6082,3.6082,3.6082,3.6082,980
2022-04-19 15:32:00,3.68,3.68,3.68,3.68,100
2022-04-19 15:19:00,3.6573,3.6573,3.6573,3.6573,100
2022-04-19 15:04:00,3.6,3.6,3.6,3.6,1957
2022-04-19 15:03:00,3.62,3.62,3.62,3.62,900
2022-04-19 15:02:00,3.67,3.67,3.63,3.63,1700
2022-04-19 15:01:00,3.62,3.69,3.62,3.66,1562
2022-04-19 15:00:00,3.63,3.63,3.6297,3.63,1400
2022-04-19 14:59:00,3.61,3.62,3.61,3.62,300
2022-04-19 14:58:00,3.65,3.65,3.6484,3.6484,600
2022-04-19 14:07:00,3.69,3.7,3.69,3.7,711
2022-04-19 14:06:00,3.68,3.74,3.68,3.7,2665
2022-04-19 14:04:00,3.72,3.72,3.69,3.7,1460
2022-04-19 14:03:00,3.72,3.72,3.71,3.72,3957
2022-04-19 14:02:00,3.66,3.7,3.65,3.68,3620
2022-04-19 14:01:00,3.66,3.66,3.66,3.66,100
2022-04-19 13:59:00,3.66,3.66,3.65,3.65,200
2022-04-19 13:42:00,3.65,3.65,3.65,3.65,100
2022-04-19 13:41:00,3.62,3.62,3.62,3.62,200
2022-04-19 12:27:00,3.61,3.61,3.61,3.61,1000
2022-04-19 12:10:00,3.65,3.65,3.65,3.65,101
2022-04-19 12:01:00,3.65,3.65,3.65,3.65,100
2022-04-19 11:50:00,3.6,3.6,3.6,3.6,600
2022-04-19 11:31:00,3.58,3.58,3.58,3.58,1000
2022-04-19 11:01:00,3.63,3.63,3.63,3.63,100
2022-04-19 10:17:00,3.55,3.5882,3.55,3.5882,4299
2022-04-19 10:09:00,3.56,3.56,3.56,3.56,3599
2022-04-19 10:02:00,3.56,3.56,3.56,3.56,700
2022-04-19 09:58:00,3.63,3.63,3.63,3.63,200
2022-04-19 09:44:00,3.55,3.55,3.55,3.55,100
2022-04-19 09:38:00,3.52,3.52,3.52,3.52,835
2022-04-19 09:37:00,3.55,3.55,3.52,3.52,3250
2022-04-19 07:01:00,3.67,3.67,3.67,3.67,100
2022-04-18 17:21:00,3.65,3.65,3.65,3.65,500
2022-04-18 16:00:00,3.64,3.64,3.64,3.64,396
2022-04-18 15:46:00,3.6,3.6,3.6,3.6,100
2022-04-18 15:36:00,3.59,3.59,3.59,3.59,354
2022-04-18 15:33:00,3.6,3.6485,3.6,3.6485,1800
2022-04-18 15:28:00,3.605,3.65,3.605,3.65,1330
2022-04-18 15:09:00,3.65,3.65,3.65,3.65,1500
2022-04-18 15:07:00,3.605,3.605,3.605,3.605,223
2022-04-18 14:41:00,3.615,3.615,3.615,3.615,400
2022-04-18 14:36:00,3.62,3.62,3.62,3.62,223
2022-04-18 14:25:00,3.67,3.69,3.67,3.69,303
2022-04-18 14:03:00,3.6801,3.6801,3.6801,3.6801,223
2022-04-18 13:34:00,3.65,3.65,3.65,3.65,223
2022-04-18 13:06:00,3.66,3.66,3.66,3.66,223
2022-04-18 12:53:00,3.76,3.76,3.76,3.76,100
2022-04-18 12:52:00,3.7,3.7,3.7,3.7,1886
2022-04-18 12:40:00,3.66,3.66,3.66,3.66,200
2022-04-18 12:37:00,3.6949,3.6949,3.6949,3.6949,223
2022-04-18 12:23:00,3.7,3.7,3.7,3.7,1000
2022-04-18 12:08:00,3.59,3.6,3.59,3.59,3399
2022-04-18 12:07:00,3.55,3.55,3.55,3.55,1324
2022-04-18 12:06:00,3.52,3.53,3.5158,3.53,1623
2022-04-18 12:04:00,3.52,3.52,3.52,3.52,201
2022-04-18 12:03:00,3.52,3.52,3.52,3.52,1500
2022-04-18 12:02:00,3.53,3.53,3.53,3.53,300
2022-04-18 11:41:00,3.4801,3.4801,3.4801,3.4801,675
2022-04-18 11:34:00,3.5,3.5,3.5,3.5,223
2022-04-18 11:26:00,3.515,3.52,3.47,3.47,2657
2022-04-18 11:25:00,3.58,3.58,3.52,3.53,2343
2022-04-18 11:24:00,3.56,3.64,3.55,3.58,7625
2022-04-18 11:23:00,3.66,3.67,3.57,3.63,4000
2022-04-18 11:22:00,3.66,3.72,3.57,3.6,2300
2022-04-18 11:20:00,3.67,3.67,3.67,3.67,100
2022-04-18 11:15:00,3.685,3.685,3.685,3.685,211
2022-04-18 11:11:00,3.66,3.6894,3.66,3.6894,200
2022-04-18 11:09:00,3.5,3.58,3.4901,3.52,1200
2022-04-18 11:08:00,3.47,3.5,3.47,3.49,1828
2022-04-18 11:07:00,3.465,3.465,3.465,3.465,300
2022-04-18 11:05:00,3.47,3.47,3.46,3.47,466
2022-04-18 11:02:00,3.46,3.47,3.46,3.47,400
2022-04-18 11:01:00,3.4597,3.4597,3.4597,3.4597,223
2022-04-18 10:59:00,3.47,3.47,3.47,3.47,200
2022-04-18 10:55:00,3.47,3.47,3.47,3.47,1932
2022-04-18 10:54:00,3.46,3.47,3.46,3.47,975
2022-04-18 10:52:00,3.45,3.47,3.45,3.47,400
2022-04-18 10:51:00,3.46,3.47,3.46,3.47,300
2022-04-18 10:50:00,3.47,3.47,3.4658,3.4658,2669
2022-04-18 10:47:00,3.4603,3.4603,3.4603,3.4603,307
2022-04-18 10:46:00,3.4602,3.4602,3.4602,3.4602,100
2022-04-18 10:45:00,3.45,3.45,3.45,3.45,100
2022-04-18 10:41:00,3.47,3.47,3.47,3.47,200
2022-04-18 10:38:00,3.47,3.47,3.47,3.47,200
2022-04-18 10:37:00,3.42,3.43,3.42,3.43,1698
2022-04-18 10:36:00,3.43,3.43,3.42,3.42,674
2022-04-18 10:35:00,3.43,3.43,3.43,3.43,1151
2022-04-18 10:34:00,3.42,3.43,3.41,3.43,761
2022-04-18 10:33:00,3.415,3.43,3.415,3.43,966
2022-04-18 10:31:00,3.4,3.4,3.4,3.4,666
2022-04-18 10:29:00,3.4,3.4,3.4,3.4,200
2022-04-18 10:27:00,3.47,3.47,3.47,3.47,1064
2022-04-18 10:25:00,3.51,3.51,3.51,3.51,100
2022-04-18 10:21:00,3.53,3.53,3.53,3.53,138
2022-04-18 10:18:00,3.55,3.55,3.55,3.55,141
2022-04-18 10:08:00,3.518,3.518,3.518,3.518,223
2022-04-18 10:04:00,3.4701,3.4701,3.4701,3.4701,345
2022-04-18 09:49:00,3.47,3.47,3.47,3.47,170
2022-04-18 08:16:00,3.85,3.85,3.85,3.85,300
2022-04-18 07:52:00,3.7,3.7,3.7,3.7,100
2022-04-14 16:00:00,3.47,3.47,3.46,3.46,598
2022-04-14 15:59:00,3.54,3.54,3.54,3.54,101
2022-04-14 15:57:00,3.54,3.54,3.54,3.54,100
