time,open,high,low,close,volume
2022-01-18 20:00:00,3.23,3.24,3.23,3.24,5176
2022-01-18 19:59:00,3.22,3.24,3.22,3.2301,2100
2022-01-18 19:57:00,3.2,3.2,3.2,3.2,100
2022-01-18 19:56:00,3.23,3.24,3.23,3.24,800
2022-01-18 19:55:00,3.19,3.19,3.19,3.19,405
2022-01-18 19:54:00,3.2,3.23,3.2,3.23,1007
2022-01-18 19:53:00,3.2,3.2,3.2,3.2,661
2022-01-18 19:52:00,3.2,3.2,3.2,3.2,715
2022-01-18 19:51:00,3.24,3.24,3.24,3.24,2769
2022-01-18 19:50:00,3.24,3.25,3.24,3.25,2550
2022-01-18 19:48:00,3.24,3.24,3.24,3.24,1500
2022-01-18 19:47:00,3.25,3.25,3.25,3.25,400
2022-01-18 19:45:00,3.24,3.24,3.24,3.24,1587
2022-01-18 19:44:00,3.25,3.26,3.25,3.26,3661
2022-01-18 19:41:00,3.24,3.26,3.24,3.26,2047
2022-01-18 19:40:00,3.26,3.26,3.26,3.26,100
2022-01-18 19:39:00,3.25,3.25,3.25,3.25,861
2022-01-18 19:36:00,3.26,3.26,3.26,3.26,1000
2022-01-18 19:34:00,3.26,3.26,3.26,3.26,3800
2022-01-18 19:33:00,3.26,3.26,3.26,3.26,301
2022-01-18 19:31:00,3.26,3.26,3.26,3.26,400
2022-01-18 19:30:00,3.2,3.26,3.2,3.26,400
2022-01-18 19:29:00,3.21,3.26,3.21,3.21,623
2022-01-18 19:27:00,3.21,3.21,3.21,3.21,1000
2022-01-18 19:23:00,3.19,3.19,3.19,3.19,157
2022-01-18 19:21:00,3.19,3.19,3.19,3.19,1217
2022-01-18 19:20:00,3.26,3.26,3.26,3.26,161
2022-01-18 19:11:00,3.1901,3.1901,3.1901,3.1901,225
2022-01-18 19:10:00,3.29,3.29,3.29,3.29,300
2022-01-18 19:09:00,3.2601,3.2601,3.2601,3.2601,250
2022-01-18 19:06:00,3.29,3.29,3.29,3.29,912
2022-01-18 19:01:00,3.25,3.25,3.25,3.25,495
2022-01-18 19:00:00,3.19,3.19,3.19,3.19,200
2022-01-18 18:58:00,3.26,3.26,3.25,3.25,4452
2022-01-18 18:54:00,3.29,3.29,3.29,3.29,234
2022-01-18 18:53:00,3.25,3.25,3.25,3.25,412
2022-01-18 18:52:00,3.25,3.25,3.25,3.25,1226
2022-01-18 18:51:00,3.25,3.25,3.25,3.25,280
2022-01-18 18:50:00,3.24,3.25,3.24,3.25,554
2022-01-18 18:49:00,3.23,3.24,3.23,3.24,2381
2022-01-18 18:48:00,3.2,3.2,3.2,3.2,880
2022-01-18 18:41:00,3.1901,3.1901,3.1901,3.1901,602
2022-01-18 18:36:00,3.19,3.19,3.19,3.19,166
2022-01-18 18:33:00,3.19,3.19,3.19,3.19,1000
2022-01-18 18:29:00,3.17,3.17,3.17,3.17,500
2022-01-18 18:24:00,3.14,3.14,3.14,3.14,522
