time,open,high,low,close,volume
2022-04-19 16:00:00,8.34,8.36,8.3,8.36,1141
2022-04-19 15:59:00,8.32,8.32,8.32,8.32,500
2022-04-19 15:55:00,8.3186,8.3186,8.3186,8.3186,113
2022-04-19 15:54:00,8.33,8.33,8.33,8.33,119
2022-04-19 15:51:00,8.29,8.3,8.29,8.3,365
2022-04-19 15:50:00,8.29,8.29,8.29,8.29,100
2022-04-19 15:49:00,8.275,8.275,8.275,8.275,206
2022-04-19 15:45:00,8.3,8.3,8.2479,8.2479,206
2022-04-19 15:44:00,8.28,8.3,8.23,8.26,1754
2022-04-19 15:43:00,8.2978,8.2978,8.2701,8.2775,300
2022-04-19 15:39:00,8.3129,8.3129,8.3129,8.3129,100
2022-04-19 15:38:00,8.32,8.33,8.3,8.33,652
2022-04-19 15:36:00,8.28,8.2976,8.28,8.2976,209
2022-04-19 15:28:00,8.27,8.36,8.27,8.34,794
2022-04-19 15:23:00,8.25,8.25,8.24,8.24,407
2022-04-19 15:15:00,8.26,8.26,8.26,8.26,159
2022-04-19 15:14:00,8.23,8.23,8.23,8.23,200
2022-04-19 15:02:00,8.31,8.31,8.27,8.27,1879
2022-04-19 15:01:00,8.35,8.37,8.35,8.37,500
2022-04-19 14:59:00,8.29,8.3,8.29,8.3,200
2022-04-19 14:36:00,8.29,8.29,8.26,8.26,238
2022-04-19 14:31:00,8.19,8.2,8.18,8.19,2204
2022-04-19 14:13:00,8.14,8.14,8.14,8.14,100
2022-04-19 14:08:00,8.17,8.17,8.17,8.17,456
2022-04-19 14:03:00,8.16,8.17,8.16,8.17,765
2022-04-19 13:54:00,8.15,8.15,8.15,8.15,100
2022-04-19 13:52:00,8.13,8.15,8.13,8.15,673
2022-04-19 13:51:00,8.12,8.12,8.1,8.11,300
2022-04-19 13:49:00,8.0496,8.19,8.0496,8.16,1002
2022-04-19 13:38:00,8.07,8.07,8.07,8.07,151
2022-04-19 13:35:00,8.1,8.1,8.1,8.1,1400
2022-04-19 13:11:00,8.1,8.1,8.1,8.1,100
2022-04-19 13:03:00,8.09,8.09,8.09,8.09,100
2022-04-19 12:59:00,8.09,8.09,8.09,8.09,109
2022-04-19 12:58:00,8.135,8.135,8.062,8.09,2632
2022-04-19 12:50:00,8.1188,8.1188,8.1188,8.1188,101
2022-04-19 12:48:00,8.101,8.13,8.101,8.13,695
2022-04-19 12:34:00,8.1999,8.1999,8.1999,8.1999,2078
2022-04-19 12:33:00,8.1999,8.1999,8.1999,8.1999,563
2022-04-19 12:32:00,8.185,8.185,8.185,8.185,113
2022-04-19 12:31:00,8.1,8.19,8.068,8.19,1688
2022-04-19 12:30:00,8.135,8.135,8.11,8.11,1546
2022-04-19 12:29:00,8.125,8.135,8.125,8.135,200
2022-04-19 12:21:00,8.0812,8.0812,8.079,8.08,2374
2022-04-19 12:19:00,8.13,8.13,8.13,8.13,350
2022-04-19 12:17:00,8.05,8.065,8.05,8.065,4104
2022-04-19 12:14:00,8.03,8.03,8.03,8.03,150
2022-04-19 12:07:00,7.99,8.02,7.99,8.02,400
