time,open,high,low,close,volume
2022-04-19 20:00:00,7.51,7.7,7.51,7.7,8950
2022-04-19 19:59:00,7.47,7.47,7.47,7.47,3741
2022-04-19 19:58:00,7.41,7.43,7.41,7.43,664
2022-04-19 19:57:00,7.4,7.43,7.4,7.41,1200
2022-04-19 19:56:00,7.4,7.41,7.4,7.41,732
2022-04-19 19:55:00,7.4,7.4,7.4,7.4,861
2022-04-19 19:54:00,7.43,7.43,7.43,7.43,1077
2022-04-19 19:53:00,7.4,7.4,7.4,7.4,501
2022-04-19 19:52:00,7.4,7.4,7.4,7.4,540
2022-04-19 19:51:00,7.4,7.4,7.4,7.4,244
2022-04-19 19:50:00,7.37,7.38,7.36,7.38,1480
2022-04-19 19:49:00,7.34,7.36,7.34,7.36,2950
2022-04-19 19:45:00,7.3401,7.3401,7.3401,7.3401,1210
2022-04-19 19:44:00,7.35,7.35,7.35,7.35,325
2022-04-19 19:43:00,7.35,7.35,7.35,7.35,203
2022-04-19 19:42:00,7.35,7.35,7.35,7.35,102
2022-04-19 19:41:00,7.32,7.36,7.32,7.36,1142
2022-04-19 19:39:00,7.37,7.37,7.37,7.37,187
2022-04-19 19:38:00,7.38,7.38,7.37,7.37,501
2022-04-19 19:37:00,7.37,7.38,7.37,7.37,1553
2022-04-19 19:36:00,7.35,7.35,7.35,7.35,235
2022-04-19 19:35:00,7.33,7.33,7.33,7.33,100
2022-04-19 19:30:00,7.34,7.34,7.29,7.31,1987
2022-04-19 19:29:00,7.34,7.35,7.34,7.35,1950
2022-04-19 19:28:00,7.32,7.34,7.31,7.34,1742
2022-04-19 19:27:00,7.33,7.33,7.31,7.31,1200
2022-04-19 19:26:00,7.33,7.33,7.31,7.31,2400
2022-04-19 19:25:00,7.34,7.35,7.32,7.33,4980
2022-04-19 19:24:00,7.33,7.35,7.33,7.35,1121
2022-04-19 19:23:00,7.35,7.35,7.32,7.33,1080
2022-04-19 19:22:00,7.31,7.35,7.31,7.35,1010
2022-04-19 19:21:00,7.32,7.32,7.31,7.31,1037
2022-04-19 19:19:00,7.37,7.37,7.32,7.32,384
2022-04-19 19:17:00,7.34,7.34,7.34,7.34,1745
2022-04-19 19:16:00,7.33,7.34,7.32,7.33,1721
2022-04-19 19:15:00,7.37,7.37,7.36,7.36,889
2022-04-19 19:14:00,7.32,7.32,7.32,7.32,331
2022-04-19 19:13:00,7.31,7.32,7.31,7.32,851
2022-04-19 19:11:00,7.27,7.27,7.27,7.27,563
2022-04-19 19:09:00,7.26,7.33,7.26,7.33,1972
2022-04-19 19:04:00,7.25,7.36,7.25,7.36,335
2022-04-19 19:02:00,7.33,7.33,7.33,7.33,1015
2022-04-19 19:01:00,7.26,7.26,7.26,7.26,1028
2022-04-19 19:00:00,7.31,7.37,7.31,7.31,2960
2022-04-19 18:59:00,7.31,7.31,7.31,7.31,2537
2022-04-19 18:58:00,7.37,7.37,7.31,7.31,642
2022-04-19 18:57:00,7.26,7.26,7.26,7.26,3387
2022-04-19 18:56:00,7.26,7.26,7.26,7.26,2051
2022-04-19 18:55:00,7.3,7.3,7.27,7.27,1437
2022-04-19 18:54:00,7.3,7.3,7.3,7.3,923
2022-04-19 18:53:00,7.39,7.39,7.32,7.32,3081
2022-04-19 18:50:00,7.39,7.44,7.39,7.44,569
2022-04-19 18:49:00,7.4,7.4,7.4,7.4,378
2022-04-19 18:48:00,7.4,7.4,7.4,7.4,4712
2022-04-19 18:45:00,7.4599,7.4599,7.4599,7.4599,525
2022-04-19 18:42:00,7.45,7.45,7.42,7.42,1008
2022-04-19 18:41:00,7.47,7.47,7.47,7.47,100
2022-04-19 18:39:00,7.45,7.45,7.45,7.45,419
2022-04-19 18:38:00,7.42,7.44,7.42,7.44,12769
2022-04-19 18:37:00,7.42,7.42,7.42,7.42,596
2022-04-19 18:36:00,7.42,7.42,7.42,7.42,576
2022-04-19 18:35:00,7.42,7.43,7.4,7.42,7900
2022-04-19 18:34:00,7.42,7.42,7.42,7.42,449
2022-04-19 18:32:00,7.42,7.42,7.42,7.42,202
2022-04-19 18:31:00,7.42,7.42,7.42,7.42,335
2022-04-19 18:30:00,7.43,7.43,7.42,7.42,1030
2022-04-19 18:29:00,7.46,7.46,7.46,7.46,600
2022-04-19 18:28:00,7.42,7.43,7.42,7.43,7584
2022-04-19 18:27:00,7.44,7.44,7.44,7.44,571
2022-04-19 18:26:00,7.47,7.47,7.44,7.44,673
2022-04-19 18:25:00,7.46,7.47,7.45,7.45,1000
2022-04-19 18:24:00,7.42,7.45,7.42,7.45,6295
2022-04-19 18:23:00,7.4,7.4,7.3901,7.4,588
2022-04-19 18:22:00,7.4,7.4,7.39,7.4,2035
2022-04-19 18:18:00,7.4,7.4,7.4,7.4,400
2022-04-19 18:17:00,7.4,7.4,7.4,7.4,587
2022-04-19 18:16:00,7.45,7.45,7.45,7.45,1528
2022-04-19 18:14:00,7.4,7.45,7.4,7.45,772
2022-04-19 18:12:00,7.45,7.45,7.45,7.45,652
2022-04-19 18:11:00,7.4,7.4001,7.4,7.4001,1667
2022-04-19 18:08:00,7.46,7.46,7.46,7.46,101
2022-04-19 18:07:00,7.4,7.4,7.4,7.4,125
2022-04-19 18:06:00,7.4,7.4,7.4,7.4,204
