time,open,high,low,close,volume
2022-04-19 16:00:00,6.9,6.91,6.83,6.87,16464
2022-04-19 15:59:00,6.8501,6.92,6.83,6.9107,29012
2022-04-19 15:58:00,6.86,6.87,6.85,6.87,1545
2022-04-19 15:57:00,6.875,6.88,6.87,6.88,1884
2022-04-19 15:56:00,6.86,6.88,6.85,6.86,3265
2022-04-19 15:55:00,6.87,6.8899,6.87,6.87,507
2022-04-19 15:54:00,6.9,6.9,6.87,6.88,1698
2022-04-19 15:53:00,6.9,6.91,6.89,6.91,400
2022-04-19 15:52:00,6.9,6.92,6.88,6.88,2090
2022-04-19 15:51:00,6.8999,6.94,6.8999,6.92,4098
2022-04-19 15:50:00,6.8786,6.88,6.8786,6.88,930
2022-04-19 15:49:00,6.85,6.87,6.85,6.87,1009
2022-04-19 15:48:00,6.82,6.8599,6.82,6.84,986
2022-04-19 15:47:00,6.85,6.85,6.82,6.82,400
2022-04-19 15:46:00,6.86,6.86,6.85,6.85,2446
2022-04-19 15:45:00,6.81,6.86,6.81,6.85,2322
2022-04-19 15:44:00,6.85,6.855,6.83,6.83,1124
2022-04-19 15:43:00,6.87,6.87,6.85,6.85,421
2022-04-19 15:42:00,6.8601,6.8601,6.85,6.8569,1769
2022-04-19 15:41:00,6.87,6.87,6.87,6.87,350
2022-04-19 15:40:00,6.9,6.9154,6.861,6.87,2074
2022-04-19 15:39:00,6.93,6.93,6.9,6.9,1167
2022-04-19 15:38:00,6.945,6.945,6.93,6.93,1366
2022-04-19 15:37:00,6.94,6.96,6.93,6.96,2230
2022-04-19 15:36:00,6.93,6.94,6.924,6.94,1965
2022-04-19 15:33:00,6.9,6.9,6.9,6.9,420
2022-04-19 15:31:00,6.91,6.91,6.89,6.9,1687
2022-04-19 15:30:00,6.905,6.905,6.89,6.89,301
2022-04-19 15:29:00,6.87,6.9,6.87,6.89,2161
2022-04-19 15:27:00,6.85,6.85,6.84,6.84,1875
2022-04-19 15:24:00,6.86,6.8795,6.86,6.8795,3786
