time,open,high,low,close,volume
2022-02-17 16:00:00,4.21,4.23,4.21,4.23,383
2022-02-17 15:41:00,4.24,4.24,4.24,4.24,400
2022-02-17 15:31:00,4.2,4.2,4.2,4.2,198
2022-02-17 15:28:00,4.22,4.22,4.22,4.22,321
2022-02-17 15:15:00,4.1,4.1,4.1,4.1,200
2022-02-17 14:46:00,4.1261,4.1261,4.1261,4.1261,2500
2022-02-17 14:40:00,4.1001,4.1001,4.1001,4.1001,270
2022-02-17 14:22:00,4.15,4.15,4.15,4.15,1000
2022-02-17 14:21:00,4.1457,4.1457,4.1457,4.1457,104
2022-02-17 13:58:00,4.23,4.23,4.19,4.2,1490
2022-02-17 13:46:00,4.205,4.205,4.205,4.205,200
2022-02-17 13:43:00,4.1941,4.1941,4.1941,4.1941,200
2022-02-17 13:38:00,4.2,4.2,4.2,4.2,100
2022-02-17 13:28:00,4.2,4.2,4.2,4.2,313
2022-02-17 13:13:00,4.24,4.24,4.24,4.24,187
2022-02-17 13:05:00,4.26,4.26,4.26,4.26,600
2022-02-17 11:39:00,4.26,4.26,4.26,4.26,300
2022-02-17 10:38:00,4.27,4.27,4.27,4.27,100
2022-02-17 10:31:00,4.19,4.2,4.19,4.2,1698
2022-02-17 10:28:00,4.15,4.15,4.15,4.15,717
2022-02-17 10:27:00,4.32,4.32,4.32,4.32,800
2022-02-17 10:20:00,4.3301,4.3301,4.3301,4.3301,200
2022-02-17 10:11:00,4.361,4.361,4.361,4.361,302
2022-02-17 10:04:00,4.36,4.36,4.36,4.36,998
2022-02-17 10:03:00,4.38,4.38,4.37,4.37,345
2022-02-17 10:02:00,4.319,4.32,4.319,4.32,922
2022-02-17 10:01:00,4.31,4.32,4.31,4.31,300
2022-02-17 09:59:00,4.2992,4.3,4.2992,4.3,400
2022-02-17 09:58:00,4.3,4.32,4.3,4.32,501
2022-02-17 09:57:00,4.27,4.27,4.27,4.27,300
2022-02-17 09:47:00,4.27,4.29,4.27,4.27,1157
2022-02-17 09:40:00,4.27,4.27,4.27,4.27,250
2022-02-17 09:38:00,4.2979,4.2979,4.2979,4.2979,500
2022-02-17 09:36:00,4.2888,4.2888,4.2888,4.2888,470
2022-02-17 09:31:00,4.22,4.22,4.22,4.22,391
2022-02-16 16:00:00,4.28,4.28,4.25,4.25,1061
2022-02-16 15:52:00,4.3543,4.3543,4.3543,4.3543,370
2022-02-16 15:12:00,4.2215,4.2361,4.2215,4.2361,1148
2022-02-16 14:38:00,4.35,4.35,4.35,4.35,100
2022-02-16 14:36:00,4.38,4.38,4.38,4.38,1200
2022-02-16 14:24:00,4.33,4.33,4.33,4.33,401
2022-02-16 14:23:00,4.31,4.33,4.31,4.33,417
2022-02-16 14:22:00,4.35,4.35,4.33,4.33,440
2022-02-16 14:20:00,4.3473,4.3473,4.3304,4.3304,200
2022-02-16 14:00:00,4.348,4.348,4.326,4.348,1100
2022-02-16 13:59:00,4.35,4.35,4.35,4.35,300
2022-02-16 13:56:00,4.35,4.35,4.35,4.35,100
2022-02-16 13:47:00,4.35,4.36,4.35,4.36,505
2022-02-16 13:46:00,4.36,4.36,4.36,4.36,208
2022-02-16 13:44:00,4.35,4.35,4.35,4.35,677
2022-02-16 13:41:00,4.325,4.325,4.325,4.325,200
2022-02-16 13:38:00,4.38,4.38,4.38,4.38,213
2022-02-16 13:34:00,4.325,4.325,4.325,4.325,500
2022-02-16 13:10:00,4.4397,4.4397,4.4397,4.4397,2000
2022-02-16 13:04:00,4.2229,4.2229,4.2229,4.2229,450
2022-02-16 12:46:00,4.31,4.31,4.31,4.31,103
2022-02-16 12:29:00,4.41,4.41,4.41,4.41,503
2022-02-16 12:27:00,4.46,4.46,4.46,4.46,268
2022-02-16 12:16:00,4.29,4.29,4.29,4.29,200
2022-02-16 12:14:00,4.3,4.3,4.3,4.3,502
2022-02-16 12:13:00,4.35,4.36,4.35,4.36,650
2022-02-16 12:12:00,4.3169,4.3169,4.3169,4.3169,300
2022-02-16 12:11:00,4.3088,4.3088,4.3088,4.3088,290
2022-02-16 12:08:00,4.2972,4.32,4.29,4.32,1205
2022-02-16 11:47:00,4.32,4.32,4.32,4.32,200
2022-02-16 11:46:00,4.24,4.24,4.24,4.24,610
