time,open,high,low,close,volume
2022-03-18 19:09:00,1.28,1.28,1.28,1.28,2500
2022-03-18 17:40:00,1.28,1.28,1.28,1.28,1600
2022-03-18 17:37:00,1.2999,1.2999,1.2999,1.2999,500
2022-03-18 17:23:00,1.28,1.28,1.28,1.28,250
2022-03-18 17:14:00,1.3,1.3,1.3,1.3,100
2022-03-18 17:12:00,1.3,1.3,1.3,1.3,100
2022-03-18 17:11:00,1.31,1.31,1.3,1.3,600
2022-03-18 16:59:00,1.31,1.31,1.31,1.31,800
2022-03-18 16:58:00,1.3,1.3,1.3,1.3,200
2022-03-18 16:57:00,1.3,1.3,1.3,1.3,1288
2022-03-18 16:54:00,1.28,1.28,1.28,1.28,1076
2022-03-18 16:37:00,1.27,1.27,1.27,1.27,400
2022-03-18 16:35:00,1.27,1.27,1.27,1.27,1230
2022-03-18 16:34:00,1.27,1.27,1.27,1.27,830
2022-03-18 16:33:00,1.27,1.27,1.27,1.27,1500
2022-03-18 16:30:00,1.27,1.27,1.27,1.27,270
2022-03-18 16:20:00,1.27,1.27,1.27,1.27,150
2022-03-18 16:19:00,1.27,1.27,1.27,1.27,400
2022-03-18 16:16:00,1.27,1.27,1.27,1.27,975
2022-03-18 16:01:00,1.3,1.3,1.3,1.3,400
2022-03-18 16:00:00,1.265,1.3,1.2637,1.29,60070
2022-03-18 15:59:00,1.27,1.27,1.26,1.26,2859
2022-03-18 15:58:00,1.275,1.2751,1.265,1.27,9462
2022-03-18 15:57:00,1.2718,1.2718,1.2718,1.2718,2393
2022-03-18 15:56:00,1.275,1.275,1.27,1.27,4210
2022-03-18 15:55:00,1.2701,1.275,1.2701,1.2745,2995
2022-03-18 15:54:00,1.27,1.2757,1.27,1.2757,1050
2022-03-18 15:53:00,1.2801,1.285,1.27,1.275,3820
2022-03-18 15:52:00,1.2892,1.2892,1.28,1.285,4794
2022-03-18 15:51:00,1.285,1.29,1.285,1.29,1400
2022-03-18 15:50:00,1.285,1.2899,1.285,1.2899,1197
2022-03-18 15:49:00,1.2812,1.2812,1.2812,1.2812,200
2022-03-18 15:48:00,1.2808,1.2808,1.2808,1.2808,1018
2022-03-18 15:46:00,1.28,1.285,1.28,1.28,6850
