time,open,high,low,close,volume
2022-04-19 20:00:00,2.7,2.7,2.7,2.7,195
2022-04-19 19:59:00,2.77,2.77,2.77,2.77,493
2022-04-19 19:20:00,2.77,2.77,2.77,2.77,200
2022-04-19 18:28:00,2.7,2.7,2.7,2.7,1000
2022-04-19 17:50:00,2.76,2.76,2.76,2.76,120
2022-04-19 17:14:00,2.78,2.78,2.78,2.78,100
2022-04-19 17:09:00,2.71,2.71,2.71,2.71,300
2022-04-19 17:06:00,2.77,2.77,2.7,2.7,1000
2022-04-19 17:02:00,2.7,2.7,2.7,2.7,100
2022-04-19 16:59:00,2.71,2.71,2.71,2.71,229
2022-04-19 16:04:00,2.76,2.76,2.76,2.76,100
2022-04-19 16:00:00,2.78,2.79,2.775,2.79,3198
2022-04-19 15:59:00,2.77,2.77,2.765,2.77,6531
2022-04-19 15:58:00,2.7699,2.77,2.7699,2.77,3109
2022-04-19 15:56:00,2.8,2.8,2.77,2.77,5609
2022-04-19 15:55:00,2.77,2.8,2.77,2.78,6300
2022-04-19 15:54:00,2.76,2.76,2.76,2.76,200
2022-04-19 15:53:00,2.76,2.76,2.76,2.76,146
2022-04-19 15:51:00,2.77,2.77,2.76,2.76,4595
2022-04-19 15:50:00,2.75,2.75,2.7499,2.75,6745
2022-04-19 15:48:00,2.7559,2.7559,2.7559,2.7559,107
2022-04-19 15:47:00,2.7592,2.7592,2.7592,2.7592,100
2022-04-19 15:45:00,2.75,2.7544,2.75,2.7544,2009
2022-04-19 15:42:00,2.7699,2.7699,2.7699,2.7699,429
2022-04-19 15:41:00,2.761,2.761,2.76,2.76,2518
2022-04-19 15:39:00,2.77,2.77,2.77,2.77,1842
2022-04-19 15:34:00,2.77,2.7799,2.77,2.77,4389
2022-04-19 15:32:00,2.7627,2.77,2.7624,2.77,1305
2022-04-19 15:30:00,2.78,2.78,2.77,2.77,406
2022-04-19 15:24:00,2.775,2.775,2.775,2.775,100
2022-04-19 15:22:00,2.7899,2.7899,2.7644,2.7644,5140
2022-04-19 15:21:00,2.7899,2.7899,2.7899,2.7899,6000
2022-04-19 15:19:00,2.775,2.775,2.775,2.775,400
2022-04-19 15:18:00,2.7673,2.7673,2.7673,2.7673,430
2022-04-19 15:16:00,2.78,2.7873,2.77,2.77,1501
2022-04-19 15:15:00,2.79,2.79,2.79,2.79,600
2022-04-19 15:13:00,2.791,2.791,2.791,2.791,110
2022-04-19 15:12:00,2.8,2.8,2.8,2.8,250
2022-04-19 15:11:00,2.78,2.78,2.78,2.78,118
2022-04-19 15:10:00,2.79,2.79,2.79,2.79,1306
2022-04-19 15:09:00,2.77,2.78,2.77,2.77,901
2022-04-19 15:06:00,2.7836,2.7836,2.7836,2.7836,2800
2022-04-19 15:02:00,2.78,2.78,2.77,2.77,2421
2022-04-19 15:00:00,2.7679,2.7679,2.7679,2.7679,101
2022-04-19 14:57:00,2.7685,2.7685,2.7685,2.7685,100
2022-04-19 14:56:00,2.76,2.76,2.76,2.76,1926
2022-04-19 14:55:00,2.76,2.76,2.76,2.76,300
2022-04-19 14:53:00,2.76,2.76,2.76,2.76,1508
2022-04-19 14:52:00,2.78,2.78,2.76,2.76,625
2022-04-19 14:51:00,2.76,2.76,2.75,2.76,2400
2022-04-19 14:50:00,2.76,2.76,2.76,2.76,700
2022-04-19 14:49:00,2.76,2.76,2.76,2.76,200
2022-04-19 14:47:00,2.7762,2.7762,2.76,2.76,697
2022-04-19 14:45:00,2.765,2.765,2.765,2.765,1100
2022-04-19 14:40:00,2.7545,2.7545,2.7545,2.7545,100
2022-04-19 14:39:00,2.76,2.76,2.76,2.76,498
2022-04-19 14:38:00,2.7799,2.7799,2.7799,2.7799,2000
2022-04-19 14:37:00,2.7462,2.7462,2.7462,2.7462,166
2022-04-19 14:35:00,2.7673,2.7673,2.7673,2.7673,105
2022-04-19 14:30:00,2.7747,2.7747,2.7747,2.7747,145
2022-04-19 14:28:00,2.7435,2.7435,2.7435,2.7435,350
2022-04-19 14:23:00,2.78,2.78,2.7201,2.7201,6483
2022-04-19 14:22:00,2.7146,2.78,2.71,2.78,8189
2022-04-19 14:21:00,2.7376,2.7376,2.7376,2.7376,500
2022-04-19 14:20:00,2.73,2.73,2.7,2.7,9066
2022-04-19 14:18:00,2.73,2.73,2.73,2.73,565
2022-04-19 14:17:00,2.73,2.73,2.73,2.73,600
2022-04-19 14:14:00,2.75,2.75,2.75,2.75,2668
2022-04-19 14:13:00,2.76,2.76,2.76,2.76,2855
2022-04-19 14:11:00,2.7711,2.7711,2.7711,2.7711,211
2022-04-19 14:09:00,2.77,2.77,2.77,2.77,1500
2022-04-19 14:06:00,2.78,2.78,2.78,2.78,1500
2022-04-19 14:02:00,2.77,2.77,2.77,2.77,219
2022-04-19 13:53:00,2.78,2.78,2.78,2.78,1213
2022-04-19 13:52:00,2.79,2.79,2.7884,2.7884,300
2022-04-19 13:47:00,2.76,2.77,2.76,2.77,431
2022-04-19 13:46:00,2.76,2.76,2.76,2.76,776
2022-04-19 13:45:00,2.7601,2.7601,2.7601,2.7601,150
2022-04-19 13:43:00,2.76,2.76,2.76,2.76,401
2022-04-19 13:42:00,2.7601,2.7638,2.7601,2.7638,206
2022-04-19 13:38:00,2.78,2.78,2.76,2.76,882
2022-04-19 13:37:00,2.771,2.771,2.77,2.77,1170
2022-04-19 13:36:00,2.7878,2.7878,2.77,2.77,1624
2022-04-19 13:35:00,2.77,2.78,2.77,2.78,1000
2022-04-19 13:31:00,2.78,2.79,2.78,2.79,404
2022-04-19 13:30:00,2.8,2.8,2.78,2.78,3419
2022-04-19 13:29:00,2.8,2.807,2.8,2.807,3567
2022-04-19 13:26:00,2.82,2.82,2.81,2.82,1960
2022-04-19 13:21:00,2.8299,2.8299,2.8299,2.8299,116
2022-04-19 13:19:00,2.81,2.83,2.81,2.83,800
2022-04-19 13:18:00,2.81,2.81,2.81,2.81,850
2022-04-19 13:12:00,2.81,2.81,2.81,2.81,150
2022-04-19 13:09:00,2.805,2.805,2.805,2.805,167
2022-04-19 13:05:00,2.81,2.815,2.81,2.815,609
2022-04-19 13:04:00,2.8,2.802,2.8,2.802,400
2022-04-19 13:03:00,2.81,2.81,2.8095,2.8095,2100
2022-04-19 12:58:00,2.81,2.82,2.8011,2.82,845
2022-04-19 12:54:00,2.8178,2.8178,2.8178,2.8178,210
2022-04-19 12:52:00,2.8002,2.815,2.8,2.81,25601
2022-04-19 12:49:00,2.802,2.802,2.802,2.802,110
2022-04-19 12:48:00,2.8,2.81,2.8,2.81,709
2022-04-19 12:43:00,2.8199,2.8199,2.8199,2.8199,3000
2022-04-19 12:42:00,2.8199,2.8199,2.8199,2.8199,101
2022-04-19 12:41:00,2.81,2.81,2.81,2.81,1200
2022-04-19 12:40:00,2.83,2.83,2.8,2.8,8965
2022-04-19 12:37:00,2.8309,2.8309,2.8309,2.8309,200
2022-04-19 12:35:00,2.84,2.84,2.84,2.84,100
2022-04-19 12:32:00,2.84,2.84,2.8306,2.835,2401
2022-04-19 12:29:00,2.8307,2.8307,2.8307,2.8307,126
2022-04-19 12:28:00,2.84,2.84,2.84,2.84,240
2022-04-19 12:27:00,2.8301,2.8301,2.8301,2.8301,101
2022-04-19 12:26:00,2.8301,2.8301,2.8301,2.8301,3612
2022-04-19 12:25:00,2.84,2.84,2.84,2.84,1006
2022-04-19 12:24:00,2.84,2.84,2.84,2.84,5553
2022-04-19 12:23:00,2.848,2.8493,2.848,2.8493,862
2022-04-19 12:22:00,2.8489,2.85,2.8489,2.85,243
2022-04-19 12:21:00,2.8484,2.8484,2.8484,2.8484,105
2022-04-19 12:17:00,2.8401,2.855,2.8401,2.855,1255
2022-04-19 12:16:00,2.85,2.869,2.84,2.8412,8652
2022-04-19 12:15:00,2.8585,2.8585,2.85,2.85,799
2022-04-19 12:14:00,2.8599,2.86,2.8599,2.86,1150
2022-04-19 12:13:00,2.825,2.87,2.825,2.8688,20275
2022-04-19 12:12:00,2.83,2.83,2.83,2.83,3291
2022-04-19 12:11:00,2.825,2.825,2.825,2.825,185
2022-04-19 12:10:00,2.8249,2.8249,2.8249,2.8249,1000
2022-04-19 12:09:00,2.81,2.8299,2.81,2.825,13096
2022-04-19 12:08:00,2.8,2.8,2.8,2.8,100
2022-04-19 12:04:00,2.802,2.802,2.802,2.802,300
2022-04-19 12:03:00,2.805,2.81,2.8,2.81,818
2022-04-19 12:02:00,2.8,2.8042,2.8,2.8042,846
2022-04-19 12:00:00,2.8,2.8,2.8,2.8,170
2022-04-19 11:59:00,2.818,2.82,2.81,2.82,1528
2022-04-19 11:58:00,2.82,2.82,2.82,2.82,5727
2022-04-19 11:57:00,2.8116,2.8116,2.8,2.8,3083
2022-04-19 11:55:00,2.8,2.8,2.8,2.8,5333
2022-04-19 11:53:00,2.79,2.7912,2.7819,2.7912,2116
2022-04-19 11:52:00,2.78,2.79,2.7708,2.79,5230
2022-04-19 11:49:00,2.7777,2.7777,2.7777,2.7777,1500
2022-04-19 11:48:00,2.7893,2.7899,2.7601,2.775,7220
2022-04-19 11:47:00,2.79,2.79,2.79,2.79,618
2022-04-19 11:46:00,2.77,2.79,2.75,2.78,6078
2022-04-19 11:45:00,2.76,2.76,2.76,2.76,701
2022-04-19 11:44:00,2.76,2.76,2.76,2.76,204
2022-04-19 11:43:00,2.76,2.76,2.76,2.76,800
2022-04-19 11:42:00,2.752,2.76,2.752,2.76,200
2022-04-19 11:41:00,2.77,2.77,2.7503,2.7503,1652
2022-04-19 11:40:00,2.77,2.77,2.76,2.77,3121
2022-04-19 11:39:00,2.77,2.77,2.77,2.77,700
2022-04-19 11:38:00,2.79,2.79,2.79,2.79,1145
2022-04-19 11:36:00,2.7899,2.7899,2.7899,2.7899,3580
2022-04-19 11:35:00,2.7537,2.7537,2.7537,2.7537,265
2022-04-19 11:33:00,2.76,2.76,2.76,2.76,312
2022-04-19 11:32:00,2.7501,2.76,2.75,2.75,10585
2022-04-19 11:31:00,2.755,2.7566,2.755,2.7566,660
2022-04-19 11:30:00,2.76,2.76,2.76,2.76,1851
2022-04-19 11:28:00,2.76,2.77,2.75,2.75,3909
2022-04-19 11:27:00,2.77,2.77,2.76,2.76,291
2022-04-19 11:26:00,2.7601,2.7601,2.7601,2.7601,501
2022-04-19 11:25:00,2.77,2.77,2.77,2.77,200
2022-04-19 11:24:00,2.78,2.78,2.7601,2.7601,808
2022-04-19 11:23:00,2.77,2.77,2.76,2.76,548
2022-04-19 11:22:00,2.78,2.78,2.78,2.78,1001
2022-04-19 11:21:00,2.77,2.77,2.77,2.77,3609
2022-04-19 11:20:00,2.77,2.77,2.77,2.77,131
2022-04-19 11:18:00,2.77,2.77,2.77,2.77,210
2022-04-19 11:17:00,2.7726,2.7726,2.7726,2.7726,150
2022-04-19 11:13:00,2.7799,2.7799,2.7701,2.7701,9316
2022-04-19 11:12:00,2.775,2.775,2.775,2.775,1118
2022-04-19 11:11:00,2.7616,2.78,2.7616,2.7756,731
2022-04-19 11:04:00,2.7693,2.7799,2.7693,2.7799,711
2022-04-19 11:03:00,2.79,2.79,2.77,2.77,9476
2022-04-19 11:02:00,2.7902,2.7934,2.74,2.7934,6208
2022-04-19 11:01:00,2.82,2.82,2.82,2.82,411
2022-04-19 10:59:00,2.79,2.79,2.79,2.79,110
2022-04-19 10:58:00,2.8108,2.8108,2.8108,2.8108,312
2022-04-19 10:56:00,2.79,2.83,2.77,2.83,19450
2022-04-19 10:55:00,2.83,2.83,2.8,2.8,5534
