time,open,high,low,close,volume
2022-02-17 19:45:00,2.8,2.8,2.75,2.75,436
2022-02-17 17:08:00,2.79,2.79,2.78,2.78,1596
2022-02-17 16:53:00,2.78,2.78,2.78,2.78,380
2022-02-17 16:45:00,2.78,2.79,2.78,2.78,2000
2022-02-17 16:38:00,2.78,2.78,2.78,2.78,150
2022-02-17 16:02:00,2.78,2.78,2.78,2.78,500
2022-02-17 16:00:00,2.785,2.788,2.7801,2.788,333
2022-02-17 15:59:00,2.781,2.781,2.781,2.781,115
2022-02-17 15:58:00,2.79,2.79,2.785,2.79,2108
2022-02-17 15:57:00,2.7892,2.7892,2.7848,2.7848,551
2022-02-17 15:56:00,2.7897,2.7897,2.78,2.78,5227
2022-02-17 15:55:00,2.78,2.79,2.773,2.779,10425
2022-02-17 15:54:00,2.779,2.78,2.779,2.78,432
2022-02-17 15:53:00,2.8,2.8,2.78,2.78,8900
2022-02-17 15:52:00,2.79,2.79,2.79,2.79,809
2022-02-17 15:51:00,2.79,2.79,2.783,2.783,700
2022-02-17 15:50:00,2.783,2.783,2.783,2.783,220
2022-02-17 15:49:00,2.78,2.7802,2.78,2.7802,758
2022-02-17 15:45:00,2.7718,2.7718,2.7718,2.7718,200
2022-02-17 15:44:00,2.7715,2.7715,2.7715,2.7715,352
2022-02-17 15:43:00,2.7718,2.7718,2.7718,2.7718,387
2022-02-17 15:42:00,2.795,2.795,2.78,2.78,315
2022-02-17 15:40:00,2.8068,2.81,2.8068,2.81,651
2022-02-17 15:39:00,2.8,2.8,2.8,2.8,128
2022-02-17 15:37:00,2.8073,2.8073,2.8073,2.8073,1025
2022-02-17 15:36:00,2.81,2.81,2.78,2.795,2694
2022-02-17 15:35:00,2.78,2.7852,2.78,2.7852,311
2022-02-17 15:34:00,2.805,2.805,2.8,2.8,2508
2022-02-17 15:33:00,2.8092,2.8092,2.7977,2.8001,3400
2022-02-17 15:32:00,2.78,2.82,2.7795,2.7825,9565
2022-02-17 15:30:00,2.7664,2.7664,2.7664,2.7664,100
2022-02-17 15:29:00,2.789,2.79,2.789,2.79,1273
