time,open,high,low,close,volume
2022-03-18 19:58:00,2.68,2.68,2.68,2.68,1040
2022-03-18 19:55:00,2.68,2.68,2.68,2.68,350
2022-03-18 19:31:00,2.68,2.68,2.68,2.68,104
2022-03-18 19:28:00,2.67,2.67,2.67,2.67,100
2022-03-18 19:26:00,2.65,2.65,2.65,2.65,250
2022-03-18 19:21:00,2.68,2.68,2.68,2.68,200
2022-03-18 19:18:00,2.67,2.67,2.67,2.67,398
2022-03-18 19:13:00,2.67,2.67,2.67,2.67,400
2022-03-18 19:11:00,2.67,2.67,2.67,2.67,300
2022-03-18 19:10:00,2.67,2.67,2.67,2.67,300
2022-03-18 19:07:00,2.66,2.66,2.66,2.66,450
2022-03-18 19:06:00,2.66,2.66,2.66,2.66,100
2022-03-18 19:04:00,2.66,2.66,2.66,2.66,100
2022-03-18 19:00:00,2.66,2.66,2.6599,2.6599,500
2022-03-18 18:57:00,2.65,2.65,2.65,2.65,300
2022-03-18 18:47:00,2.6599,2.6599,2.6599,2.6599,900
2022-03-18 18:46:00,2.65,2.65,2.6499,2.6499,200
2022-03-18 18:42:00,2.64,2.64,2.64,2.64,222
2022-03-18 18:41:00,2.64,2.64,2.64,2.64,200
2022-03-18 18:39:00,2.64,2.64,2.64,2.64,100
2022-03-18 18:38:00,2.65,2.65,2.65,2.65,1000
2022-03-18 18:37:00,2.66,2.66,2.65,2.65,242
2022-03-18 18:32:00,2.66,2.66,2.66,2.66,101
2022-03-18 18:29:00,2.66,2.66,2.66,2.66,171
2022-03-18 18:25:00,2.67,2.67,2.67,2.67,832
2022-03-18 18:15:00,2.69,2.69,2.69,2.69,350
2022-03-18 18:01:00,2.66,2.66,2.66,2.66,450
2022-03-18 18:00:00,2.69,2.69,2.66,2.66,2061
2022-03-18 17:59:00,2.66,2.66,2.66,2.66,7571
2022-03-18 17:58:00,2.67,2.67,2.67,2.67,700
2022-03-18 17:54:00,2.66,2.66,2.66,2.66,1085
2022-03-18 17:53:00,2.66,2.66,2.66,2.66,101
2022-03-18 17:52:00,2.66,2.66,2.66,2.66,900
2022-03-18 17:50:00,2.69,2.69,2.69,2.69,170
2022-03-18 17:43:00,2.66,2.66,2.66,2.66,1965
2022-03-18 17:40:00,2.69,2.69,2.69,2.69,459
2022-03-18 17:38:00,2.67,2.67,2.67,2.67,877
2022-03-18 17:33:00,2.66,2.66,2.66,2.66,372
2022-03-18 17:32:00,2.66,2.66,2.66,2.66,901
2022-03-18 17:30:00,2.69,2.69,2.69,2.69,100
2022-03-18 17:29:00,2.69,2.69,2.69,2.69,250
2022-03-18 17:23:00,2.66,2.66,2.66,2.66,875
2022-03-18 17:22:00,2.69,2.69,2.69,2.69,104
2022-03-18 17:17:00,2.66,2.66,2.66,2.66,472
2022-03-18 17:15:00,2.66,2.66,2.66,2.66,195
2022-03-18 17:13:00,2.66,2.7,2.66,2.66,2432
2022-03-18 17:11:00,2.66,2.66,2.66,2.66,235
2022-03-18 17:04:00,2.7,2.7,2.7,2.7,247
2022-03-18 17:02:00,2.66,2.66,2.66,2.66,3338
2022-03-18 17:01:00,2.66,2.68,2.66,2.68,1100
2022-03-18 17:00:00,2.67,2.67,2.67,2.67,162
2022-03-18 16:57:00,2.71,2.71,2.71,2.71,260
2022-03-18 16:55:00,2.66,2.71,2.66,2.71,556
2022-03-18 16:53:00,2.66,2.66,2.6,2.6,5234
2022-03-18 16:52:00,2.66,2.73,2.66,2.73,456
2022-03-18 16:51:00,2.66,2.75,2.6499,2.75,21515
2022-03-18 16:50:00,2.65,2.65,2.65,2.65,680
2022-03-18 16:48:00,2.69,2.69,2.66,2.66,1127
2022-03-18 16:47:00,2.69,2.69,2.69,2.69,196
2022-03-18 16:46:00,2.66,2.66,2.66,2.66,500
2022-03-18 16:41:00,2.69,2.69,2.69,2.69,100
2022-03-18 16:40:00,2.66,2.66,2.64,2.64,1532
2022-03-18 16:37:00,2.68,2.69,2.68,2.69,405
2022-03-18 16:36:00,2.72,2.73,2.69,2.69,600
2022-03-18 16:35:00,2.72,2.72,2.72,2.72,202
2022-03-18 16:34:00,2.65,2.65,2.65,2.65,163
2022-03-18 16:33:00,2.64,2.64,2.64,2.64,18520
2022-03-18 16:32:00,2.64,2.77,2.64,2.77,9255
2022-03-18 16:31:00,2.63,2.63,2.63,2.63,5452
2022-03-18 16:30:00,2.72,2.72,2.72,2.72,600
2022-03-18 16:29:00,2.64,2.64,2.64,2.64,172
2022-03-18 16:28:00,2.64,2.64,2.64,2.64,123
2022-03-18 16:26:00,2.68,2.73,2.68,2.73,15358
2022-03-18 16:24:00,2.64,2.64,2.64,2.64,520
2022-03-18 16:23:00,2.67,2.67,2.57,2.57,18001
2022-03-18 16:22:00,2.7,2.7,2.7,2.7,557
2022-03-18 16:20:00,2.67,2.67,2.67,2.67,115
2022-03-18 16:18:00,2.67,2.67,2.67,2.67,589
2022-03-18 16:16:00,2.67,2.67,2.67,2.67,560
2022-03-18 16:12:00,2.65,2.65,2.65,2.65,594
2022-03-18 16:08:00,2.65,2.65,2.65,2.65,244
2022-03-18 16:07:00,2.64,2.64,2.64,2.64,4065
2022-03-18 16:06:00,2.73,2.73,2.71,2.71,1307
2022-03-18 16:03:00,2.63,2.63,2.63,2.63,160
2022-03-18 16:02:00,2.63,2.63,2.63,2.63,2284
