time,open,high,low,close,volume
2022-02-17 16:03:00,1.72,1.72,1.72,1.72,309
2022-02-17 16:00:00,1.74,1.74,1.74,1.74,729
2022-02-17 15:47:00,1.74,1.74,1.74,1.74,100
2022-02-17 15:41:00,1.73,1.73,1.73,1.73,1459
2022-02-17 15:34:00,1.73,1.73,1.73,1.73,109
2022-02-17 15:31:00,1.73,1.73,1.73,1.73,101
2022-02-17 15:30:00,1.73,1.73,1.73,1.73,300
2022-02-17 15:29:00,1.7301,1.7301,1.7301,1.7301,1000
2022-02-17 15:19:00,1.73,1.73,1.73,1.73,600
2022-02-17 15:18:00,1.73,1.7301,1.73,1.73,6147
2022-02-17 15:15:00,1.74,1.74,1.74,1.74,100
2022-02-17 14:50:00,1.7358,1.7358,1.7358,1.7358,101
2022-02-17 14:28:00,1.8,1.8,1.73,1.73,2126
2022-02-17 14:27:00,1.77,1.7735,1.74,1.7562,3198
2022-02-17 14:26:00,1.83,1.83,1.7701,1.7701,3637
2022-02-17 14:25:00,1.78,1.78,1.78,1.78,525
2022-02-17 14:23:00,1.79,1.79,1.78,1.78,300
2022-02-17 14:22:00,1.77,1.77,1.77,1.77,280
2022-02-17 14:20:00,1.8,1.8,1.8,1.8,131
2022-02-17 14:19:00,1.79,1.79,1.79,1.79,100
2022-02-17 14:18:00,1.73,1.76,1.73,1.76,5130
2022-02-17 14:17:00,1.73,1.73,1.73,1.73,200
2022-02-17 14:10:00,1.74,1.74,1.74,1.74,654
2022-02-17 13:23:00,1.73,1.73,1.73,1.73,501
2022-02-17 13:22:00,1.73,1.7315,1.73,1.73,2700
2022-02-17 12:56:00,1.7305,1.7305,1.7305,1.7305,436
2022-02-17 12:53:00,1.7337,1.7337,1.7337,1.7337,301
2022-02-17 12:50:00,1.7326,1.7326,1.7326,1.7326,602
2022-02-17 12:49:00,1.73,1.73,1.73,1.73,102
2022-02-17 12:39:00,1.73,1.73,1.73,1.73,1050
2022-02-17 12:38:00,1.76,1.76,1.76,1.76,100
2022-02-17 12:36:00,1.73,1.73,1.73,1.73,574
2022-02-17 12:34:00,1.77,1.77,1.77,1.77,100
2022-02-17 12:21:00,1.7347,1.7347,1.7347,1.7347,205
2022-02-17 11:03:00,1.76,1.76,1.76,1.76,102
2022-02-17 10:43:00,1.7235,1.7235,1.72,1.72,368
2022-02-17 10:42:00,1.7535,1.7535,1.7535,1.7535,600
2022-02-17 10:41:00,1.71,1.7159,1.71,1.7101,1218
2022-02-17 10:40:00,1.77,1.77,1.7101,1.7101,1558
2022-02-17 10:39:00,1.71,1.71,1.71,1.71,940
2022-02-17 10:38:00,1.71,1.71,1.71,1.71,100
2022-02-17 10:37:00,1.7301,1.735,1.7,1.71,7920
2022-02-17 10:36:00,1.72,1.755,1.72,1.755,1334
2022-02-17 10:35:00,1.6999,1.71,1.6999,1.71,2423
2022-02-17 10:34:00,1.69,1.7,1.67,1.69,5123
