time,open,high,low,close,volume
2022-03-18 20:00:00,1.06,1.06,1.06,1.06,37735
2022-03-18 19:57:00,1.06,1.06,1.06,1.06,502
2022-03-18 19:50:00,1.06,1.06,1.06,1.06,250
2022-03-18 19:49:00,1.05,1.05,1.05,1.05,100
2022-03-18 19:48:00,1.05,1.05,1.05,1.05,310
2022-03-18 19:44:00,1.05,1.05,1.05,1.05,100
2022-03-18 19:42:00,1.05,1.06,1.05,1.05,6500
2022-03-18 19:41:00,1.05,1.05,1.05,1.05,1406
2022-03-18 19:35:00,1.05,1.05,1.05,1.05,3200
2022-03-18 19:34:00,1.05,1.05,1.05,1.05,1000
2022-03-18 19:25:00,1.05,1.05,1.05,1.05,200
2022-03-18 19:24:00,1.05,1.05,1.05,1.05,1100
2022-03-18 19:20:00,1.05,1.05,1.05,1.05,250
2022-03-18 19:18:00,1.04,1.04,1.04,1.04,10000
2022-03-18 19:01:00,1.04,1.04,1.04,1.04,200
2022-03-18 19:00:00,1.04,1.04,1.04,1.04,500
2022-03-18 18:59:00,1.05,1.05,1.05,1.05,250
2022-03-18 18:58:00,1.05,1.05,1.05,1.05,536
2022-03-18 18:53:00,1.05,1.05,1.05,1.05,1900
2022-03-18 18:52:00,1.04,1.04,1.04,1.04,700
2022-03-18 18:46:00,1.04,1.04,1.04,1.04,300
2022-03-18 18:45:00,1.05,1.05,1.05,1.05,200
2022-03-18 18:37:00,1.05,1.05,1.04,1.04,593
2022-03-18 18:36:00,1.0499,1.0499,1.0499,1.0499,677
2022-03-18 18:32:00,1.05,1.05,1.05,1.05,1000
2022-03-18 18:31:00,1.04,1.04,1.04,1.04,500
2022-03-18 18:30:00,1.05,1.05,1.05,1.05,100
2022-03-18 18:28:00,1.04,1.04,1.04,1.04,145
2022-03-18 18:27:00,1.04,1.04,1.04,1.04,200
2022-03-18 18:24:00,1.05,1.05,1.05,1.05,130
2022-03-18 18:18:00,1.03,1.03,1.03,1.03,514
2022-03-18 18:16:00,1.03,1.03,1.03,1.03,500
2022-03-18 18:15:00,1.03,1.03,1.03,1.03,499
2022-03-18 18:13:00,1.03,1.04,1.03,1.04,7503
2022-03-18 18:08:00,1.05,1.05,1.05,1.05,1110
2022-03-18 18:06:00,1.03,1.03,1.03,1.03,1222
2022-03-18 18:03:00,1.03,1.03,1.03,1.03,10010
2022-03-18 17:55:00,1.05,1.05,1.05,1.05,315
2022-03-18 17:50:00,1.05,1.05,1.05,1.05,220
2022-03-18 17:47:00,1.05,1.05,1.05,1.05,215
2022-03-18 17:46:00,1.05,1.05,1.05,1.05,2705
2022-03-18 17:43:00,1.05,1.05,1.05,1.05,2500
2022-03-18 17:41:00,1.05,1.05,1.05,1.05,10000
2022-03-18 17:36:00,1.04,1.04,1.04,1.04,504
2022-03-18 17:33:00,1.03,1.03,1.03,1.03,1500
2022-03-18 17:31:00,1.0301,1.0301,1.0301,1.0301,9600
2022-03-18 17:28:00,1.03,1.03,1.03,1.03,2773
2022-03-18 17:17:00,1.03,1.03,1.03,1.03,405
2022-03-18 17:13:00,1.04,1.04,1.03,1.03,2000
2022-03-18 17:12:00,1.04,1.04,1.04,1.04,250
2022-03-18 17:11:00,1.04,1.04,1.04,1.04,1800
2022-03-18 17:10:00,1.03,1.03,1.03,1.03,1500
2022-03-18 17:04:00,1.04,1.04,1.02,1.02,1259
2022-03-18 17:03:00,1.04,1.04,1.04,1.04,101
2022-03-18 17:02:00,1.04,1.04,1.04,1.04,215
2022-03-18 17:01:00,1.03,1.03,1.0299,1.0299,10004
2022-03-18 16:59:00,1.02,1.02,1.02,1.02,12020
2022-03-18 16:58:00,1.0299,1.0299,1.0299,1.0299,1015
2022-03-18 16:57:00,1.0299,1.0299,1.0299,1.0299,1005
2022-03-18 16:55:00,1.03,1.03,1.03,1.03,1511
2022-03-18 16:54:00,1.03,1.03,1.03,1.03,126
