time,open,high,low,close,volume
2022-03-18 20:00:00,2.4,2.4,2.38,2.4,12341
2022-03-18 19:59:00,2.38,2.4,2.3799,2.4,3847
2022-03-18 19:58:00,2.31,2.38,2.31,2.36,28229
2022-03-18 19:56:00,2.3,2.35,2.3,2.35,1855
2022-03-18 19:55:00,2.3,2.3,2.3,2.3,145
2022-03-18 19:54:00,2.34,2.34,2.34,2.34,100
2022-03-18 19:52:00,2.34,2.34,2.33,2.34,705
2022-03-18 19:50:00,2.34,2.34,2.34,2.34,205
2022-03-18 19:49:00,2.34,2.34,2.34,2.34,120
2022-03-18 19:47:00,2.33,2.34,2.3001,2.3001,2115
2022-03-18 19:40:00,2.34,2.34,2.34,2.34,100
2022-03-18 19:32:00,2.38,2.38,2.38,2.38,870
2022-03-18 19:31:00,2.34,2.38,2.3399,2.38,2595
2022-03-18 19:27:00,2.34,2.34,2.34,2.34,220
2022-03-18 19:26:00,2.34,2.34,2.3399,2.3399,308
2022-03-18 19:24:00,2.32,2.34,2.32,2.34,1402
2022-03-18 19:23:00,2.34,2.34,2.34,2.34,744
2022-03-18 19:22:00,2.3,2.31,2.3,2.31,556
2022-03-18 19:16:00,2.3,2.3,2.3,2.3,235
2022-03-18 19:12:00,2.3,2.3,2.3,2.3,265
2022-03-18 19:11:00,2.2999,2.2999,2.2999,2.2999,325
2022-03-18 19:04:00,2.25,2.25,2.25,2.25,300
2022-03-18 19:01:00,2.31,2.31,2.25,2.25,770
2022-03-18 18:57:00,2.32,2.32,2.32,2.32,230
2022-03-18 18:52:00,2.34,2.34,2.34,2.34,210
2022-03-18 18:51:00,2.34,2.34,2.34,2.34,235
2022-03-18 18:50:00,2.27,2.27,2.27,2.27,325
2022-03-18 18:49:00,2.26,2.26,2.26,2.26,390
2022-03-18 18:48:00,2.25,2.25,2.25,2.25,149
2022-03-18 18:46:00,2.25,2.25,2.25,2.25,500
2022-03-18 18:45:00,2.24,2.24,2.24,2.24,368
2022-03-18 18:41:00,2.22,2.22,2.22,2.22,292
2022-03-18 18:38:00,2.25,2.25,2.25,2.25,100
2022-03-18 18:36:00,2.22,2.22,2.22,2.22,311
2022-03-18 18:35:00,2.25,2.25,2.25,2.25,729
2022-03-18 18:32:00,2.25,2.25,2.25,2.25,776
2022-03-18 18:30:00,2.25,2.25,2.25,2.25,300
2022-03-18 18:29:00,2.25,2.25,2.25,2.25,1500
2022-03-18 18:28:00,2.25,2.25,2.25,2.25,302
2022-03-18 18:25:00,2.29,2.29,2.29,2.29,343
2022-03-18 18:18:00,2.22,2.22,2.22,2.22,201
2022-03-18 18:16:00,2.23,2.23,2.22,2.22,1000
2022-03-18 18:07:00,2.26,2.26,2.21,2.21,9632
2022-03-18 18:06:00,2.31,2.31,2.29,2.29,4167
2022-03-18 18:04:00,2.35,2.35,2.3499,2.3499,2000
2022-03-18 18:00:00,2.35,2.35,2.35,2.35,300
2022-03-18 17:58:00,2.39,2.39,2.39,2.39,407
2022-03-18 17:57:00,2.33,2.39,2.33,2.39,2097
2022-03-18 17:56:00,2.3,2.3,2.3,2.3,512
2022-03-18 17:55:00,2.3,2.3,2.3,2.3,1234
2022-03-18 17:54:00,2.29,2.29,2.29,2.29,100
2022-03-18 17:53:00,2.29,2.29,2.29,2.29,400
2022-03-18 17:50:00,2.27,2.28,2.27,2.28,3980
2022-03-18 17:49:00,2.26,2.26,2.26,2.26,495
2022-03-18 17:43:00,2.27,2.27,2.27,2.27,5101
2022-03-18 17:38:00,2.24,2.24,2.24,2.24,1550
2022-03-18 17:32:00,2.27,2.27,2.27,2.27,500
2022-03-18 17:31:00,2.25,2.25,2.25,2.25,220
2022-03-18 17:26:00,2.23,2.25,2.23,2.25,3461
2022-03-18 17:21:00,2.22,2.22,2.22,2.22,900
2022-03-18 17:19:00,2.27,2.27,2.27,2.27,345
2022-03-18 17:18:00,2.27,2.27,2.27,2.27,516
2022-03-18 17:12:00,2.27,2.27,2.27,2.27,100
2022-03-18 17:09:00,2.22,2.22,2.22,2.22,1312
2022-03-18 17:08:00,2.22,2.22,2.22,2.22,1000
