time,open,high,low,close,volume
2022-02-17 18:04:00,1.55,1.55,1.55,1.55,530
2022-02-17 17:34:00,1.55,1.55,1.55,1.55,300
2022-02-17 16:01:00,1.55,1.55,1.55,1.55,200
2022-02-17 16:00:00,1.54,1.54,1.53,1.54,2317
2022-02-17 15:59:00,1.52,1.53,1.52,1.53,1671
2022-02-17 15:58:00,1.54,1.54,1.52,1.52,790
2022-02-17 15:54:00,1.53,1.535,1.53,1.535,2387
2022-02-17 15:53:00,1.539,1.539,1.539,1.539,200
2022-02-17 15:50:00,1.53,1.53,1.53,1.53,500
2022-02-17 15:47:00,1.52,1.53,1.52,1.53,1495
2022-02-17 15:46:00,1.53,1.53,1.53,1.53,200
2022-02-17 15:44:00,1.5398,1.5398,1.5398,1.5398,1200
2022-02-17 15:40:00,1.53,1.53,1.53,1.53,498
2022-02-17 15:39:00,1.525,1.525,1.525,1.525,161
2022-02-17 15:38:00,1.52,1.5394,1.51,1.5394,5728
2022-02-17 15:37:00,1.5395,1.5395,1.51,1.51,7293
2022-02-17 15:36:00,1.5364,1.5364,1.5364,1.5364,125
2022-02-17 15:35:00,1.538,1.5385,1.538,1.5385,730
2022-02-17 15:34:00,1.53,1.54,1.52,1.5372,1516
2022-02-17 15:33:00,1.53,1.53,1.53,1.53,107
2022-02-17 15:32:00,1.51,1.51,1.51,1.51,5000
2022-02-17 15:30:00,1.54,1.54,1.54,1.54,583
2022-02-17 15:26:00,1.53,1.53,1.53,1.53,204
2022-02-17 15:19:00,1.5117,1.5117,1.5117,1.5117,3014
2022-02-17 15:10:00,1.55,1.55,1.55,1.55,1308
2022-02-17 15:09:00,1.52,1.5215,1.52,1.52,5420
2022-02-17 15:08:00,1.5263,1.5263,1.5263,1.5263,120
2022-02-17 15:07:00,1.54,1.54,1.52,1.53,9244
2022-02-17 15:06:00,1.58,1.6,1.53,1.53,36922
2022-02-17 14:59:00,1.555,1.555,1.555,1.555,1000
2022-02-17 14:54:00,1.555,1.555,1.555,1.555,113
