time,open,high,low,close,volume
2022-02-17 19:52:00,4.11,4.11,4.11,4.11,1000
2022-02-17 19:48:00,4.13,4.13,4.13,4.13,100
2022-02-17 19:38:00,4.11,4.11,4.11,4.11,565
2022-02-17 19:15:00,4.14,4.14,4.14,4.14,295
2022-02-17 19:10:00,4.11,4.11,4.11,4.11,500
2022-02-17 18:31:00,4.11,4.11,4.11,4.11,125
2022-02-17 17:58:00,4.13,4.13,4.13,4.13,1234
2022-02-17 17:38:00,4.15,4.15,4.15,4.15,214
2022-02-17 17:36:00,4.15,4.15,4.15,4.15,7520
2022-02-17 17:24:00,4.13,4.14,4.13,4.13,880
2022-02-17 16:53:00,4.12,4.12,4.12,4.12,301
2022-02-17 16:46:00,4.12,4.12,4.12,4.12,150
2022-02-17 16:44:00,4.12,4.12,4.12,4.12,155
2022-02-17 16:40:00,4.14,4.14,4.14,4.14,100
2022-02-17 16:36:00,4.1,4.1,4.1,4.1,2550
2022-02-17 16:33:00,4.15,4.15,4.15,4.15,181
2022-02-17 16:30:00,4.1,4.1,4.1,4.1,798
2022-02-17 16:28:00,4.13,4.13,4.13,4.13,252
2022-02-17 16:24:00,4.13,4.13,4.13,4.13,464
2022-02-17 16:19:00,4.13,4.13,4.13,4.13,300
2022-02-17 16:16:00,4.14,4.14,4.14,4.14,490
2022-02-17 16:15:00,4.13,4.13,4.13,4.13,509
2022-02-17 16:14:00,4.13,4.13,4.13,4.13,233
2022-02-17 16:08:00,4.15,4.15,4.15,4.15,100
2022-02-17 16:02:00,4.1499,4.1499,4.1499,4.1499,410
2022-02-17 16:00:00,4.155,4.16,4.14,4.15,42958
2022-02-17 15:59:00,4.15,4.16,4.145,4.16,22642
2022-02-17 15:58:00,4.144,4.15,4.1404,4.15,4385
2022-02-17 15:57:00,4.155,4.16,4.145,4.145,30169
2022-02-17 15:56:00,4.15,4.16,4.14,4.16,19020
2022-02-17 15:55:00,4.15,4.15,4.14,4.15,3360
2022-02-17 15:54:00,4.15,4.1592,4.145,4.145,21189
2022-02-17 15:53:00,4.155,4.16,4.15,4.155,1546
2022-02-17 15:52:00,4.15,4.16,4.15,4.155,8762
2022-02-17 15:51:00,4.165,4.165,4.14,4.155,82963
2022-02-17 15:50:00,4.17,4.17,4.165,4.17,1829
2022-02-17 15:49:00,4.168,4.17,4.16,4.16,1597
2022-02-17 15:48:00,4.155,4.17,4.155,4.17,7509
2022-02-17 15:47:00,4.155,4.16,4.155,4.155,4159
2022-02-17 15:46:00,4.14,4.16,4.14,4.16,46554
2022-02-17 15:45:00,4.135,4.14,4.135,4.14,2829
2022-02-17 15:44:00,4.13,4.14,4.13,4.1316,1247
2022-02-17 15:43:00,4.125,4.135,4.12,4.13,13021
2022-02-17 15:42:00,4.11,4.13,4.11,4.13,27782
2022-02-17 15:41:00,4.12,4.125,4.115,4.115,20509
2022-02-17 15:40:00,4.1206,4.13,4.12,4.12,7316
2022-02-17 15:39:00,4.115,4.1262,4.115,4.1262,8602
2022-02-17 15:38:00,4.115,4.12,4.1111,4.115,2552
2022-02-17 15:37:00,4.11,4.115,4.1,4.115,20974
2022-02-17 15:36:00,4.105,4.115,4.1017,4.115,9041
2022-02-17 15:35:00,4.105,4.11,4.105,4.105,2421
2022-02-17 15:34:00,4.1199,4.12,4.105,4.105,19064
2022-02-17 15:33:00,4.12,4.12,4.115,4.1184,6168
2022-02-17 15:32:00,4.1184,4.12,4.11,4.115,4521
2022-02-17 15:31:00,4.105,4.12,4.105,4.12,8461
2022-02-17 15:30:00,4.1094,4.1094,4.1,4.1085,9183
2022-02-17 15:29:00,4.105,4.11,4.1,4.105,3205
2022-02-17 15:28:00,4.105,4.1092,4.105,4.105,4561
2022-02-17 15:27:00,4.1,4.1087,4.1,4.1012,5216
2022-02-17 15:26:00,4.105,4.1096,4.095,4.095,13907
2022-02-17 15:24:00,4.105,4.105,4.095,4.1,38307
2022-02-17 15:23:00,4.105,4.105,4.105,4.105,571
2022-02-17 15:22:00,4.1186,4.12,4.1,4.105,14274
2022-02-17 15:21:00,4.11,4.115,4.1001,4.115,4679
2022-02-17 15:20:00,4.105,4.11,4.1,4.105,11241
2022-02-17 15:19:00,4.11,4.11,4.105,4.105,2788
2022-02-17 15:18:00,4.1,4.105,4.095,4.105,10101
2022-02-17 15:17:00,4.09,4.1,4.09,4.095,1816
2022-02-17 15:16:00,4.095,4.095,4.095,4.095,1254
2022-02-17 15:15:00,4.105,4.105,4.095,4.099,12944
2022-02-17 15:14:00,4.11,4.11,4.1,4.11,2211
2022-02-17 15:13:00,4.095,4.11,4.095,4.105,45208
2022-02-17 15:12:00,4.09,4.1,4.09,4.095,12876
2022-02-17 15:11:00,4.0886,4.09,4.08,4.085,7001
2022-02-17 15:10:00,4.0883,4.09,4.085,4.0891,1793
2022-02-17 15:09:00,4.085,4.09,4.085,4.085,1440
2022-02-17 15:08:00,4.085,4.09,4.08,4.085,3822
2022-02-17 15:07:00,4.085,4.09,4.085,4.085,3974
2022-02-17 15:06:00,4.085,4.085,4.085,4.085,1328
2022-02-17 15:05:00,4.085,4.09,4.08,4.085,10380
2022-02-17 15:04:00,4.095,4.095,4.085,4.09,15162
2022-02-17 15:03:00,4.095,4.095,4.095,4.095,630
2022-02-17 15:02:00,4.105,4.105,4.092,4.095,9674
2022-02-17 15:01:00,4.105,4.105,4.1,4.105,10954
2022-02-17 15:00:00,4.1,4.105,4.1,4.105,5759
2022-02-17 14:59:00,4.095,4.095,4.095,4.095,2357
2022-02-17 14:58:00,4.095,4.095,4.095,4.095,3203
2022-02-17 14:57:00,4.1,4.105,4.09,4.095,18824
2022-02-17 14:56:00,4.105,4.105,4.1,4.1,10671
2022-02-17 14:55:00,4.1001,4.105,4.1001,4.105,459
2022-02-17 14:54:00,4.105,4.11,4.1016,4.11,4215
2022-02-17 14:53:00,4.12,4.12,4.11,4.115,13377
2022-02-17 14:52:00,4.11,4.12,4.11,4.115,14777
2022-02-17 14:51:00,4.1,4.11,4.09,4.11,31796
2022-02-17 14:50:00,4.1,4.105,4.1,4.105,9419
2022-02-17 14:49:00,4.095,4.1,4.093,4.093,2871
2022-02-17 14:48:00,4.095,4.1,4.095,4.095,409
2022-02-17 14:47:00,4.095,4.1,4.095,4.095,1447
2022-02-17 14:46:00,4.1,4.1,4.095,4.095,4702
2022-02-17 14:45:00,4.095,4.1,4.09,4.095,3678
2022-02-17 14:44:00,4.09,4.1,4.09,4.095,5135
2022-02-17 14:43:00,4.09,4.09,4.08,4.0899,6027
2022-02-17 14:42:00,4.0801,4.0874,4.08,4.085,5039
2022-02-17 14:41:00,4.08,4.088,4.08,4.08,3027
2022-02-17 14:40:00,4.095,4.095,4.08,4.08,8296
2022-02-17 14:39:00,4.09,4.095,4.09,4.095,1736
2022-02-17 14:38:00,4.09,4.0983,4.09,4.0983,2846
2022-02-17 14:37:00,4.08,4.085,4.08,4.08,520
2022-02-17 14:36:00,4.09,4.09,4.08,4.0883,4572
2022-02-17 14:35:00,4.085,4.09,4.085,4.085,1451
2022-02-17 14:34:00,4.09,4.09,4.085,4.0885,1464
2022-02-17 14:33:00,4.085,4.09,4.08,4.085,3689
2022-02-17 14:32:00,4.09,4.09,4.085,4.085,1831
2022-02-17 14:31:00,4.08,4.085,4.075,4.085,6520
2022-02-17 14:30:00,4.075,4.08,4.07,4.08,1218
2022-02-17 14:29:00,4.07,4.08,4.07,4.07,915
2022-02-17 14:28:00,4.075,4.075,4.0701,4.0701,1088
2022-02-17 14:27:00,4.07,4.075,4.07,4.075,375
2022-02-17 14:26:00,4.0783,4.0788,4.07,4.0788,2796
2022-02-17 14:25:00,4.08,4.08,4.07,4.07,2900
2022-02-17 14:24:00,4.0888,4.09,4.075,4.08,4657
2022-02-17 14:23:00,4.0966,4.0966,4.08,4.08,1910
2022-02-17 14:22:00,4.09,4.1,4.09,4.095,7248
2022-02-17 14:21:00,4.095,4.0985,4.095,4.0985,1304
2022-02-17 14:20:00,4.09,4.095,4.09,4.095,2871
2022-02-17 14:19:00,4.0986,4.0986,4.0986,4.0986,1416
2022-02-17 14:18:00,4.0999,4.0999,4.09,4.09,1722
2022-02-17 14:17:00,4.085,4.095,4.085,4.095,4801
2022-02-17 14:16:00,4.0912,4.0985,4.08,4.085,11935
2022-02-17 14:15:00,4.09,4.0904,4.085,4.0904,5228
2022-02-17 14:14:00,4.08,4.09,4.08,4.085,6233
2022-02-17 14:13:00,4.11,4.115,4.04,4.075,306168
2022-02-17 14:12:00,4.115,4.115,4.115,4.115,381
2022-02-17 14:11:00,4.11,4.115,4.11,4.115,1097
2022-02-17 14:10:00,4.11,4.115,4.11,4.11,448
2022-02-17 14:09:00,4.12,4.12,4.115,4.115,4040
2022-02-17 14:08:00,4.12,4.125,4.115,4.125,3573
2022-02-17 14:07:00,4.113,4.113,4.111,4.111,1686
2022-02-17 14:06:00,4.12,4.125,4.115,4.115,8056
2022-02-17 14:05:00,4.12,4.125,4.12,4.125,1376
2022-02-17 14:04:00,4.125,4.1283,4.125,4.1283,837
2022-02-17 14:02:00,4.13,4.13,4.12,4.12,3273
2022-02-17 14:01:00,4.135,4.135,4.13,4.135,1732
2022-02-17 14:00:00,4.135,4.14,4.135,4.135,1350
2022-02-17 13:59:00,4.135,4.14,4.135,4.139,2388
2022-02-17 13:58:00,4.135,4.1384,4.13,4.1384,1568
2022-02-17 13:57:00,4.135,4.1359,4.13,4.135,3051
2022-02-17 13:56:00,4.135,4.14,4.13,4.135,4533
2022-02-17 13:55:00,4.135,4.145,4.135,4.1386,5568
2022-02-17 13:54:00,4.135,4.135,4.135,4.135,225
2022-02-17 13:53:00,4.135,4.14,4.135,4.14,2420
2022-02-17 13:52:00,4.125,4.14,4.125,4.14,5542
2022-02-17 13:51:00,4.13,4.13,4.125,4.125,344
2022-02-17 13:50:00,4.125,4.125,4.1234,4.1234,930
2022-02-17 13:49:00,4.13,4.13,4.1201,4.125,1900
2022-02-17 13:48:00,4.125,4.13,4.12,4.13,2993
2022-02-17 13:47:00,4.125,4.125,4.125,4.125,212
2022-02-17 13:46:00,4.135,4.135,4.1246,4.1246,1933
2022-02-17 13:45:00,4.135,4.14,4.135,4.14,1226
2022-02-17 13:44:00,4.125,4.135,4.1204,4.135,14078
2022-02-17 13:43:00,4.1299,4.1299,4.1232,4.125,2814
2022-02-17 13:42:00,4.13,4.13,4.125,4.125,511
2022-02-17 13:41:00,4.125,4.13,4.125,4.125,5878
2022-02-17 13:40:00,4.13,4.135,4.13,4.13,3680
2022-02-17 13:39:00,4.13,4.135,4.13,4.135,1978
2022-02-17 13:38:00,4.13,4.135,4.13,4.135,1100
2022-02-17 13:37:00,4.145,4.145,4.1338,4.135,2944
2022-02-17 13:36:00,4.1499,4.1499,4.145,4.145,1003
2022-02-17 13:35:00,4.145,4.145,4.145,4.145,214
2022-02-17 13:34:00,4.138,4.145,4.135,4.14,2451
2022-02-17 13:33:00,4.135,4.1499,4.13,4.14,14144
2022-02-17 13:32:00,4.135,4.14,4.125,4.13,8500
2022-02-17 13:31:00,4.1382,4.14,4.13,4.132,1755
2022-02-17 13:30:00,4.13,4.14,4.125,4.135,7122
