time,open,high,low,close,volume
2022-04-19 16:21:00,1.1,1.1,1.1,1.1,1150
2022-04-19 16:07:00,1.1,1.1,1.1,1.1,100
2022-04-19 16:00:00,1.05,1.06,1.05,1.06,2950
2022-04-19 15:51:00,1.0408,1.0408,1.0408,1.0408,100
2022-04-19 15:50:00,1.045,1.045,1.045,1.045,100
2022-04-19 15:26:00,1.04,1.04,1.04,1.04,492
2022-04-19 15:15:00,1.03,1.03,1.03,1.03,100
2022-04-19 14:32:00,1.02,1.02,1.02,1.02,450
2022-04-19 14:25:00,1.01,1.01,1.01,1.01,150
2022-04-19 14:19:00,1.02,1.02,1.02,1.02,447
2022-04-19 14:18:00,1.02,1.02,1.02,1.02,500
2022-04-19 14:16:00,1.019,1.02,1.019,1.02,677
2022-04-19 14:11:00,1.0101,1.0101,1.0101,1.0101,684
2022-04-19 14:02:00,1.0101,1.02,1.0101,1.015,3217
2022-04-19 13:58:00,1.0151,1.0151,1.0151,1.0151,100
2022-04-19 13:21:00,1.0141,1.0141,1.0141,1.0141,100
2022-04-19 13:12:00,1.0199,1.0199,1.0199,1.0199,148
2022-04-19 13:11:00,1.0111,1.0111,1.0111,1.0111,600
2022-04-19 13:10:00,1.0199,1.0199,1.0197,1.0197,1200
2022-04-19 13:05:00,1.0167,1.0167,1.0167,1.0167,1000
2022-04-19 12:29:00,1.02,1.02,1.02,1.02,100
2022-04-19 12:27:00,1.0199,1.0199,1.0199,1.0199,1052
2022-04-19 12:26:00,1.01,1.02,1.01,1.02,1122
2022-04-19 12:17:00,1.0139,1.0139,1.0139,1.0139,115
2022-04-19 12:02:00,1.02,1.02,1.02,1.02,500
2022-04-19 11:59:00,1.0199,1.0199,1.0199,1.0199,125
2022-04-19 11:56:00,1.02,1.02,1.02,1.02,1055
2022-04-19 11:47:00,1.02,1.02,1.02,1.02,100
2022-04-19 11:43:00,1.015,1.02,1.015,1.02,1592
2022-04-19 11:39:00,1.015,1.02,1.015,1.02,2720
