time,open,high,low,close,volume
2022-03-18 17:43:00,1.35,1.35,1.35,1.35,260
2022-03-18 16:50:00,1.35,1.35,1.35,1.35,500
2022-03-18 16:49:00,1.35,1.35,1.35,1.35,596
2022-03-18 16:48:00,1.35,1.3501,1.35,1.35,1500
2022-03-18 16:47:00,1.36,1.3601,1.36,1.36,1200
2022-03-18 16:46:00,1.36,1.36,1.36,1.36,1100
2022-03-18 16:45:00,1.36,1.36,1.36,1.36,1000
2022-03-18 16:44:00,1.36,1.36,1.36,1.36,10100
2022-03-18 16:42:00,1.31,1.34,1.3099,1.3399,20777
2022-03-18 15:08:00,1.3,1.31,1.3,1.302,552
2022-03-18 14:18:00,1.31,1.31,1.3,1.31,300
2022-03-18 14:06:00,1.32,1.32,1.32,1.32,101
2022-03-18 13:53:00,1.32,1.32,1.32,1.32,539
2022-03-18 13:34:00,1.3,1.3,1.3,1.3,4002
2022-03-18 13:30:00,1.34,1.35,1.34,1.34,361
2022-03-18 13:29:00,1.3,1.35,1.3,1.34,8031
2022-03-18 13:28:00,1.28,1.3,1.28,1.3,2100
2022-03-18 13:09:00,1.25,1.25,1.25,1.25,100
2022-03-18 13:04:00,1.25,1.25,1.25,1.25,444
2022-03-18 12:46:00,1.2501,1.2501,1.2501,1.2501,100
2022-03-18 12:45:00,1.2549,1.2549,1.2549,1.2549,100
2022-03-18 12:40:00,1.28,1.28,1.28,1.28,750
2022-03-18 12:37:00,1.26,1.26,1.26,1.26,301
2022-03-18 12:23:00,1.28,1.28,1.26,1.28,454
2022-03-18 12:07:00,1.27,1.27,1.27,1.27,100
2022-03-18 12:01:00,1.27,1.27,1.27,1.27,2900
2022-03-18 11:59:00,1.26,1.27,1.26,1.27,1100
2022-03-18 11:52:00,1.3,1.3,1.3,1.3,500
2022-03-18 11:47:00,1.2931,1.2931,1.2931,1.2931,220
2022-03-18 11:28:00,1.26,1.26,1.26,1.26,136
2022-03-18 11:26:00,1.3,1.3,1.3,1.3,100
2022-03-18 11:21:00,1.24,1.31,1.24,1.31,30260
2022-03-18 11:20:00,1.21,1.2499,1.2099,1.2499,8009
2022-03-18 10:59:00,1.19,1.19,1.19,1.19,466
2022-03-18 10:54:00,1.19,1.19,1.19,1.19,300
2022-03-18 10:48:00,1.21,1.21,1.21,1.21,298
2022-03-18 10:46:00,1.21,1.21,1.21,1.21,1081
2022-03-18 10:32:00,1.2182,1.2182,1.2182,1.2182,100
2022-03-18 10:26:00,1.22,1.22,1.2152,1.2152,448
2022-03-18 10:22:00,1.2,1.22,1.2,1.22,200
2022-03-18 10:10:00,1.175,1.175,1.175,1.175,1020
2022-03-18 09:59:00,1.13,1.13,1.13,1.13,3599
2022-03-18 09:58:00,1.15,1.15,1.15,1.15,101
2022-03-18 09:57:00,1.18,1.1803,1.18,1.18,1495
2022-03-18 09:54:00,1.1822,1.1822,1.1822,1.1822,9400
2022-03-18 09:53:00,1.19,1.21,1.19,1.2,1238
2022-03-18 09:52:00,1.12,1.12,1.1,1.11,7331
2022-03-18 09:51:00,1.15,1.18,1.12,1.13,3568
2022-03-18 09:50:00,1.12,1.15,1.12,1.15,2599
2022-03-18 09:49:00,1.12,1.12,1.12,1.12,8045
2022-03-18 09:48:00,1.14,1.14,1.13,1.13,5388
2022-03-18 09:47:00,1.14,1.24,1.14,1.24,434
2022-03-18 09:46:00,1.23,1.23,1.14,1.14,3710
2022-03-18 09:43:00,1.25,1.25,1.25,1.25,110
2022-03-18 09:41:00,1.22,1.22,1.22,1.22,1114
2022-03-18 09:37:00,1.2239,1.2239,1.2239,1.2239,168
