time,open,high,low,close,volume
2022-03-18 19:21:00,2.49,2.49,2.49,2.49,825
2022-03-18 19:20:00,2.48,2.48,2.48,2.48,175
2022-03-18 16:55:00,2.44,2.44,2.44,2.44,1244
2022-03-18 16:51:00,2.41,2.41,2.41,2.41,150
2022-03-18 16:48:00,2.49,2.49,2.49,2.49,250
2022-03-18 16:03:00,2.41,2.41,2.41,2.41,776
2022-03-18 16:00:00,2.45,2.47,2.45,2.47,19057
2022-03-18 15:57:00,2.4202,2.4202,2.4202,2.4202,408
2022-03-18 15:56:00,2.49,2.5,2.42,2.42,5620
2022-03-18 15:55:00,2.3902,2.49,2.3902,2.49,7422
2022-03-18 15:54:00,2.44,2.44,2.4,2.44,1887
2022-03-18 15:53:00,2.4093,2.4093,2.4093,2.4093,100
2022-03-18 15:52:00,2.4041,2.43,2.4041,2.43,405
2022-03-18 15:51:00,2.41,2.44,2.39,2.44,2495
2022-03-18 15:50:00,2.39,2.39,2.39,2.39,137
2022-03-18 15:47:00,2.39,2.39,2.39,2.39,200
2022-03-18 15:46:00,2.37,2.37,2.37,2.37,786
2022-03-18 15:42:00,2.39,2.39,2.39,2.39,144
2022-03-18 15:39:00,2.4224,2.4224,2.3834,2.3834,700
2022-03-18 15:38:00,2.4236,2.4236,2.4217,2.4217,377
2022-03-18 15:37:00,2.38,2.38,2.38,2.38,100
2022-03-18 15:36:00,2.42,2.43,2.42,2.42,1961
2022-03-18 15:35:00,2.43,2.43,2.42,2.4283,400
2022-03-18 15:34:00,2.43,2.43,2.43,2.43,415
2022-03-18 15:33:00,2.43,2.43,2.43,2.43,527
2022-03-18 15:28:00,2.42,2.44,2.42,2.44,491
2022-03-18 15:26:00,2.44,2.44,2.405,2.4183,1484
2022-03-18 15:25:00,2.4199,2.44,2.414,2.44,3768
2022-03-18 15:22:00,2.4,2.4,2.4,2.4,5804
2022-03-18 15:03:00,2.3864,2.3864,2.3864,2.3864,100
2022-03-18 15:02:00,2.39,2.39,2.39,2.39,535
2022-03-18 15:00:00,2.3727,2.3727,2.3727,2.3727,397
2022-03-18 14:59:00,2.37,2.37,2.37,2.37,2015
2022-03-18 14:57:00,2.3865,2.3865,2.38,2.38,501
2022-03-18 14:56:00,2.37,2.37,2.37,2.37,200
2022-03-18 14:55:00,2.37,2.37,2.37,2.37,106
2022-03-18 14:51:00,2.372,2.372,2.372,2.372,430
2022-03-18 14:44:00,2.388,2.388,2.388,2.388,468
2022-03-18 14:28:00,2.37,2.37,2.37,2.37,215
2022-03-18 14:22:00,2.3872,2.3872,2.3872,2.3872,130
2022-03-18 14:07:00,2.38,2.38,2.38,2.38,101
2022-03-18 13:58:00,2.375,2.3908,2.375,2.375,1896
2022-03-18 13:57:00,2.39,2.39,2.39,2.39,150
2022-03-18 13:53:00,2.38,2.38,2.38,2.38,1302
