time,open,high,low,close,volume
2022-02-17 18:39:00,5.05,5.05,5.05,5.05,100
2022-02-17 18:38:00,5.05,5.05,5.05,5.05,100
2022-02-17 16:03:00,5.0,5.0,5.0,5.0,125
2022-02-17 16:02:00,5.0,5.0,5.0,5.0,6500
2022-02-17 16:01:00,5.0,5.0,5.0,5.0,4226
2022-02-17 16:00:00,5.0,5.0,4.99,5.0,14574
2022-02-17 15:59:00,4.995,5.0,4.99,4.999,6050
2022-02-17 15:58:00,4.995,5.0,4.99,5.0,7019
2022-02-17 15:57:00,5.0,5.0,4.99,4.9912,27686
2022-02-17 15:56:00,5.0,5.0,4.995,5.0,14313
2022-02-17 15:55:00,4.995,5.0,4.9901,5.0,5423
2022-02-17 15:54:00,4.99,4.995,4.99,4.995,2211
2022-02-17 15:53:00,5.0,5.0,5.0,5.0,377
2022-02-17 15:52:00,4.99,5.0,4.99,4.995,2055
2022-02-17 15:51:00,4.995,5.0,4.98,4.995,7386
2022-02-17 15:50:00,4.995,5.0,4.99,4.9901,3695
2022-02-17 15:49:00,5.0,5.0,4.99,4.9979,1536
2022-02-17 15:48:00,4.99,5.0,4.985,5.0,10986
2022-02-17 15:47:00,4.995,4.995,4.9899,4.9899,3809
2022-02-17 15:46:00,5.0,5.0,4.9912,4.9912,3290
2022-02-17 15:45:00,4.9999,5.0,4.9999,5.0,2072
2022-02-17 15:44:00,5.0,5.0,4.9912,4.995,6343
2022-02-17 15:43:00,5.0,5.0,5.0,5.0,313
2022-02-17 15:42:00,5.01,5.01,4.995,5.0,30624
2022-02-17 15:41:00,5.01,5.01,5.01,5.01,228
2022-02-17 15:39:00,5.0,5.005,4.995,5.0,7331
2022-02-17 15:38:00,4.99,4.998,4.99,4.998,2195
2022-02-17 15:36:00,4.985,4.99,4.9812,4.99,1833
2022-02-17 15:34:00,4.9891,4.99,4.98,4.985,2043
2022-02-17 15:33:00,4.995,5.0,4.99,4.99,9479
2022-02-17 15:32:00,4.9992,5.0,4.99,5.0,5855
2022-02-17 15:31:00,5.0,5.0,4.995,5.0,15091
2022-02-17 15:30:00,5.0,5.01,4.995,4.9993,17390
2022-02-17 15:29:00,5.0,5.01,5.0,5.0,5708
2022-02-17 15:28:00,5.0,5.01,5.0,5.0,3198
2022-02-17 15:27:00,5.0,5.005,4.995,5.005,9417
2022-02-17 15:26:00,5.005,5.0099,5.0,5.005,28304
2022-02-17 15:25:00,5.005,5.0089,5.0,5.005,5211
2022-02-17 15:24:00,5.01,5.01,5.005,5.005,700
2022-02-17 15:23:00,5.0076,5.01,5.0076,5.01,531
2022-02-17 15:22:00,5.0,5.01,4.99,5.01,13002
2022-02-17 15:21:00,5.0,5.0,4.99,5.0,2661
2022-02-17 15:20:00,5.0,5.0,4.995,5.0,7706
2022-02-17 15:19:00,4.9901,4.9901,4.9901,4.9901,105
2022-02-17 15:18:00,4.99,4.995,4.99,4.995,1228
2022-02-17 15:16:00,4.985,4.985,4.985,4.985,1102
2022-02-17 15:15:00,4.98,4.985,4.9798,4.98,2163
2022-02-17 15:14:00,4.99,4.99,4.98,4.98,5439
2022-02-17 15:13:00,5.0,5.0,4.9901,4.9901,500
2022-02-17 15:12:00,4.99,4.9954,4.98,4.99,3759
2022-02-17 15:11:00,4.99,4.99,4.983,4.99,1345
2022-02-17 15:09:00,4.99,4.991,4.98,4.99,1233
2022-02-17 15:08:00,4.99,4.99,4.99,4.99,1498
2022-02-17 15:07:00,4.99,5.0,4.98,4.99,3423
2022-02-17 15:06:00,4.99,4.99,4.985,4.99,3371
2022-02-17 15:05:00,4.99,4.9985,4.99,4.9985,6824
2022-02-17 15:04:00,5.0,5.0,4.995,4.995,2075
2022-02-17 15:03:00,5.0,5.01,5.0,5.0,12225
2022-02-17 15:02:00,5.0,5.0,4.9957,4.9957,884
2022-02-17 15:01:00,5.0,5.0,4.9989,4.9989,1889
2022-02-17 15:00:00,5.0,5.0,5.0,5.0,2942
2022-02-17 14:59:00,5.0,5.0,4.991,4.995,1687
2022-02-17 14:58:00,5.005,5.01,5.0,5.005,3584
2022-02-17 14:57:00,5.01,5.01,5.01,5.01,874
2022-02-17 14:56:00,5.01,5.01,5.0,5.01,10394
2022-02-17 14:54:00,5.0,5.005,4.995,5.005,5751
2022-02-17 14:53:00,5.0,5.0,4.9974,4.9974,3587
2022-02-17 14:52:00,5.0,5.0,4.995,5.0,13756
2022-02-17 14:51:00,5.02,5.02,4.995,5.009,11982
2022-02-17 14:50:00,5.01,5.02,5.01,5.02,5465
2022-02-17 14:49:00,5.01,5.02,5.01,5.02,3310
2022-02-17 14:48:00,5.01,5.03,5.01,5.01,4400
2022-02-17 14:47:00,5.02,5.02,5.015,5.02,1119
2022-02-17 14:46:00,5.01,5.0176,5.0,5.0176,2836
2022-02-17 14:45:00,5.02,5.02,5.01,5.01,6653
2022-02-17 14:44:00,5.02,5.02,5.01,5.01,9606
2022-02-17 14:43:00,5.02,5.02,5.01,5.02,1071
2022-02-17 14:42:00,5.02,5.02,5.015,5.015,3216
2022-02-17 14:41:00,5.015,5.02,5.01,5.01,8819
2022-02-17 14:40:00,5.02,5.025,5.01,5.01,3524
2022-02-17 14:39:00,5.02,5.02,5.02,5.02,6874
2022-02-17 14:38:00,5.0286,5.03,5.02,5.02,2869
2022-02-17 14:37:00,5.02,5.03,5.01,5.02,18070
2022-02-17 14:36:00,5.06,5.06,5.02,5.02,18529
2022-02-17 14:35:00,5.07,5.0779,5.06,5.06,3998
2022-02-17 14:34:00,5.06,5.0736,5.06,5.0736,650
2022-02-17 14:33:00,5.07,5.07,5.07,5.07,852
2022-02-17 14:32:00,5.075,5.075,5.07,5.07,455
2022-02-17 14:31:00,5.07,5.075,5.07,5.07,3323
2022-02-17 14:30:00,5.0599,5.06,5.0599,5.06,4800
2022-02-17 14:29:00,5.05,5.06,5.05,5.055,2429
2022-02-17 14:28:00,4.995,5.06,4.995,5.055,26134
2022-02-17 14:27:00,4.99,4.99,4.99,4.99,162
2022-02-17 14:26:00,4.99,4.99,4.99,4.99,631
2022-02-17 14:25:00,5.0,5.0,4.98,4.99,22944
2022-02-17 14:24:00,5.02,5.02,5.0,5.0,19669
2022-02-17 14:23:00,5.025,5.03,5.01,5.015,10699
2022-02-17 14:22:00,5.04,5.04,5.03,5.03,11315
2022-02-17 14:21:00,5.03,5.0302,5.02,5.0302,6449
2022-02-17 14:20:00,5.04,5.05,5.03,5.03,10118
2022-02-17 14:19:00,5.045,5.05,5.04,5.045,2307
2022-02-17 14:18:00,5.04,5.05,5.04,5.04,4948
2022-02-17 14:17:00,5.0499,5.05,5.03,5.03,9802
2022-02-17 14:16:00,5.04,5.0499,5.04,5.04,3055
2022-02-17 14:15:00,5.05,5.05,5.04,5.04,1691
2022-02-17 14:14:00,5.03,5.05,5.03,5.05,1203
2022-02-17 14:13:00,5.04,5.0473,5.03,5.0473,2213
2022-02-17 14:12:00,5.05,5.07,5.045,5.045,3671
2022-02-17 14:11:00,5.05,5.05,5.05,5.05,15344
2022-02-17 14:10:00,5.07,5.07,5.06,5.06,1346
2022-02-17 14:09:00,5.07,5.075,5.07,5.075,1173
2022-02-17 14:08:00,5.065,5.07,5.065,5.065,2304
2022-02-17 14:07:00,5.06,5.065,5.06,5.065,3533
2022-02-17 14:06:00,5.075,5.075,5.0599,5.0599,7367
2022-02-17 14:05:00,5.07,5.08,5.05,5.07,6161
2022-02-17 14:04:00,5.07,5.08,5.07,5.07,2779
2022-02-17 14:03:00,5.08,5.085,5.08,5.08,5003
2022-02-17 14:02:00,5.0807,5.085,5.08,5.08,15740
2022-02-17 14:01:00,5.1,5.1,5.08,5.1,5649
2022-02-17 14:00:00,5.1,5.1,5.1,5.1,1249
2022-02-17 13:59:00,5.1,5.1,5.1,5.1,7459
2022-02-17 13:58:00,5.095,5.1,5.095,5.1,652
2022-02-17 13:57:00,5.09,5.1,5.09,5.1,2063
2022-02-17 13:56:00,5.11,5.11,5.08,5.1,9174
2022-02-17 13:55:00,5.12,5.12,5.11,5.11,11272
2022-02-17 13:54:00,5.12,5.12,5.11,5.1199,2084
2022-02-17 13:53:00,5.12,5.12,5.115,5.115,1864
2022-02-17 13:52:00,5.11,5.12,5.11,5.12,5687
2022-02-17 13:51:00,5.1,5.1127,5.1,5.11,5537
2022-02-17 13:50:00,5.13,5.13,5.13,5.13,122
2022-02-17 13:49:00,5.115,5.115,5.1,5.1,5251
2022-02-17 13:48:00,5.12,5.12,5.11,5.12,6670
2022-02-17 13:47:00,5.11,5.12,5.106,5.11,15410
2022-02-17 13:46:00,5.12,5.12,5.12,5.12,285
2022-02-17 13:45:00,5.14,5.15,5.12,5.12,4433
2022-02-17 13:44:00,5.13,5.14,5.13,5.135,2809
2022-02-17 13:43:00,5.13,5.13,5.1299,5.13,975
2022-02-17 13:42:00,5.1299,5.13,5.115,5.13,1125
2022-02-17 13:41:00,5.1,5.12,5.1,5.12,7552
2022-02-17 13:40:00,5.11,5.11,5.09,5.1,8713
2022-02-17 13:39:00,5.15,5.15,5.1,5.1,4331
2022-02-17 13:38:00,5.169,5.169,5.15,5.15,3669
2022-02-17 13:37:00,5.16,5.165,5.16,5.16,410
