time,open,high,low,close,volume
2022-04-19 18:13:00,2.5,2.5,2.5,2.5,300
2022-04-19 16:00:00,2.53,2.59,2.53,2.58,3672
2022-04-19 15:59:00,2.535,2.56,2.53,2.55,1979
2022-04-19 15:58:00,2.54,2.54,2.54,2.54,140
2022-04-19 15:56:00,2.53,2.53,2.53,2.53,8486
2022-04-19 15:52:00,2.55,2.55,2.55,2.55,1904
2022-04-19 15:44:00,2.54,2.54,2.54,2.54,104
2022-04-19 15:43:00,2.5301,2.5301,2.5301,2.5301,201
2022-04-19 15:34:00,2.575,2.58,2.55,2.55,6579
2022-04-19 15:32:00,2.56,2.56,2.56,2.56,100
2022-04-19 15:31:00,2.55,2.58,2.55,2.58,3095
2022-04-19 15:29:00,2.55,2.56,2.545,2.545,1110
2022-04-19 15:26:00,2.54,2.54,2.54,2.54,1610
2022-04-19 15:25:00,2.56,2.57,2.55,2.55,9531
2022-04-19 15:21:00,2.56,2.56,2.56,2.56,100
2022-04-19 15:16:00,2.59,2.59,2.59,2.59,132
2022-04-19 15:07:00,2.56,2.56,2.56,2.56,500
2022-04-19 15:05:00,2.56,2.56,2.56,2.56,860
2022-04-19 15:04:00,2.57,2.59,2.5504,2.56,22408
2022-04-19 15:01:00,2.6,2.6,2.6,2.6,100
2022-04-19 15:00:00,2.6,2.6,2.6,2.6,155
2022-04-19 14:34:00,2.57,2.57,2.57,2.57,769
2022-04-19 14:30:00,2.5701,2.5701,2.5701,2.5701,1300
2022-04-19 14:28:00,2.58,2.58,2.58,2.58,200
2022-04-19 14:26:00,2.58,2.6,2.58,2.58,4844
2022-04-19 14:25:00,2.59,2.59,2.59,2.59,1753
2022-04-19 14:23:00,2.5992,2.5992,2.5992,2.5992,297
2022-04-19 14:22:00,2.6,2.6,2.6,2.6,201
2022-04-19 13:44:00,2.6001,2.6001,2.6001,2.6001,1000
2022-04-19 12:48:00,2.61,2.6199,2.61,2.6199,3500
2022-04-19 12:47:00,2.61,2.61,2.61,2.61,2000
2022-04-19 12:34:00,2.61,2.61,2.61,2.61,150
2022-04-19 11:21:00,2.59,2.59,2.59,2.59,389
2022-04-19 11:16:00,2.59,2.6021,2.59,2.6021,429
2022-04-19 10:44:00,2.63,2.64,2.63,2.6385,1500
2022-04-19 10:37:00,2.6,2.6,2.6,2.6,1402
2022-04-19 10:31:00,2.6,2.6,2.6,2.6,265
2022-04-19 10:26:00,2.59,2.59,2.59,2.59,195
2022-04-19 10:25:00,2.5896,2.5896,2.5896,2.5896,300
2022-04-19 10:10:00,2.6,2.6,2.6,2.6,600
2022-04-19 10:03:00,2.59,2.59,2.59,2.59,100
2022-04-19 10:02:00,2.6,2.6,2.6,2.6,300
2022-04-19 10:01:00,2.62,2.62,2.59,2.61,6500
2022-04-19 09:45:00,2.64,2.64,2.64,2.64,500
2022-04-19 09:41:00,2.64,2.64,2.64,2.64,150
2022-04-19 09:31:00,2.68,2.68,2.68,2.68,1084
2022-04-19 09:30:00,2.61,2.61,2.61,2.61,162
2022-04-18 16:00:00,2.615,2.615,2.615,2.615,159
2022-04-18 15:58:00,2.62,2.62,2.62,2.62,1400
2022-04-18 15:51:00,2.62,2.62,2.6184,2.6184,300
2022-04-18 15:43:00,2.63,2.63,2.61,2.621,490
2022-04-18 15:41:00,2.6,2.63,2.59,2.63,628
2022-04-18 15:25:00,2.58,2.58,2.58,2.58,837
2022-04-18 15:14:00,2.59,2.59,2.59,2.59,100
2022-04-18 15:12:00,2.59,2.59,2.59,2.59,200
2022-04-18 15:07:00,2.585,2.585,2.585,2.585,100
2022-04-18 15:05:00,2.585,2.585,2.585,2.585,100
2022-04-18 15:03:00,2.58,2.58,2.58,2.58,100
2022-04-18 14:59:00,2.58,2.59,2.5765,2.5765,2329
2022-04-18 14:56:00,2.61,2.61,2.59,2.6,2517
2022-04-18 14:55:00,2.6008,2.6008,2.6008,2.6008,1000
2022-04-18 14:44:00,2.6,2.6,2.6,2.6,400
2022-04-18 14:43:00,2.61,2.61,2.61,2.61,418
2022-04-18 14:42:00,2.619,2.619,2.619,2.619,100
2022-04-18 14:39:00,2.615,2.615,2.615,2.615,100
2022-04-18 14:30:00,2.6196,2.6196,2.6196,2.6196,500
2022-04-18 13:59:00,2.62,2.62,2.62,2.62,100
2022-04-18 13:32:00,2.6118,2.6118,2.6118,2.6118,200
2022-04-18 13:31:00,2.63,2.63,2.63,2.63,101
2022-04-18 13:29:00,2.6001,2.6001,2.6001,2.6001,3500
2022-04-18 13:21:00,2.62,2.62,2.62,2.62,100
2022-04-18 13:17:00,2.61,2.625,2.59,2.59,1680
2022-04-18 13:15:00,2.64,2.64,2.64,2.64,100
2022-04-18 13:10:00,2.64,2.64,2.64,2.64,511
2022-04-18 13:07:00,2.6514,2.6536,2.6514,2.6536,700
2022-04-18 13:06:00,2.6674,2.6674,2.6674,2.6674,700
2022-04-18 13:00:00,2.6635,2.6635,2.6635,2.6635,1000
2022-04-18 12:55:00,2.65,2.65,2.64,2.65,1945
2022-04-18 12:54:00,2.675,2.675,2.675,2.675,208
2022-04-18 12:33:00,2.68,2.68,2.68,2.68,740
2022-04-18 12:29:00,2.65,2.65,2.65,2.65,251
2022-04-18 12:17:00,2.71,2.71,2.71,2.71,977
2022-04-18 12:06:00,2.681,2.681,2.681,2.681,400
2022-04-18 12:01:00,2.68,2.71,2.68,2.71,958
2022-04-18 11:59:00,2.68,2.68,2.68,2.68,300
2022-04-18 11:58:00,2.68,2.68,2.68,2.68,205
2022-04-18 11:01:00,2.67,2.67,2.67,2.67,369
2022-04-18 10:48:00,2.67,2.67,2.67,2.67,107
2022-04-18 10:19:00,2.71,2.71,2.71,2.71,2000
2022-04-18 10:08:00,2.66,2.66,2.66,2.66,809
2022-04-18 10:00:00,2.67,2.67,2.66,2.66,830
2022-04-18 09:55:00,2.67,2.67,2.66,2.66,1026
2022-04-18 09:47:00,2.68,2.68,2.68,2.68,200
2022-04-18 09:39:00,2.72,2.72,2.72,2.72,1000
2022-04-18 09:31:00,2.77,2.77,2.69,2.69,1744
2022-04-18 09:24:00,2.71,2.71,2.71,2.71,301
2022-04-18 08:59:00,2.74,2.74,2.74,2.74,500
2022-04-18 08:07:00,2.72,2.74,2.72,2.74,710
2022-04-18 05:53:00,2.71,2.71,2.71,2.71,100
2022-04-14 15:56:00,2.69,2.69,2.69,2.69,296
2022-04-14 15:52:00,2.67,2.67,2.67,2.67,200
2022-04-14 15:33:00,2.678,2.678,2.678,2.678,235
2022-04-14 15:32:00,2.6998,2.6998,2.6998,2.6998,500
2022-04-14 15:19:00,2.671,2.6955,2.67,2.67,2600
2022-04-14 15:03:00,2.69,2.69,2.69,2.69,409
2022-04-14 15:00:00,2.69,2.69,2.69,2.69,3816
2022-04-14 14:55:00,2.7,2.709,2.7,2.709,1682
2022-04-14 14:54:00,2.7,2.7,2.7,2.7,150
2022-04-14 14:07:00,2.74,2.74,2.74,2.74,1600
2022-04-14 14:02:00,2.69,2.69,2.69,2.69,1500
2022-04-14 13:40:00,2.7,2.7,2.7,2.7,1000
2022-04-14 13:28:00,2.68,2.68,2.68,2.68,100
2022-04-14 13:07:00,2.686,2.686,2.686,2.686,300
2022-04-14 13:01:00,2.65,2.65,2.65,2.65,200
2022-04-14 12:34:00,2.6401,2.6401,2.6401,2.6401,200
2022-04-14 12:16:00,2.657,2.657,2.657,2.657,530
2022-04-14 12:14:00,2.63,2.63,2.63,2.63,200
2022-04-14 12:10:00,2.625,2.625,2.625,2.625,262
2022-04-14 12:09:00,2.62,2.625,2.62,2.625,300
2022-04-14 12:05:00,2.6685,2.6685,2.66,2.66,1350
2022-04-14 11:46:00,2.651,2.6739,2.64,2.6739,3100
2022-04-14 11:35:00,2.68,2.68,2.68,2.68,2400
2022-04-14 11:16:00,2.671,2.673,2.67,2.673,3612
2022-04-14 11:12:00,2.68,2.7012,2.67,2.6734,2750
2022-04-14 11:01:00,2.681,2.6825,2.68,2.6825,1909
2022-04-14 10:52:00,2.7,2.7,2.7,2.7,320
2022-04-14 10:21:00,2.74,2.74,2.74,2.74,102
2022-04-14 10:15:00,2.7319,2.7319,2.7319,2.7319,374
2022-04-14 10:07:00,2.69,2.6901,2.67,2.67,2950
2022-04-14 09:48:00,2.7446,2.7446,2.67,2.67,1624
2022-04-14 09:43:00,2.7,2.7,2.7,2.7,1050
2022-04-14 09:31:00,2.69,2.75,2.69,2.75,1259
2022-04-14 09:07:00,2.8299,2.83,2.8299,2.83,200
2022-04-13 17:20:00,2.7499,2.75,2.7499,2.75,800
2022-04-13 17:12:00,2.65,2.65,2.65,2.65,1250
2022-04-13 16:53:00,2.6,2.6,2.6,2.6,200
2022-04-13 16:00:00,2.73,2.73,2.7,2.7,1431
2022-04-13 15:55:00,2.72,2.72,2.72,2.72,240
2022-04-13 15:38:00,2.7469,2.7469,2.7469,2.7469,1100
2022-04-13 15:34:00,2.7412,2.7412,2.7412,2.7412,100
2022-04-13 15:32:00,2.71,2.71,2.71,2.71,250
2022-04-13 15:26:00,2.7161,2.7161,2.7161,2.7161,1000
2022-04-13 15:09:00,2.7,2.7,2.7,2.7,298
2022-04-13 15:00:00,2.705,2.705,2.705,2.705,100
2022-04-13 14:57:00,2.7392,2.7392,2.7392,2.7392,100
2022-04-13 14:55:00,2.68,2.68,2.68,2.68,1450
2022-04-13 14:54:00,2.7343,2.7343,2.7343,2.7343,400
2022-04-13 14:43:00,2.7499,2.7499,2.7499,2.7499,100
2022-04-13 14:28:00,2.6601,2.6601,2.6601,2.6601,500
2022-04-13 14:11:00,2.67,2.694,2.66,2.694,2600
2022-04-13 14:07:00,2.701,2.7207,2.7,2.7207,3069
2022-04-13 14:04:00,2.71,2.71,2.71,2.71,1000
2022-04-13 13:51:00,2.7446,2.7446,2.7446,2.7446,115
2022-04-13 13:27:00,2.7063,2.7063,2.7063,2.7063,214
2022-04-13 12:56:00,2.7061,2.7061,2.7061,2.7061,200
2022-04-13 12:36:00,2.7,2.7,2.7,2.7,680
2022-04-13 12:13:00,2.705,2.705,2.67,2.68,26553
2022-04-13 12:09:00,2.7013,2.7013,2.7013,2.7013,370
2022-04-13 11:48:00,2.73,2.73,2.71,2.71,10600
2022-04-13 11:21:00,2.75,2.75,2.72,2.72,1082
2022-04-13 11:18:00,2.71,2.71,2.71,2.71,301
2022-04-13 10:53:00,2.75,2.75,2.75,2.75,100
2022-04-13 10:51:00,2.75,2.75,2.75,2.75,700
2022-04-13 10:41:00,2.7409,2.7409,2.7409,2.7409,200
2022-04-13 10:38:00,2.71,2.71,2.71,2.71,151
2022-04-13 10:24:00,2.6601,2.6636,2.6601,2.6636,3120
2022-04-13 10:17:00,2.7,2.7,2.7,2.7,1045
2022-04-13 10:15:00,2.6571,2.6571,2.6571,2.6571,163
2022-04-13 10:10:00,2.69,2.69,2.69,2.69,370
2022-04-13 10:06:00,2.65,2.65,2.65,2.65,100
2022-04-13 10:05:00,2.66,2.66,2.66,2.66,360
2022-04-13 09:54:00,2.64,2.64,2.64,2.64,340
2022-04-13 09:52:00,2.66,2.66,2.66,2.66,101
2022-04-13 09:44:00,2.6772,2.6772,2.65,2.65,600
2022-04-13 09:43:00,2.645,2.685,2.645,2.685,657
2022-04-13 09:40:00,2.65,2.65,2.65,2.65,745
2022-04-13 09:39:00,2.65,2.65,2.65,2.65,445
2022-04-13 09:38:00,2.66,2.66,2.66,2.66,300
2022-04-13 09:37:00,2.66,2.66,2.66,2.66,100
2022-04-13 09:35:00,2.69,2.69,2.65,2.65,421
2022-04-13 09:25:00,2.61,2.61,2.61,2.61,100
2022-04-12 16:00:00,2.71,2.72,2.71,2.72,524
2022-04-12 15:59:00,2.7,2.7,2.7,2.7,235
2022-04-12 15:58:00,2.7,2.7062,2.7,2.7062,4020
2022-04-12 15:57:00,2.72,2.72,2.69,2.6948,7100
2022-04-12 15:56:00,2.75,2.75,2.73,2.73,200
2022-04-12 15:55:00,2.75,2.75,2.75,2.75,100
2022-04-12 15:51:00,2.73,2.73,2.73,2.73,500
2022-04-12 15:48:00,2.73,2.73,2.73,2.73,100
2022-04-12 15:46:00,2.7216,2.7216,2.7216,2.7216,250
2022-04-12 15:44:00,2.72,2.72,2.71,2.71,200
2022-04-12 15:39:00,2.67,2.67,2.67,2.67,200
2022-04-12 15:35:00,2.67,2.67,2.67,2.67,100
2022-04-12 15:31:00,2.67,2.67,2.67,2.67,100
2022-04-12 15:29:00,2.67,2.67,2.67,2.67,300
2022-04-12 15:24:00,2.66,2.66,2.66,2.66,100
2022-04-12 15:20:00,2.66,2.66,2.6528,2.6528,3000
2022-04-12 15:19:00,2.695,2.695,2.695,2.695,2000
2022-04-12 15:10:00,2.67,2.67,2.67,2.67,100
2022-04-12 15:08:00,2.67,2.67,2.67,2.67,200
2022-04-12 15:01:00,2.67,2.68,2.67,2.68,200
2022-04-12 15:00:00,2.665,2.665,2.665,2.665,100
2022-04-12 14:59:00,2.67,2.67,2.67,2.67,100
2022-04-12 14:52:00,2.67,2.67,2.67,2.67,230
2022-04-12 14:30:00,2.65,2.65,2.65,2.65,100
2022-04-12 14:29:00,2.6425,2.6425,2.6425,2.6425,1400
2022-04-12 14:17:00,2.6899,2.6899,2.6899,2.6899,100
2022-04-12 14:15:00,2.65,2.65,2.65,2.65,100
2022-04-12 13:56:00,2.71,2.72,2.71,2.72,994
2022-04-12 13:55:00,2.7142,2.7142,2.7142,2.7142,500
2022-04-12 13:54:00,2.7139,2.7139,2.7139,2.7139,500
2022-04-12 13:53:00,2.7238,2.7238,2.7238,2.7238,116
2022-04-12 13:52:00,2.73,2.73,2.73,2.73,100
2022-04-12 13:48:00,2.73,2.73,2.73,2.73,100
2022-04-12 13:44:00,2.71,2.71,2.71,2.71,100
2022-04-12 13:37:00,2.74,2.74,2.74,2.74,222
2022-04-12 13:30:00,2.75,2.75,2.75,2.75,100
2022-04-12 13:29:00,2.74,2.74,2.74,2.74,1022
2022-04-12 13:28:00,2.71,2.71,2.71,2.71,200
2022-04-12 12:59:00,2.65,2.65,2.65,2.65,114
2022-04-12 12:30:00,2.64,2.64,2.64,2.64,100
2022-04-12 12:25:00,2.7,2.7,2.7,2.7,369
2022-04-12 12:15:00,2.69,2.69,2.69,2.69,500
2022-04-12 12:14:00,2.73,2.73,2.73,2.73,245
2022-04-12 12:12:00,2.7226,2.7226,2.7226,2.7226,150
2022-04-12 12:07:00,2.71,2.71,2.71,2.71,139
2022-04-12 12:06:00,2.71,2.71,2.69,2.69,484
2022-04-12 11:45:00,2.7241,2.7241,2.7241,2.7241,310
2022-04-12 11:33:00,2.65,2.685,2.65,2.685,13735
2022-04-12 11:31:00,2.65,2.65,2.64,2.64,300
2022-04-12 11:29:00,2.623,2.623,2.623,2.623,497
2022-04-12 11:28:00,2.62,2.62,2.62,2.62,331
2022-04-12 11:25:00,2.6,2.6,2.6,2.6,155
2022-04-12 11:22:00,2.62,2.62,2.62,2.62,100
2022-04-12 11:03:00,2.61,2.61,2.61,2.61,384
2022-04-12 11:02:00,2.6114,2.6114,2.6114,2.6114,100
2022-04-12 10:59:00,2.61,2.61,2.61,2.61,2275
2022-04-12 10:51:00,2.615,2.615,2.61,2.61,580
2022-04-12 10:50:00,2.62,2.62,2.62,2.62,100
2022-04-12 10:48:00,2.62,2.62,2.62,2.62,213
2022-04-12 10:45:00,2.611,2.611,2.611,2.611,199
2022-04-12 10:35:00,2.6183,2.6183,2.6183,2.6183,111
2022-04-12 10:32:00,2.62,2.62,2.6181,2.6181,746
2022-04-12 10:31:00,2.63,2.64,2.63,2.63,2003
2022-04-12 10:30:00,2.63,2.63,2.63,2.63,425
2022-04-12 10:29:00,2.6488,2.6488,2.6488,2.6488,2000
2022-04-12 10:24:00,2.64,2.64,2.63,2.63,1064
2022-04-12 10:21:00,2.64,2.64,2.63,2.63,670
2022-04-12 10:05:00,2.65,2.65,2.65,2.65,528
2022-04-12 10:04:00,2.64,2.64,2.64,2.64,102
2022-04-12 10:03:00,2.65,2.65,2.64,2.64,300
2022-04-12 09:50:00,2.65,2.65,2.65,2.65,202
2022-04-12 09:49:00,2.63,2.63,2.63,2.63,195
2022-04-12 09:43:00,2.63,2.63,2.62,2.62,3010
2022-04-12 09:41:00,2.63,2.64,2.63,2.64,574
2022-04-12 09:40:00,2.64,2.64,2.64,2.64,115
2022-04-12 09:38:00,2.6305,2.6305,2.6305,2.6305,305
2022-04-12 09:35:00,2.6304,2.6304,2.6304,2.6304,100
2022-04-12 09:33:00,2.6304,2.6304,2.63,2.63,200
2022-04-12 09:31:00,2.68,2.68,2.68,2.68,273
2022-04-12 09:30:00,2.63,2.63,2.63,2.63,100
2022-04-12 09:14:00,2.65,2.65,2.63,2.63,1183
2022-04-12 07:28:00,2.61,2.62,2.61,2.62,220
2022-04-11 16:00:00,2.65,2.65,2.65,2.65,148
2022-04-11 15:58:00,2.655,2.655,2.65,2.65,800
2022-04-11 15:56:00,2.64,2.64,2.64,2.64,7403
2022-04-11 15:55:00,2.64,2.64,2.64,2.64,200
2022-04-11 15:54:00,2.635,2.635,2.635,2.635,200
2022-04-11 15:52:00,2.6399,2.64,2.635,2.64,2745
2022-04-11 15:50:00,2.64,2.64,2.64,2.64,838
2022-04-11 15:48:00,2.655,2.655,2.64,2.64,3121
2022-04-11 15:47:00,2.65,2.655,2.65,2.65,829
2022-04-11 15:45:00,2.6572,2.6572,2.6572,2.6572,200
2022-04-11 15:42:00,2.65,2.6512,2.65,2.6512,400
2022-04-11 15:38:00,2.65,2.65,2.65,2.65,100
2022-04-11 15:37:00,2.64,2.64,2.64,2.64,110
2022-04-11 15:34:00,2.67,2.67,2.67,2.67,210
2022-04-11 15:19:00,2.7099,2.7099,2.7099,2.7099,200
2022-04-11 15:12:00,2.7,2.7,2.7,2.7,211
2022-04-11 15:08:00,2.71,2.71,2.71,2.71,100
2022-04-11 15:05:00,2.71,2.71,2.71,2.71,200
2022-04-11 15:02:00,2.71,2.71,2.71,2.71,100
2022-04-11 15:01:00,2.6918,2.6918,2.6918,2.6918,429
2022-04-11 14:57:00,2.69,2.69,2.69,2.69,1008
2022-04-11 14:37:00,2.685,2.685,2.685,2.685,100
2022-04-11 14:36:00,2.691,2.691,2.691,2.691,287
2022-04-11 14:27:00,2.7071,2.7071,2.7071,2.7071,1000
2022-04-11 14:26:00,2.69,2.69,2.69,2.69,300
2022-04-11 14:23:00,2.705,2.705,2.7,2.7,296
2022-04-11 14:19:00,2.712,2.7191,2.712,2.7191,3515
2022-04-11 14:01:00,2.7,2.7,2.7,2.7,200
2022-04-11 13:56:00,2.67,2.67,2.67,2.67,100
2022-04-11 13:39:00,2.6413,2.6413,2.6413,2.6413,200
2022-04-11 13:29:00,2.64,2.64,2.64,2.64,100
2022-04-11 13:21:00,2.6401,2.6401,2.6401,2.6401,1000
2022-04-11 12:45:00,2.66,2.66,2.66,2.66,162
2022-04-11 12:28:00,2.67,2.67,2.67,2.67,120
2022-04-11 12:21:00,2.65,2.65,2.65,2.65,380
2022-04-11 12:10:00,2.6462,2.6462,2.6462,2.6462,580
2022-04-11 12:09:00,2.6466,2.6466,2.645,2.645,2400
2022-04-11 12:05:00,2.63,2.63,2.63,2.63,504
2022-04-11 11:58:00,2.62,2.62,2.62,2.62,180
2022-04-11 11:49:00,2.62,2.62,2.62,2.62,300
2022-04-11 11:45:00,2.62,2.6201,2.62,2.6201,251
2022-04-11 11:43:00,2.635,2.635,2.635,2.635,176
2022-04-11 11:42:00,2.635,2.635,2.635,2.635,100
2022-04-11 11:41:00,2.6231,2.6231,2.6231,2.6231,1040
2022-04-11 11:38:00,2.635,2.635,2.635,2.635,303
2022-04-11 11:21:00,2.688,2.688,2.688,2.688,100
2022-04-11 11:19:00,2.67,2.67,2.67,2.67,301
2022-04-11 11:18:00,2.6301,2.6301,2.6301,2.6301,8000
2022-04-11 11:14:00,2.63,2.63,2.63,2.63,302
2022-04-11 11:13:00,2.64,2.64,2.63,2.64,2164
2022-04-11 11:12:00,2.6301,2.6301,2.6301,2.6301,5060
2022-04-11 11:10:00,2.655,2.655,2.655,2.655,100
2022-04-11 11:06:00,2.585,2.585,2.585,2.585,100
2022-04-11 11:04:00,2.5401,2.56,2.5401,2.56,868
2022-04-11 10:59:00,2.56,2.56,2.56,2.56,1001
2022-04-11 10:58:00,2.56,2.56,2.56,2.56,102
2022-04-11 10:57:00,2.604,2.604,2.604,2.604,301
2022-04-11 10:55:00,2.6039,2.6039,2.6039,2.6039,300
2022-04-11 10:54:00,2.5678,2.5678,2.5678,2.5678,170
2022-04-11 10:53:00,2.5511,2.5511,2.5511,2.5511,273
2022-04-11 10:52:00,2.55,2.56,2.55,2.56,701
2022-04-11 10:49:00,2.55,2.55,2.55,2.55,1200
2022-04-11 10:48:00,2.56,2.565,2.56,2.565,3403
2022-04-11 10:47:00,2.61,2.61,2.56,2.57,4450
2022-04-11 10:46:00,2.54,2.55,2.54,2.55,1960
2022-04-11 10:45:00,2.5111,2.5111,2.5111,2.5111,3000
2022-04-11 10:44:00,2.51,2.51,2.51,2.51,200
2022-04-11 10:41:00,2.5399,2.5399,2.51,2.51,550
2022-04-11 10:40:00,2.52,2.55,2.52,2.55,275
2022-04-11 10:39:00,2.5534,2.5534,2.55,2.55,3023
2022-04-11 10:38:00,2.51,2.51,2.5,2.5,707
2022-04-11 10:37:00,2.53,2.53,2.53,2.53,300
2022-04-11 10:36:00,2.46,2.49,2.46,2.49,1110
2022-04-11 10:35:00,2.45,2.45,2.45,2.45,336
2022-04-11 10:34:00,2.39,2.4805,2.37,2.42,18192
2022-04-11 10:33:00,2.41,2.42,2.41,2.42,1395
2022-04-11 10:32:00,2.43,2.43,2.43,2.43,785
2022-04-11 10:31:00,2.48,2.49,2.43,2.43,4074
2022-04-11 10:30:00,2.5001,2.5001,2.49,2.49,2215
2022-04-11 10:29:00,2.51,2.5176,2.5,2.5,8198
2022-04-11 10:28:00,2.53,2.54,2.52,2.52,11300
2022-04-11 10:27:00,2.55,2.55,2.52,2.52,1252
2022-04-11 10:25:00,2.5587,2.5599,2.5401,2.5401,2780
2022-04-11 10:24:00,2.55,2.55,2.55,2.55,229
2022-04-11 10:23:00,2.55,2.55,2.54,2.54,4454
2022-04-11 10:22:00,2.56,2.567,2.545,2.545,5652
2022-04-11 10:20:00,2.6091,2.6091,2.5601,2.5981,5899
2022-04-11 10:19:00,2.591,2.591,2.59,2.59,2008
2022-04-11 10:18:00,2.6,2.6,2.6,2.6,300
2022-04-11 10:17:00,2.6,2.6,2.5995,2.6,7372
2022-04-11 10:16:00,2.625,2.625,2.6,2.6,6721
2022-04-11 10:15:00,2.63,2.63,2.62,2.62,1140
2022-04-11 10:14:00,2.65,2.65,2.62,2.63,5831
2022-04-11 10:11:00,2.7,2.7189,2.69,2.7189,2470
2022-04-11 10:10:00,2.755,2.755,2.7,2.725,7046
2022-04-11 10:08:00,2.77,2.77,2.74,2.77,3764
2022-04-11 09:53:00,2.775,2.775,2.775,2.775,150
2022-04-11 09:52:00,2.79,2.79,2.75,2.75,1980
2022-04-11 09:51:00,2.7991,2.7991,2.7991,2.7991,200
2022-04-11 09:47:00,2.81,2.81,2.81,2.81,201
2022-04-11 09:44:00,2.8,2.8,2.8,2.8,123
2022-04-11 09:43:00,2.81,2.81,2.81,2.81,1500
2022-04-11 09:41:00,2.82,2.83,2.82,2.83,1161
2022-04-11 09:35:00,2.89,2.89,2.89,2.89,100
2022-04-11 09:31:00,2.82,2.8298,2.82,2.8298,2655
2022-04-11 08:58:00,2.83,2.83,2.83,2.83,200
2022-04-11 08:18:00,2.81,2.81,2.81,2.81,123
2022-04-08 19:21:00,2.99,2.99,2.99,2.99,300
2022-04-08 17:53:00,2.83,2.83,2.83,2.83,135
2022-04-08 17:51:00,2.83,2.83,2.83,2.83,300
2022-04-08 17:48:00,2.83,2.83,2.83,2.83,200
2022-04-08 16:00:00,2.83,2.83,2.83,2.83,391
2022-04-08 15:59:00,2.84,2.84,2.84,2.84,302
2022-04-08 15:58:00,2.84,2.84,2.84,2.84,200
2022-04-08 15:54:00,2.85,2.85,2.85,2.85,787
2022-04-08 15:51:00,2.83,2.83,2.83,2.83,300
2022-04-08 15:50:00,2.84,2.84,2.84,2.84,200
2022-04-08 15:46:00,2.82,2.82,2.82,2.82,100
2022-04-08 15:44:00,2.83,2.83,2.83,2.83,200
2022-04-08 15:38:00,2.837,2.837,2.837,2.837,500
