Date,Stock,Sector,Country,Employess,Float,Io,Short_ratio,Prev_close,premarket_high,premarket_time_high,premarket_vol_high,premarket_vol_cum_high,premarket_low,premarket_time_low,premarket_volume,Open_price,firsthour_high,firsthour_high_time,firsthour_vol_high,firsthour_vol_cum_high,firsthour_low,firsthour_low_time,firsthour_vol_low,firsthour_vol_cum_low,firsthour_volume,morning_high,morning_high_time,morning_vol_high,morning_vol_cum_high,morning_low,morning_low_time,morning_vol_low,morning_vol_cum_low,morning_volume,middle_high,middle_high_time,middle_vol_high,middle_vol_cum_high,middle_low,middle_low_time,middle_vol_low,middle_vol_cum_low,middle_volume,afternoon_high,afternoon_high_time,afternoon_vol_high,afternoon_vol_cum_high,afternoon_low,afternoon_low_time,afternoon_vol_low,afternoon_vol_cum_low,afternoon_volume,market_high,market_high_time,market_vol_high,market_vol_cum_high,market_low,market_low_time,market_vol_low,market_vol_cum_low,market_volume,close_price,afterhour_high,afterhour_high_time,afterhour_vol_high,afterhour_vol_cum_high,afterhour_low,afterhour_low_time,afterhour_vol_low,afterhour_vol_cum_low,afterhour_volume
2022-01-10,PSTI,Healthcare,Israel,153,27.64,15.51,1.9,1.45,2.03,04:16:00,0.197228,0.9,-22.17,07:08:00,6.09,1.68,1.83,09:51:00,0.550728,12.58,1.66,09:30:00,0.021865,6.09,16.91,1.88,11:24:00,1.146419,34.64,1.66,09:30:00,0.021865,6.09,34.99,1.9,13:07:00,0.579463,45.08,1.72,12:32:00,0.045024,42.62,7.32,1.93,15:51:00,0.347356,53.97,1.78,14:58:00,0.134442,50.81,6.86,1.93,15:51:00,0.347356,53.97,1.66,09:30:00,0.021865,6.09,49.1,1.84,1.93,20:00:00,0.02975,55.93,1.79,16:17:00,0.034274,55.46,0.95
2022-01-10,BBLG,Healthcare,United States,2,3.15,0.32,2.48,3.47,5.49,04:05:00,0.043645,0.07,-33.7,04:08:00,2.28,3.85,6.76,10:16:00,0.480709,13.71,3.76,09:31:00,0.066486,2.34,16.11,6.78,10:37:00,1.082123,21.39,3.76,09:31:00,0.066486,2.34,37.22,6.56,12:25:00,0.442082,44.15,5.71,12:02:00,0.297662,39.92,16.21,6.36,14:04:00,0.211044,56.36,4.39,15:05:00,0.038421,63.12,11.27,6.78,10:37:00,1.082123,21.39,3.76,09:31:00,0.066486,2.34,64.56,5.47,5.47,16:00:00,0.163872,66.82,5.01,17:14:00,0.000586,66.99,0.41
2022-01-10,RVPH,Healthcare,United States,5,8.94,17.28,1.72,2.96,4.11,06:33:00,0.152297,1.03,-22.38,07:58:00,9.84,3.54,3.63,09:31:00,1.057045,10.9,3.0,10:07:00,0.10393,18.76,10.07,3.63,09:31:00,1.057045,10.9,3.0,10:07:00,0.10393,18.76,11.84,3.07,12:00:00,0.007835,21.6,2.74,13:14:00,0.008393,23.09,1.97,2.96,14:11:00,0.03533,23.82,2.8,15:59:00,0.04915,24.62,1.14,3.63,09:31:00,1.057045,10.9,2.74,13:14:00,0.008393,23.09,14.94,2.92,2.97,16:01:00,0.0005,24.71,2.81,16:00:00,0.085932,24.71,0.16
2022-01-11,TSRI,Technology,United States,606,0.66,11.42,0.53,8.6599,13.57,09:30:00,0.387939,12.16,-2.65,09:30:00,12.16,13.29,14.47,09:31:00,1.754963,13.91,11.11,10:14:00,0.632665,27.72,17.81,14.47,09:31:00,1.754963,13.91,10.76,11:44:00,0.093335,34.37,23.27,11.18,13:29:00,0.072037,36.8,10.57,13:00:00,0.047841,36.17,2.13,11.28,15:45:00,0.073354,38.28,10.69,14:31:00,0.018401,37.36,1.46,14.47,09:31:00,1.754963,13.91,10.57,13:00:00,0.047841,36.17,26.85,11.19,11.15,16:00:00,0.09052,38.62,10.8,17:52:00,0.00401,38.73,0.23
2022-01-11,BDTX,Healthcare,United States,86,20.44,82.02,13.95,4.49,5.9,07:12:00,0.20701,1.68,-15.25,08:01:00,8.27,5.1,5.17,10:00:00,0.232561,11.58,4.78,10:30:00,0.079851,13.79,5.52,5.21,11:39:00,0.14902,15.93,4.76,10:36:00,0.020142,13.98,8.28,5.19,12:13:00,0.042773,16.72,4.88,13:38:00,0.024676,17.62,1.18,5.2,14:48:00,0.062712,18.26,4.88,14:11:00,0.021914,17.79,1.12,5.21,11:39:00,0.14902,15.93,4.76,10:36:00,0.020142,13.98,10.58,5.11,5.14,16:04:00,0.000745,18.85,5.0,16:17:00,0.003665,18.89,0.13
2022-01-11,SBEV,Consumer Defensive,United States,nan,22.39,1.26,2.02,1.055,1.98,08:14:00,0.303163,2.0,-24.24,08:36:00,15.29,1.62,1.9,09:37:00,1.845842,24.96,1.55,09:31:00,1.26966,16.56,37.37,1.9,09:37:00,1.845842,24.96,1.49,11:39:00,0.398092,64.51,50.86,1.57,13:55:00,0.186491,71.27,1.44,12:12:00,0.099295,67.35,5.48,1.8,16:00:00,0.382266,83.77,1.52,14:00:00,0.020968,71.51,12.28,1.9,09:37:00,1.845842,24.96,1.44,12:12:00,0.099295,67.35,68.53,1.77,1.84,16:05:00,0.110223,84.03,1.67,16:19:00,0.06475,84.65,1.86
2022-01-12,PIK,Consumer Cyclical,United States,nan,5.99,10.28,14.91,6.09,8.6,04:11:00,0.026295,0.25,-18.02,08:11:00,3.07,7.17,7.32,09:36:00,0.252556,4.23,6.48,10:21:00,0.129391,8.06,5.26,7.32,09:36:00,0.252556,4.23,6.48,10:21:00,0.129391,8.06,9.1,7.84,12:52:00,0.252109,19.98,6.82,12:00:00,0.021959,12.16,13.07,7.5,15:04:00,0.267185,27.67,6.73,14:20:00,0.149392,26.15,4.39,7.84,12:52:00,0.252109,19.98,6.48,10:21:00,0.129391,8.06,26.52,7.3,7.74,16:11:00,0.119306,29.9,7.09,16:02:00,0.00118,29.58,0.99
2022-01-12,JAGX,Healthcare,United States,52,76.65,7.88,3.88,0.9409,1.2,04:30:00,0.071866,0.46,-15.0,09:23:00,3.66,1.05,1.07,09:31:00,0.214028,3.88,1.0,10:17:00,0.122319,6.2,2.75,1.07,09:31:00,0.214028,3.88,0.96,10:39:00,0.08577,6.88,3.86,1.05,13:19:00,0.022015,8.18,0.99,12:00:00,0.008263,7.52,0.98,1.03,14:01:00,0.00244,8.49,0.98,15:52:00,0.108481,9.2,0.96,1.07,09:31:00,0.214028,3.88,0.96,10:39:00,0.08577,6.88,5.78,1.0,1.05,16:02:00,0.013896,9.46,0.97,17:14:00,0.007837,9.59,0.42
2022-01-12,IMRN,Healthcare,Australia,nan,4.56,2.96,nan,2.62,5.01,07:06:00,0.302914,3.87,-20.76,08:37:00,15.46,4.05,4.06,09:35:00,0.846302,18.07,3.48,09:51:00,0.628067,23.51,14.28,4.06,09:35:00,0.846302,18.07,3.47,11:07:00,0.27906,32.23,18.97,3.8,13:44:00,0.177713,37.11,3.54,12:25:00,0.046413,34.94,3.89,4.05,15:37:00,0.728014,42.33,3.59,14:38:00,0.048083,39.79,6.77,4.06,09:35:00,0.846302,18.07,3.47,11:07:00,0.27906,32.23,29.59,3.82,4.35,17:46:00,0.043344,45.78,3.67,16:34:00,0.005698,45.1,1.7920
2022-01-12,NXGL,Healthcare,United States,10,4.58,2.07,0.96,2.93,4.27,07:42:00,0.27802,1.32,-27.17,08:05:00,7.42,3.47,3.62,09:32:00,0.7727,8.45,3.06,10:27:00,0.056468,11.98,4.74,3.62,09:32:00,0.7727,8.45,3.02,11:17:00,0.009407,12.48,5.45,3.13,12:04:00,0.00198,12.78,3.03,13:17:00,0.021395,12.97,0.33,3.28,16:00:00,0.063952,13.89,3.09,14:00:00,0.0003,13.1,0.78,3.62,09:32:00,0.7727,8.45,3.02,11:17:00,0.009407,12.48,6.56,3.26,3.28,16:00:00,0.063952,13.89,3.03,17:45:00,0.001322,13.94,0.13
2022-01-12,IMMX,Healthcare,United States,nan,5.7,6.18,1.32,5.44,7.98,08:18:00,0.726179,4.53,-15.91,09:17:00,11.98,7.07,7.6,09:47:00,1.78138,24.79,6.47,10:30:00,0.388349,35.74,23.81,7.6,09:47:00,1.78138,24.79,6.38,10:39:00,0.046046,36.6,28.2,6.88,12:00:00,0.050877,40.13,6.53,12:32:00,0.062652,40.95,2.72,6.6,14:00:00,0.015247,42.81,6.22,15:22:00,0.112671,44.87,3.05,7.6,09:47:00,1.78138,24.79,6.22,15:22:00,0.112671,44.87,33.91,6.41,6.48,19:35:00,0.000325,45.96,6.25,16:38:00,0.004428,45.88,0.17
2022-01-13,PBYI,Healthcare,United States,196,35.45,75.91,8.18,2.62,3.2,04:13:00,0.056239,0.11,-16.25,07:42:00,1.3,2.74,2.85,09:31:00,0.081377,1.38,2.53,09:55:00,0.029254,2.05,0.97,2.85,09:31:00,0.081377,1.38,2.52,10:41:00,0.019289,2.32,1.27,2.62,12:36:00,0.008733,2.66,2.56,12:23:00,0.021749,2.62,0.17,2.64,14:25:00,0.004589,2.76,2.56,15:18:00,0.008139,2.83,0.24,2.85,09:31:00,0.081377,1.38,2.52,10:41:00,0.019289,2.32,1.68,2.57,2.59,16:01:00,0.002237,2.98,2.53,16:25:00,0.001385,2.98,0.03
2022-01-13,ADGI,Healthcare,United States,nan,50.17,69.61,8.56,5.85,7.48,04:01:00,0.030985,0.03,-13.37,08:22:00,5.07,6.76,6.79,09:30:00,0.01759,5.07,5.79,10:26:00,0.117636,14.45,9.57,6.79,09:30:00,0.01759,5.07,5.38,11:23:00,0.107131,17.64,13.88,5.58,12:36:00,0.057418,20.16,5.29,13:31:00,0.0954,21.3,2.9,5.53,14:26:00,0.047349,22.29,5.18,15:55:00,0.097968,24.19,2.75,6.79,09:30:00,0.01759,5.07,5.18,15:55:00,0.097968,24.19,19.46,5.26,5.45,16:31:00,0.014427,24.62,5.16,16:16:00,0.002455,24.53,0.5
2022-01-13,BTCS,Financial Services,United States,4,7.94,3.83,0.26,6.49409921671,11.3,04:32:00,0.014649,0.14,-33.54,09:30:00,8.04,7.58,8.27,10:24:00,0.932456,26.62,7.22,10:02:00,0.106588,19.06,19.49,8.27,10:24:00,0.932456,26.62,7.22,10:02:00,0.106588,19.06,28.27,8.76,13:17:00,0.417355,41.29,6.74,13:49:00,0.133739,49.12,13.7,7.01,14:01:00,0.092406,50.01,6.35,15:01:00,0.086688,52.68,4.27,8.76,13:17:00,0.417355,41.29,6.35,15:01:00,0.086688,52.68,46.14,6.76,6.8,16:10:00,0.005066,54.19,6.59,16:55:00,0.001721,54.26,0.29
2022-01-13,ISPC,Healthcare,United States,59,5.49,13.17,4.02,6.81,8.9,08:06:00,0.256602,0.91,-16.18,08:38:00,5.16,7.7,7.79,09:30:00,0.026628,5.16,7.03,09:47:00,0.059767,7.12,3.84,7.79,09:30:00,0.026628,5.16,6.88,11:13:00,0.029085,10.02,5.25,7.14,12:04:00,0.005892,10.4,6.86,12:39:00,0.022451,10.54,0.4,7.08,14:08:00,0.0004,10.77,6.85,15:59:00,0.040787,11.16,0.44,7.79,09:30:00,0.026628,5.16,6.85,15:59:00,0.040787,11.16,6.07,6.91,6.95,16:00:00,0.033883,11.2,6.75,16:58:00,0.000913,11.22,0.08
2022-01-14,SLHG,Healthcare,Canada,80,29.08,14.23,nan,1.04,1.5,04:54:00,0.040962,0.14,-30.0,09:25:00,0.97,1.1,1.12,09:38:00,0.049209,1.08,1.01,10:27:00,0.007787,1.3,0.34,1.12,09:38:00,0.049209,1.08,0.99,11:13:00,0.01203,1.35,0.43,1.03,12:14:00,0.0001,1.4,1.0,12:34:00,0.002899,1.41,0.02,1.02,14:01:00,0.001897,1.43,1.0,14:21:00,0.0024,1.43,0.06,1.12,09:38:00,0.049209,1.08,0.99,11:13:00,0.01203,1.35,0.51,1.0,1.02,16:00:00,0.005159,1.48,0.91,19:54:00,0.001985,1.5,0.02
2022-01-14,GFAI,Industrials,Thailand,1786,9.43,1.53,22.28,1.06,1.34,07:20:00,0.117886,0.45,-16.42,09:17:00,3.34,1.13,1.7,10:30:00,1.52053,34.52,1.13,09:30:00,0.001825,3.34,31.18,2.16,10:46:00,2.503501,55.07,1.13,09:30:00,0.001825,3.34,85.69,1.91,12:39:00,0.817697,103.23,1.54,13:59:00,0.25877,120.24,31.64,1.86,15:48:00,0.548142,138.1,1.54,14:00:00,0.274496,120.52,20.97,2.16,10:46:00,2.503501,55.07,1.13,09:30:00,0.001825,3.34,137.87,1.62,1.74,16:49:00,0.081721,142.23,1.52,16:06:00,0.05918,141.42,2.38
2022-01-14,SBEV,Consumer Defensive,United States,nan,22.39,1.26,2.02,1.91,1.99,09:08:00,0.001152,0.04,-2.51,09:11:00,0.07,1.98,3.3,10:04:00,1.119865,15.99,1.94,09:31:00,0.028854,0.1,23.85,3.3,10:04:00,1.119865,15.99,1.94,09:31:00,0.028854,0.1,33.21,2.85,13:25:00,0.136279,35.67,2.64,12:33:00,0.142096,34.26,3.11,4.34,15:57:00,1.044805,59.95,2.67,14:05:00,0.02487,36.49,24.95,4.34,15:57:00,1.044805,59.95,1.94,09:31:00,0.028854,0.1,61.22,4.11,4.24,16:10:00,0.098269,62.26,3.68,16:26:00,0.039445,63.02,4.04
